on_books,key,allocation,share_raw,share_corrected,target_bn,delta_target_bn
0.44,federal_liability,shared,0.0531688774629976,0.050250361916604425,137.9446954275287,-7.571981154349105
0.44,federal_liability,personal,0.0531688774629976,0.050250361916604425,128.20887198774477,-7.037567914465997
0.44,state_liability,shared,0.049818911769178735,0.04663139855683718,29.30523071526529,-1.8750070360512348
0.44,state_liability,personal,0.049818911769178735,0.04663139855683718,27.318559836050902,-1.7478958758273817
0.44,wage_oasdi,shared,0.08975131639461213,0.0839861155427528,116.4409772025303,-7.479618661054652
0.44,wage_oasdi,personal,0.08975131639461213,0.0839861155427528,110.7619153843219,-7.11482254053711
0.44,wage,shared,0.08272801951252723,0.07737909722452971,32.64936697439314,-2.1110009368941394
0.44,wage,personal,0.08272801951252723,0.07737909722452971,30.943223547109156,-2.000687301217924
0.44,self_payroll,shared,0.026714508556632773,0.025192493419760095,9.274939912242113,-0.5284244293729341
0.44,self_payroll,personal,0.026714508556632773,0.025192493419760095,8.897073677929647,-0.506896122867971
0.44,positive_fica_worker,shared,0.11708584438623011,0.10865695956439755,11.299894822673624,-0.813467353448401
0.44,positive_fica_worker,personal,0.11708584438623011,0.10865695956439755,10.986478565548424,-0.7909048520081429
0.44,eitc_actc_spending,both,0.22902394782453622,0.19776409395472175,52.14,-7.11667402581343
0.6,federal_liability,shared,0.0531688774629976,0.05108845113166738,137.9446954275287,-5.397589535992781
0.6,federal_liability,personal,0.0531688774629976,0.05108845113166738,128.20887198774477,-5.016639920206657
0.6,state_liability,shared,0.049818911769178735,0.04754695110712483,29.30523071526529,-1.33644692373003
0.6,state_liability,personal,0.049818911769178735,0.04754695110712483,27.318559836050902,-1.2458460268871652
0.6,wage_oasdi,shared,0.08975131639461213,0.08564975378298918,116.4409772025303,-5.3212585368097045
0.6,wage_oasdi,personal,0.08975131639461213,0.08564975378298918,110.7619153843219,-5.061730002205866
0.6,wage,shared,0.08272801951252723,0.07892153037068206,32.64936697439314,-1.5022656363401339
0.6,wage,personal,0.08272801951252723,0.07892153037068206,30.943223547109156,-1.423762410121796
0.6,self_payroll,shared,0.026714508556632773,0.02562869047175407,9.274939912242113,-0.3769823229772775
0.6,self_payroll,personal,0.026714508556632773,0.02562869047175407,8.897073677929647,-0.3616238525037632
0.6,positive_fica_worker,shared,0.11708584438623011,0.11110299145467713,11.299894822673624,-0.5774020695709658
0.6,positive_fica_worker,personal,0.11708584438623011,0.11110299145467713,10.986478565548424,-0.5613871244461528
0.6,eitc_actc_spending,both,0.22902394782453622,0.19953956380969515,52.14,-6.712467395381765
0.75,federal_liability,shared,0.0531688774629976,0.05187107841841956,137.9446954275287,-3.3670918490811963
0.75,federal_liability,personal,0.0531688774629976,0.05187107841841956,128.20887198774477,-3.1294501503801953
0.75,state_liability,shared,0.049818911769178735,0.048401757433435,29.30523071526529,-0.8336198703120193
0.75,state_liability,personal,0.049818911769178735,0.048401757433435,27.318559836050902,-0.7771068083001692
0.75,wage_oasdi,shared,0.08975131639461213,0.08719739718775209,116.4409772025303,-3.3133870353008694
0.75,wage_oasdi,personal,0.08975131639461213,0.08719739718775209,110.7619153843219,-3.151786452299965
0.75,wage,shared,0.08272801951252723,0.08035720686779474,32.64936697439314,-0.9356628204266537
0.75,wage,personal,0.08272801951252723,0.08035720686779474,30.943223547109156,-0.8867683051830055
0.75,self_payroll,shared,0.026714508556632773,0.026036652961954038,9.274939912242113,-0.23534289977651254
0.75,self_payroll,personal,0.026714508556632773,0.026036652961954038,8.897073677929647,-0.2257548985439278
0.75,positive_fica_worker,shared,0.11708584438623011,0.11336842993517036,11.299894822673624,-0.35876576309853453
0.75,positive_fica_worker,personal,0.11708584438623011,0.11336842993517036,10.986478565548424,-0.34881496050970084
0.75,eitc_actc_spending,both,0.22902394782453622,0.20118601781258794,52.14,-6.337632743694595
