origin,acs_all_m,acs_household_m,cps_m,cps_minus_acs_household_m,cps_over_acs_household
Mexican,38.932033,38.292815,40.360114679999995,2.067299679999998,1.0539866207276742
Puerto Rican,6.144681,6.012049,5.65695236,-0.3550966400000002,0.9409358373492963
Cuban,2.936427,2.892333,2.8714719100000003,-0.02086108999999947,0.9927874522055381
Dominican,2.532914,2.494786,2.56384329,0.06905728999999994,1.0276806467568762
Central American,7.545879,7.459434,7.69950899,0.2400749900000001,1.032184075896375
South American,6.68673,6.590084,6.05871359,-0.5313704100000001,0.9193681886300691
Other Hispanic,3.218498,3.022899,3.31582894,0.29292994000000006,1.0969036477897542
All Hispanic,67.997162,66.7644,68.52643375999999,1.7620337599999942,1.0263918159977472
"Mexico-born, foreign-born",11.153915,11.005332,12.231213890000001,1.225881890000002,1.1113898145008259
Total population,340.11099,331.722429,337.68964157,5.967212570000015,1.017988571312433
