flag,hisp,flag_value,nativity,gq,weighted
FPOBP,01,1,1,hh,15011810
FPOBP,01,1,1,inst,211484
FPOBP,01,1,1,noninst,697980
FPOBP,01,0,1,hh,123423221
FPOBP,01,0,1,inst,1433999
FPOBP,01,0,1,noninst,2633564
FPOBP,01,1,2,hh,1824708
FPOBP,01,1,2,inst,5228
FPOBP,01,1,2,noninst,46707
FPOBP,01,0,2,hh,17955553
FPOBP,01,0,2,inst,42533
FPOBP,01,0,2,noninst,263301
FPOBP,02,1,1,hh,2096873
FPOBP,02,1,1,inst,18617
FPOBP,02,1,1,noninst,30227
FPOBP,02,0,1,hh,12566058
FPOBP,02,0,1,inst,163711
FPOBP,02,0,1,noninst,239542
FPOBP,02,1,2,hh,969056
FPOBP,02,1,2,inst,5318
FPOBP,02,1,2,noninst,2212
FPOBP,02,0,2,hh,8029033
FPOBP,02,0,2,inst,61370
FPOBP,02,0,2,noninst,55540
FPOBP,24,1,1,hh,250304
FPOBP,24,1,1,inst,16996
FPOBP,24,1,1,noninst,43993
FPOBP,24,0,1,hh,1086085
FPOBP,24,0,1,inst,41053
FPOBP,24,0,1,noninst,39746
FPOBP,24,1,2,hh,105039
FPOBP,24,1,2,inst,4817
FPOBP,24,1,2,noninst,5655
FPOBP,24,0,2,hh,233618
FPOBP,24,0,2,inst,4643
FPOBP,24,0,2,noninst,3438
FCITP,01,0,1,hh,127144692
FCITP,01,0,1,inst,1564845
FCITP,01,0,1,noninst,2974458
FCITP,01,1,1,hh,11290339
FCITP,01,1,1,inst,80638
FCITP,01,1,1,noninst,357086
FCITP,01,0,2,hh,17922432
FCITP,01,0,2,inst,37593
FCITP,01,0,2,noninst,264690
FCITP,01,1,2,hh,1857829
FCITP,01,1,2,inst,10168
FCITP,01,1,2,noninst,45318
FCITP,02,0,1,hh,12873506
FCITP,02,0,1,inst,173267
FCITP,02,0,1,noninst,253113
FCITP,02,1,1,hh,1789425
FCITP,02,1,1,inst,9061
FCITP,02,1,1,noninst,16656
FCITP,02,0,2,hh,7887375
FCITP,02,0,2,inst,55763
FCITP,02,0,2,noninst,51219
FCITP,02,1,2,hh,1110714
FCITP,02,1,2,inst,10925
FCITP,02,1,2,noninst,6533
FCITP,24,0,1,hh,1145840
FCITP,24,0,1,inst,45900
FCITP,24,0,1,noninst,60059
FCITP,24,1,1,hh,190549
FCITP,24,1,1,inst,12149
FCITP,24,1,1,noninst,23680
FCITP,24,0,2,hh,244653
FCITP,24,0,2,inst,5393
FCITP,24,0,2,noninst,4072
FCITP,24,1,2,hh,94004
FCITP,24,1,2,inst,4067
FCITP,24,1,2,noninst,5021
FAGEP,01,0,1,hh,136815207
FAGEP,01,0,1,inst,1632658
FAGEP,01,0,1,noninst,3308273
FAGEP,01,1,1,hh,1619824
FAGEP,01,1,1,inst,12825
FAGEP,01,1,1,noninst,23271
