convention,line,year,federal_share
central,federal_income_tax,2005,1.0
central,federal_income_tax,2006,1.0
central,federal_income_tax,2007,1.0
central,federal_income_tax,2008,1.0
central,federal_income_tax,2009,1.0
central,federal_income_tax,2010,1.0
central,federal_income_tax,2011,1.0
central,federal_income_tax,2012,1.0
central,federal_income_tax,2013,1.0
central,federal_income_tax,2014,1.0
central,federal_income_tax,2015,1.0
central,federal_income_tax,2016,1.0
central,federal_income_tax,2017,1.0
central,federal_income_tax,2018,1.0
central,federal_income_tax,2019,1.0
central,federal_income_tax,2020,1.0
central,federal_income_tax,2021,1.0
central,federal_income_tax,2022,1.0
central,federal_income_tax,2023,1.0
central,federal_income_tax,2024,1.0
central,employee_oasdi,2005,1.0
central,employee_oasdi,2006,1.0
central,employee_oasdi,2007,1.0
central,employee_oasdi,2008,1.0
central,employee_oasdi,2009,1.0
central,employee_oasdi,2010,1.0
central,employee_oasdi,2011,1.0
central,employee_oasdi,2012,1.0
central,employee_oasdi,2013,1.0
central,employee_oasdi,2014,1.0
central,employee_oasdi,2015,1.0
central,employee_oasdi,2016,1.0
central,employee_oasdi,2017,1.0
central,employee_oasdi,2018,1.0
central,employee_oasdi,2019,1.0
central,employee_oasdi,2020,1.0
central,employee_oasdi,2021,1.0
central,employee_oasdi,2022,1.0
central,employee_oasdi,2023,1.0
central,employee_oasdi,2024,1.0
central,employee_hi,2005,1.0
central,employee_hi,2006,1.0
central,employee_hi,2007,1.0
central,employee_hi,2008,1.0
central,employee_hi,2009,1.0
central,employee_hi,2010,1.0
central,employee_hi,2011,1.0
central,employee_hi,2012,1.0
central,employee_hi,2013,1.0
central,employee_hi,2014,1.0
central,employee_hi,2015,1.0
central,employee_hi,2016,1.0
central,employee_hi,2017,1.0
central,employee_hi,2018,1.0
central,employee_hi,2019,1.0
central,employee_hi,2020,1.0
central,employee_hi,2021,1.0
central,employee_hi,2022,1.0
central,employee_hi,2023,1.0
central,employee_hi,2024,1.0
central,self_employment_oasdi_hi,2005,1.0
central,self_employment_oasdi_hi,2006,1.0
central,self_employment_oasdi_hi,2007,1.0
central,self_employment_oasdi_hi,2008,1.0
central,self_employment_oasdi_hi,2009,1.0
central,self_employment_oasdi_hi,2010,1.0
central,self_employment_oasdi_hi,2011,1.0
central,self_employment_oasdi_hi,2012,1.0
central,self_employment_oasdi_hi,2013,1.0
central,self_employment_oasdi_hi,2014,1.0
central,self_employment_oasdi_hi,2015,1.0
central,self_employment_oasdi_hi,2016,1.0
central,self_employment_oasdi_hi,2017,1.0
central,self_employment_oasdi_hi,2018,1.0
central,self_employment_oasdi_hi,2019,1.0
central,self_employment_oasdi_hi,2020,1.0
central,self_employment_oasdi_hi,2021,1.0
central,self_employment_oasdi_hi,2022,1.0
central,self_employment_oasdi_hi,2023,1.0
central,self_employment_oasdi_hi,2024,1.0
central,employer_oasdi,2005,1.0
central,employer_oasdi,2006,1.0
central,employer_oasdi,2007,1.0
central,employer_oasdi,2008,1.0
central,employer_oasdi,2009,1.0
central,employer_oasdi,2010,1.0
central,employer_oasdi,2011,1.0
central,employer_oasdi,2012,1.0
central,employer_oasdi,2013,1.0
central,employer_oasdi,2014,1.0
central,employer_oasdi,2015,1.0
central,employer_oasdi,2016,1.0
central,employer_oasdi,2017,1.0
central,employer_oasdi,2018,1.0
central,employer_oasdi,2019,1.0
central,employer_oasdi,2020,1.0
central,employer_oasdi,2021,1.0
central,employer_oasdi,2022,1.0
central,employer_oasdi,2023,1.0
central,employer_oasdi,2024,1.0
central,employer_hi,2005,1.0
central,employer_hi,2006,1.0
central,employer_hi,2007,1.0
central,employer_hi,2008,1.0
central,employer_hi,2009,1.0
central,employer_hi,2010,1.0
central,employer_hi,2011,1.0
central,employer_hi,2012,1.0
central,employer_hi,2013,1.0
central,employer_hi,2014,1.0
central,employer_hi,2015,1.0
central,employer_hi,2016,1.0
central,employer_hi,2017,1.0
central,employer_hi,2018,1.0
central,employer_hi,2019,1.0
central,employer_hi,2020,1.0
central,employer_hi,2021,1.0
central,employer_hi,2022,1.0
central,employer_hi,2023,1.0
central,employer_hi,2024,1.0
central,medicare_supplementary_premiums,2005,1.0
central,medicare_supplementary_premiums,2006,1.0
central,medicare_supplementary_premiums,2007,1.0
central,medicare_supplementary_premiums,2008,1.0
central,medicare_supplementary_premiums,2009,1.0
central,medicare_supplementary_premiums,2010,1.0
central,medicare_supplementary_premiums,2011,1.0
central,medicare_supplementary_premiums,2012,1.0
central,medicare_supplementary_premiums,2013,1.0
central,medicare_supplementary_premiums,2014,1.0
central,medicare_supplementary_premiums,2015,1.0
central,medicare_supplementary_premiums,2016,1.0
central,medicare_supplementary_premiums,2017,1.0
central,medicare_supplementary_premiums,2018,1.0
central,medicare_supplementary_premiums,2019,1.0
central,medicare_supplementary_premiums,2020,1.0
central,medicare_supplementary_premiums,2021,1.0
central,medicare_supplementary_premiums,2022,1.0
central,medicare_supplementary_premiums,2023,1.0
central,medicare_supplementary_premiums,2024,1.0
central,customs_duties,2005,1.0
central,customs_duties,2006,1.0
central,customs_duties,2007,1.0
central,customs_duties,2008,1.0
central,customs_duties,2009,1.0
central,customs_duties,2010,1.0
central,customs_duties,2011,1.0
central,customs_duties,2012,1.0
central,customs_duties,2013,1.0
central,customs_duties,2014,1.0
central,customs_duties,2015,1.0
central,customs_duties,2016,1.0
central,customs_duties,2017,1.0
central,customs_duties,2018,1.0
central,customs_duties,2019,1.0
central,customs_duties,2020,1.0
central,customs_duties,2021,1.0
central,customs_duties,2022,1.0
central,customs_duties,2023,1.0
central,customs_duties,2024,1.0
central,other_domestic_social_contributions,2005,0.693064
central,other_domestic_social_contributions,2006,0.722151
central,other_domestic_social_contributions,2007,0.739668
central,other_domestic_social_contributions,2008,0.736147
central,other_domestic_social_contributions,2009,0.743925
central,other_domestic_social_contributions,2010,0.783398
central,other_domestic_social_contributions,2011,0.801963
central,other_domestic_social_contributions,2012,0.816008
central,other_domestic_social_contributions,2013,0.809133
central,other_domestic_social_contributions,2014,0.796716
central,other_domestic_social_contributions,2015,0.790721
central,other_domestic_social_contributions,2016,0.776027
central,other_domestic_social_contributions,2017,0.773027
central,other_domestic_social_contributions,2018,0.755165
central,other_domestic_social_contributions,2019,0.749706
central,other_domestic_social_contributions,2020,0.762004
central,other_domestic_social_contributions,2021,0.74328
central,other_domestic_social_contributions,2022,0.733441
central,other_domestic_social_contributions,2023,0.74973
central,other_domestic_social_contributions,2024,0.712169
central,excise_selective_sales,2005,0.363513
central,excise_selective_sales,2006,0.343471
central,excise_selective_sales,2007,0.309789
central,excise_selective_sales,2008,0.306394
central,excise_selective_sales,2009,0.318664
central,excise_selective_sales,2010,0.30264
central,excise_selective_sales,2011,0.320168
central,excise_selective_sales,2012,0.327368
central,excise_selective_sales,2013,0.342867
central,excise_selective_sales,2014,0.361061
central,excise_selective_sales,2015,0.363178
central,excise_selective_sales,2016,0.347392
central,excise_selective_sales,2017,0.320391
central,excise_selective_sales,2018,0.346257
central,excise_selective_sales,2019,0.310304
central,excise_selective_sales,2020,0.294418
central,excise_selective_sales,2021,0.28505
