profile,end,convention,allocation,normalization,school_share,school_response,general_government_response,uncompensated_inside_bn,net_cost_bn,production_P_bn,fiscal_gap_bn,federal_bn,state_local_bn,federal_share
cbo_category_lag_non_school_full,low,central,shared,gdp,0.865161,0.63,0.59,3.651576,203.207017,-0.235924,202.971093,38.643017,164.328075,0.190387
cbo_category_lag_non_school_full,low,low,shared,gdp,0.865161,0.63,0.59,3.651576,203.207017,-0.235924,202.971093,16.522239,186.448854,0.081402
cbo_category_lag_non_school_full,low,high,shared,gdp,0.865161,0.63,0.59,3.651576,203.207017,-0.235924,202.971093,48.4842,154.486892,0.238872
cbo_category_lag_non_school_full,high,central,personal,cash,0.715328,0.66,0.84,5.747597,249.639956,-0.15567,249.484286,58.449363,191.034923,0.234281
cbo_category_lag_non_school_full,high,low,personal,cash,0.715328,0.66,0.84,5.747597,249.639956,-0.15567,249.484286,35.646701,213.837585,0.142882
cbo_category_lag_non_school_full,high,high,personal,cash,0.715328,0.66,0.84,5.747597,249.639956,-0.15567,249.484286,72.396799,177.087487,0.290186
cbo_category_lag_non_school_fixed,low,central,shared,gdp,0.715328,0.63,0.59,3.651576,158.881089,-0.235924,158.645165,35.006849,123.638316,0.220661
cbo_category_lag_non_school_fixed,low,low,shared,gdp,0.715328,0.63,0.59,3.651576,158.881089,-0.235924,158.645165,16.088329,142.556835,0.101411
cbo_category_lag_non_school_fixed,low,high,shared,gdp,0.715328,0.63,0.59,3.651576,158.881089,-0.235924,158.645165,43.990749,114.654416,0.27729
cbo_category_lag_non_school_fixed,high,central,personal,cash,0.865161,0.66,0.84,5.747597,212.563344,-0.15567,212.407675,55.407875,156.9998,0.260856
cbo_category_lag_non_school_fixed,high,low,personal,cash,0.865161,0.66,0.84,5.747597,212.563344,-0.15567,212.407675,35.283756,177.123919,0.166113
cbo_category_lag_non_school_fixed,high,high,personal,cash,0.865161,0.66,0.84,5.747597,212.563344,-0.15567,212.407675,70.282235,142.12544,0.330884
proportional_reference,low,central,shared,gdp,0.715328,1.0,0.59,3.651576,307.898929,-0.235924,307.663005,60.47542,247.187585,0.196564
proportional_reference,low,low,shared,gdp,0.715328,1.0,0.59,3.651576,307.898929,-0.235924,307.663005,32.239344,275.42366,0.104788
proportional_reference,low,high,shared,gdp,0.715328,1.0,0.59,3.651576,307.898929,-0.235924,307.663005,71.863034,235.799971,0.233577
proportional_reference,high,central,personal,cash,0.715328,1.0,0.84,5.747597,340.971486,-0.15567,340.815817,79.185779,261.630038,0.232342
proportional_reference,high,low,personal,cash,0.715328,1.0,0.84,5.747597,340.971486,-0.15567,340.815817,51.233021,289.582795,0.150325
proportional_reference,high,high,personal,cash,0.715328,1.0,0.84,5.747597,340.971486,-0.15567,340.815817,95.41291,245.402907,0.279954
