end,convention,side,line,gap_bn,federal_bn,state_local_bn
low,central,receipt,federal_income_tax,-137.944695,-137.944695,0.0
low,central,receipt,state_local_income_tax,-28.783372,-0.0,-28.783372
low,central,receipt,personal_motor_vehicle,-2.927265,-0.0,-2.927265
low,central,receipt,other_personal_tax,-0.521858,-0.0,-0.521858
low,central,receipt,employee_oasdi,-57.970193,-57.970193,0.0
low,central,receipt,employee_hi,-17.27924,-17.27924,0.0
low,central,receipt,self_employment_oasdi_hi,-9.27494,-9.27494,0.0
low,central,receipt,employer_oasdi,-58.470785,-58.470785,0.0
low,central,receipt,employer_hi,-15.370127,-15.370127,0.0
low,central,receipt,medicare_supplementary_premiums,-7.856859,-7.856859,0.0
low,central,receipt,other_domestic_social_contributions,-11.299895,-8.047438,-3.252457
low,central,receipt,general_sales_tax,-48.821293,-0.0,-48.821293
low,central,receipt,excise_selective_sales,-30.087298,-8.101143,-21.986155
low,central,receipt,customs_duties,-6.773941,-6.773941,0.0
low,central,receipt,personal_current_transfers,-11.431993,-2.055271,-9.376722
low,central,spending,general_public_services,28.491849,3.248453,25.243396
low,central,spending,public_order_safety,68.369035,10.731486,57.637549
low,central,spending,housing_community_services,1.747999,0.332357,1.415642
low,central,spending,health_services,23.534996,17.876076,5.65892
low,central,spending,education_services,131.467334,10.784599,120.682736
low,central,spending,income_security_services,29.344478,21.430743,7.913735
low,central,spending,social_security,62.72197,62.72197,0.0
low,central,spending,medicare,63.964982,63.964982,0.0
low,central,spending,unemployment,4.186714,4.186714,0.0
low,central,spending,railroad_retirement,0.627798,0.627798,0.0
low,central,spending,pension_guaranty,0.039259,0.039259,0.0
low,central,spending,veterans_life_insurance,0.028886,0.028886,0.0
low,central,spending,workers_compensation,2.584899,0.830125,1.754774
low,central,spending,military_medical,0.648414,0.648414,0.0
low,central,spending,veterans_pension_disability,11.61398,11.61398,0.0
low,central,spending,veterans_readjustment,0.732834,0.732834,0.0
low,central,spending,veterans_other,2.369884,2.369884,0.0
low,central,spending,snap,14.284937,14.284937,0.0
low,central,spending,black_lung,0.037506,0.037506,0.0
low,central,spending,ssi,5.309815,4.888594,0.421221
low,central,spending,refundable_tax_credits,55.404227,55.404227,0.0
low,central,spending,other_federal_benefits,4.203685,4.203685,0.0
low,central,spending,temporary_disability,2.84831,0.0,2.84831
low,central,spending,medicaid_and_chip_other_medical,120.565188,76.814154,43.751034
low,central,spending,family_and_general_assistance,11.027479,7.392099,3.635381
low,central,spending,energy_assistance,0.553172,0.509574,0.043598
low,central,spending,other_state_welfare,5.069837,3.398486,1.671351
low,central,spending,education_benefits,9.045576,0.659944,8.385632
low,central,spending,employment_training,0.172623,0.012287,0.160337
low,central,spending,other_state_benefits,0.345704,0.0,0.345704
low,central,production,induced_receipts_F,-13.558522,-11.986402,-1.572121
low,low,receipt,federal_income_tax,-137.944695,-137.944695,0.0
low,low,receipt,state_local_income_tax,-28.783372,-0.0,-28.783372
low,low,receipt,personal_motor_vehicle,-2.927265,-0.0,-2.927265
low,low,receipt,other_personal_tax,-0.521858,-0.0,-0.521858
low,low,receipt,employee_oasdi,-57.970193,-57.970193,0.0
low,low,receipt,employee_hi,-17.27924,-17.27924,0.0
low,low,receipt,self_employment_oasdi_hi,-9.27494,-9.27494,0.0
low,low,receipt,employer_oasdi,-58.470785,-58.470785,0.0
low,low,receipt,employer_hi,-15.370127,-15.370127,0.0
low,low,receipt,medicare_supplementary_premiums,-7.856859,-7.856859,0.0
low,low,receipt,other_domestic_social_contributions,-11.299895,-8.047438,-3.252457
low,low,receipt,general_sales_tax,-48.821293,-0.0,-48.821293
low,low,receipt,excise_selective_sales,-30.087298,-8.101143,-21.986155
low,low,receipt,customs_duties,-6.773941,-6.773941,0.0
low,low,receipt,personal_current_transfers,-11.431993,-2.055271,-9.376722
low,low,spending,general_public_services,28.491849,2.910533,25.581316
low,low,spending,public_order_safety,68.369035,10.095544,58.273491
low,low,spending,housing_community_services,1.747999,0.332357,1.415642
low,low,spending,health_services,23.534996,16.619598,6.915398
low,low,spending,education_services,131.467334,1.286942,130.180392
low,low,spending,income_security_services,29.344478,16.132871,13.211607
low,low,spending,social_security,62.72197,62.72197,0.0
low,low,spending,medicare,63.964982,63.964982,0.0
low,low,spending,unemployment,4.186714,4.186714,0.0
low,low,spending,railroad_retirement,0.627798,0.627798,0.0
low,low,spending,pension_guaranty,0.039259,0.039259,0.0
low,low,spending,veterans_life_insurance,0.028886,0.028886,0.0
low,low,spending,workers_compensation,2.584899,0.830125,1.754774
low,low,spending,military_medical,0.648414,0.648414,0.0
low,low,spending,veterans_pension_disability,11.61398,11.61398,0.0
low,low,spending,veterans_readjustment,0.732834,0.732834,0.0
low,low,spending,veterans_other,2.369884,2.369884,0.0
low,low,spending,snap,14.284937,14.284937,0.0
low,low,spending,black_lung,0.037506,0.037506,0.0
low,low,spending,ssi,5.309815,4.888594,0.421221
low,low,spending,refundable_tax_credits,55.404227,55.404227,0.0
