benchmark,rule,end,convention,rate_path,window_start,financing,stock_entering_2024_bn,legacy_interest_2024_bn,stock_end_2024_brief_bn,flow_2024_bn,flow_2024_part_year_interest_bn,sum_flows_nominal_bn,rate_2024,stock_share_of_debt_end_fy2023,interest_per_member_usd,interest_per_other_resident_usd,interest_share_of_fy2024_net_interest,interest_share_of_account_interest_allocation,interest_share_of_per_head_net_interest
main,programme,high,central,effective,2005,all_borrowed,859.753283,27.796671,887.549954,58.449363,0.944863,784.620102,0.032331,0.03277,679.68213,92.898836,0.031591,0.206608,0.262726
main,programme,high,central,effective,2005,half_borrowed,429.876641,13.898335,443.774977,29.224681,0.472431,392.310051,0.032331,0.016385,339.841065,46.449418,0.015796,0.103304,0.131363
main,programme,high,central,effective,2010,all_borrowed,854.466579,27.625746,882.092325,58.449363,0.944863,776.196313,0.032331,0.032569,675.502701,92.327592,0.031397,0.205337,0.261111
main,programme,high,central,effective,2010,half_borrowed,427.233289,13.812873,441.046162,29.224681,0.472431,388.098156,0.032331,0.016284,337.75135,46.163796,0.015699,0.102669,0.130555
main,programme,high,central,effective,2015,all_borrowed,639.700376,20.682143,660.382519,58.449363,0.944863,605.650903,0.032331,0.024383,505.718237,69.121481,0.023506,0.153727,0.195482
main,programme,high,central,effective,2015,half_borrowed,319.850188,10.341072,330.191259,29.224681,0.472431,302.825451,0.032331,0.012191,252.859118,34.56074,0.011753,0.076863,0.097741
main,programme,high,central,constant_3_22,2005,all_borrowed,912.286608,29.382841,941.669449,58.449363,0.941266,784.620102,0.032208,0.034773,718.467055,98.199952,0.033394,0.218398,0.277718
main,programme,high,central,constant_3_22,2005,half_borrowed,456.143304,14.691421,470.834725,29.224681,0.470633,392.310051,0.032208,0.017386,359.233527,49.099976,0.016697,0.109199,0.138859
main,programme,high,central,constant_3_22,2010,all_borrowed,904.442234,29.13019,933.572424,58.449363,0.941266,776.196313,0.032208,0.034474,712.289255,97.355572,0.033107,0.21652,0.27533
main,programme,high,central,constant_3_22,2010,half_borrowed,452.221117,14.565095,466.786212,29.224681,0.470633,388.098156,0.032208,0.017237,356.144627,48.677786,0.016554,0.10826,0.137665
