design,window,outcome,treat,geo,natl_shift,estimator,n,coef,se,lo,hi,first_stage_F
1,2000-2005,ssi_rate,all foreign-born,published-ACS,4581953.0,OLS,332,-0.09011886799443714,0.033477583861495186,-0.15573372665238705,-0.02450400933648722,
1,2000-2005,ssi_rate,all foreign-born,published-ACS,4581953.0,first-stage,332,0.24445745244165062,0.05647725342002139,0.13376406979266708,0.35515083509063416,18.735247163189463
1,2000-2005,ssi_rate,all foreign-born,published-ACS,4581953.0,reduced-form,332,-0.07264183611257743,0.018376438556002458,-0.1086589938464555,-0.03662467837869938,18.735247163189463
1,2000-2005,ssi_rate,all foreign-born,published-ACS,4581953.0,IV,332,-0.29715533475060063,0.0912116282993164,-0.47592684118851514,-0.11838382831268612,18.735247163189463
1,2000-2005,ssi_rate,all foreign-born,published-ACS,4581953.0,Z-ON-BASELINE-LEVEL (exogeneity test),332,0.25369062488136607,0.06682238739768677,0.12272115222091681,0.3846600975418153,18.735247163189463
1-levelctl,2000-2005,ssi_rate,all foreign-born,published-ACS,4581953.0,OLS+ctl,332,-0.102453960083326,0.03379384426922212,-0.16868867775015667,-0.03621924241649534,
1-levelctl,2000-2005,ssi_rate,all foreign-born,published-ACS,4581953.0,first-stage,332,0.3150964230547256,0.06199485672017821,0.1935887366564554,0.4366041094529959,25.833046460783205
1-levelctl,2000-2005,ssi_rate,all foreign-born,published-ACS,4581953.0,reduced-form+ctl,332,-0.06888185186526644,0.021028915423228753,-0.11009776872873367,-0.02766593500179921,25.833046460783205
1-levelctl,2000-2005,ssi_rate,all foreign-born,published-ACS,4581953.0,IV+ctl,332,-0.2186056293419214,0.07412479737255337,-0.3638875625534552,-0.07332369613038758,25.833046460783205
1,2000-2005,pa_rate,all foreign-born,published-ACS,4581953.0,OLS,332,-0.0055158872636231725,0.07043203753573861,-0.14356014419144408,0.13252836966419773,
1,2000-2005,pa_rate,all foreign-born,published-ACS,4581953.0,first-stage,332,0.24445745244165062,0.05647725342002139,0.13376406979266708,0.35515083509063416,18.735247163189463
1,2000-2005,pa_rate,all foreign-born,published-ACS,4581953.0,reduced-form,332,-0.26510159695928587,0.03895534732771457,-0.3414526747268551,-0.18875051919171665,18.735247163189463
1,2000-2005,pa_rate,all foreign-born,published-ACS,4581953.0,IV,332,-1.0844488245763895,0.3062672040220772,-1.6847215141054415,-0.48417613504733736,18.735247163189463
1,2000-2005,pa_rate,all foreign-born,published-ACS,4581953.0,Z-ON-BASELINE-LEVEL (exogeneity test),332,0.3868845316287161,0.09783925613588479,0.19512311332819243,0.5786459499292398,18.735247163189463
1-levelctl,2000-2005,pa_rate,all foreign-born,published-ACS,4581953.0,OLS+ctl,332,-0.06575724646139394,0.04056100056450158,-0.14525534674472584,0.013740853821937946,
1-levelctl,2000-2005,pa_rate,all foreign-born,published-ACS,4581953.0,first-stage,332,0.3391104671652311,0.07875817798533281,0.1847472748259834,0.49347365950447875,18.539203402546068
1-levelctl,2000-2005,pa_rate,all foreign-born,published-ACS,4581953.0,reduced-form+ctl,332,-0.1295558282566608,0.03248259716087895,-0.19322054881630654,-0.06589110769701503,18.539203402546068
1-levelctl,2000-2005,pa_rate,all foreign-born,published-ACS,4581953.0,IV+ctl,332,-0.38204609058420846,0.16132119117684135,-0.6982298152339182,-0.06586236593449868,18.539203402546068
1,2000-2005,ssi_rate,Mexico-born,published-ACS,1792454.0,OLS,37,-0.0648987601966721,0.09302558898289363,-0.24722556424376965,0.11742804385042546,
1,2000-2005,ssi_rate,Mexico-born,published-ACS,1792454.0,first-stage,37,0.40225407203138197,0.07760333310848397,0.25015433405848864,0.5543538100042753,26.868297514187
