year,pop,fb,mex
2000,281421906.0,31107889.0,9177487.0
2005,288378137.0,35689842.0,10969941.0
2006,299398485.0,37547789.0,11541404.0
2007,301621159.0,38059694.0,11738537.0
2008,304059728.0,37960935.0,11412668.0
2010,309349689.0,39955854.0,11711103.0
2013,316128839.0,41348066.0,11584977.0
2015,321418821.0,43290372.0,11643298.0
2018,327167439.0,44728721.0,11171893.0
2019,328239523.0,44932901.0,10931939.0
2021,331893745.0,45270103.0,10697374.0
2022,333287562.0,46182177.0,10678502.0
2023,334914896.0,47831411.0,10918205.0
2024,340110990.0,50234858.0,11143711.0
