cbsa,cbsa_title,year,2554_nc_pop,2554_nc_emp,2554_nc_lf,2554_nc_ssi,2554_nc_pa,2554_nc_snap,mx_pre2000_n,mx_pre2000_emp,mx_pre2000_wagesum,mx_pre2000_ftfy_n,mx_pre2000_ftfy_wagesum,mx_pre2000_nc_n,mx_pre2000_nc_wagesum,mx_post2000_n,mx_post2000_emp,mx_post2000_wagesum,mx_post2000_ftfy_n,mx_post2000_ftfy_wagesum,mx_post2000_nc_n,mx_post2000_nc_wagesum,nat_epop,nat_lfp,nat_ssi,nat_pa,nat_snap,mx_pre_ftfy_wage,mx_pre_wage_pp,mx_pre_nc_wage_pp,mx_pre_n,mx_pre_epop,mx_post_ftfy_wage,mx_post_wage_pp,mx_post_nc_wage_pp,mx_post_n,mx_post_epop,nat_pop
10180,"Abilene, TX",2005,43006.7131,31309.2356,32802.6286,824.7272,603.4111,0.0,1944.2746,1249.9833,23138472.487999998,0.0,0.0,1653.4537,19829448.508,214.12,66.1334,1599112.82,0.0,0.0,214.12,1599112.82,72.80081025303932,76.27327511341478,1.9176708484610976,1.403062583734166,0.0,,11900.825371066412,11992.744948346604,1944.2746,64.29047110937931,,7468.30198019802,7468.30198019802,214.12,30.88613861386138,43006.7131
10180,"Abilene, TX",2008,40317.081,33199.1008,33880.6935,1353.2955,820.8597,4372.4403999999995,2028.4353,1544.2966999999999,31587408.69,1168.4509,24962436.77,1907.4353,28441408.69,256.5822,200.0509,3009731.21,73.0192,1917447.5,220.23720000000003,2790323.41,82.34500111751642,84.03558159381629,3.3566306548829763,2.036009749812989,10.845131372482049,21363.70194930741,15572.30279417835,14910.811753352787,2028.4353,76.1324110263709,26259.497502026865,11730.085758092338,12669.628064650295,256.5822,77.9675675085801,40317.081
10180,"Abilene, TX",2021,42426.0852,33322.9978,34582.9954,1621.3456,703.8016,9535.4184,1624.9958,1012.7466,41144891.58,940.4703999999999,40665297.36,1584.8732,40036267.980000004,958.5178,533.544,10963893.8,459.79499999999996,9079337.0,948.0136,10963893.8,78.54365455335483,81.5135198945954,3.821577202696986,1.658888857367401,22.47536711211809,43239.316580298546,25319.998722458236,25261.495985924932,1624.9958,62.32302877336667,19746.489196272254,11438.383095233079,11565.122905409797,958.5178,55.663442035192254,42426.0852
10180,"Abilene, TX",2024,44953.3355,36186.549,37465.3815,1204.695,637.497,6161.992,716.622,623.2055,19792811.45,482.6735,19309289.7,584.091,11074161.45,747.5074999999999,641.078,13210062.2,541.078,11927142.5,703.559,12679150.2,80.49802889487476,83.34282892089287,2.679879004751494,1.4181305856603232,13.707530111975785,40004.86809406358,27619.597849354333,18959.65089343955,716.622,86.96432707899005,22043.295975811252,17672.146700869223,18021.445536195257,747.5074999999999,85.76208265468908,44953.3355
10420,"Akron, OH",2005,200138.6801,153559.717,165844.0636,3740.7378,3454.9016,0.0,275.9772,275.9772,7458762.24,0.0,0.0,275.9772,7458762.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.72665619822882,82.86457346332824,1.869072883927748,1.7262538147417315,0.0,,27026.73351276845,27026.73351276845,275.9772,100.0,,,,0.0,,200138.6801
10420,"Akron, OH",2008,190150.1562,153335.9978,164527.9703,3727.7606,5278.7294,27476.292699999998,486.0,486.0,28835800.0,408.0,28094800.0,266.0,3244800.0,1394.0,1220.0,33808600.0,929.0,31957000.0,1394.0,33808600.0,80.63942773663628,86.52528800815152,1.9604299436278876,2.7760847035265286,14.449787078323736,68859.80392156863,59332.92181069959,12198.496240601504,486.0,100.0,34399.35414424112,24252.941176470587,24252.941176470587,1394.0,87.51793400286944,190150.1562
10420,"Akron, OH",2021,148061.0,111326.0,119286.0,6899.0,14666.0,29854.0,665.0,665.0,11900900.0,176.0,5984000.0,665.0,11900900.0,652.0,307.0,46967000.0,307.0,33167000.0,652.0,46967000.0,75.1892800940153,80.56544262162217,4.659565989693437,9.905376837924909,20.163311067735595,34000.0,17896.09022556391,17896.09022556391,665.0,100.0,108035.8306188925,72035.27607361964,72035.27607361964,652.0,47.08588957055215,148061.0
10420,"Akron, OH",2024,140851.0,109516.0,115168.0,4440.0,2901.0,28213.0,77.0,77.0,539000.0,0.0,0.0,0.0,0.0,507.0,204.0,21688800.0,156.0,19500000.0,189.0,2188800.0,77.75308659505434,81.76583765823459,3.15226728954711,2.059623289859497,20.030386720719058,,7000.0,,77.0,100.0,125000.0,42778.69822485207,11580.952380952382,507.0,40.23668639053255,140851.0
10500,"Albany, GA",2005,48919.5938,35688.6493,38602.9951,1983.1399000000001,1079.2733,0.0,567.7339,465.6511,10337649.3,0.0,0.0,567.7339,10337649.3,483.86,483.86,5404660.0,0.0,0.0,483.86,5404660.0,72.95369100141627,78.91111127746117,4.053876465343832,2.206218850492581,0.0,,18208.617276509296,18208.617276509296,567.7339,82.01925232930428,,11169.883850700615,11169.883850700615,483.86,100.0,48919.5938
10500,"Albany, GA",2008,49482.7607,35368.9143,38031.9098,1457.7332,596.4364,11327.3423,501.20550000000003,275.20259999999996,8715976.8,234.68519999999998,7930781.16,501.20550000000003,8715976.8,84.9813,52.62,780512.46,0.0,0.0,84.9813,780512.46,71.47724540761122,76.8589085612598,2.9459415347454527,1.2053418030089822,22.891492187904543,33793.2735426009,17390.02624671916,17390.02624671916,501.20550000000003,54.90813648293962,,9184.52012383901,9184.52012383901,84.9813,61.919504643962846,49482.7607
