group,band,persons,tax_fica_fed_state,avg_tax_rate_on_wages,wage_bill,mean_wage_per_person,earners,mean_wage_per_earner,n_unweighted
mexico_born,all_ages,12231213.89,59635251934.83,0.16943989724725048,351955194164.27,28775.16469988491,7364289.76,47792.1436600656,5637
mexico_born,25_64,9446563.2,52931837494.96999,0.16409583175382733,322566618111.16003,34146.452130988764,6643088.25,48556.72632546467,4318
mexican_second_gen,all_ages,14353825.36,65531030797.8,0.20130867405795377,325525122573.38,22678.63196110253,6471147.640000001,50304.079072654255,6364
mexican_second_gen,25_64,5614636.59,55526852384.03,0.20598406744341252,269568676224.36,48011.77634621585,4385827.78,61463.57990927769,2452
mexican_third_plus_selfid,all_ages,14383006.69,69897937352.29999,0.21432878215925247,326124828630.64,22674.31529857962,5678528.43,57431.22230536055,6373
mexican_third_plus_selfid,25_64,5526182.3100000005,60217061236.12,0.21600487916718722,278776393701.33,50446.47064879949,4245278.7,65667.39509972102,2477
third_plus_nh_white,all_ages,173658265.77,1999578554813.87,0.2961321980460112,6752317269137.98,38882.78648412291,87631626.47999999,77053.42854362118,74163
third_plus_nh_white,25_64,87647855.49,1602951197171.1602,0.27253445791472475,5881645974002.74,67105.41793773603,67805928.21,86742.35615191117,36287
all_native,all_ages,284571446.71000004,2734441669919.62,0.28119326493032937,9724420926643.2,34172.15971268236,135123649.49,71966.8315897793,120382
all_native,25_64,134686461.29,2226153905090.3496,0.26332438180151185,8454036386073.72,62768.2716221263,103536199.72999999,81652.95237916804,55652
