measure,bins,bin,persons_m,households_m,ybar_bin,y_min,y_max,resources_pc_bn,money_pc_bn,y_median,floor_p1,floor_p2,floor_p3,floor_p5,floor_p10
spm,5,1,59.168031622250524,27.09961323199703,29781.768643157808,-581188.7810140237,48361.0,567.4395343983706,730.5566439315522,,,,,,
spm,5,2,59.16435278961273,23.909666303535715,61990.83671190319,48361.0,76294.0,1135.7879674842002,1417.3152001690162,,,,,,
spm,5,3,59.16600848203837,23.775016996102178,92847.35425386028,76294.0,110683.93546921154,1707.041336020772,2242.8528812433415,,,,,,
spm,5,4,59.16693637117285,24.69231346811508,136220.61857883874,110687.06962509564,169691.47788565262,2534.5751545864346,3433.496860626015,,,,,,
spm,5,5,59.16589958258744,25.56893606025,286892.9437805947,169692.42540168326,2352889.0589135424,5366.555281906924,7634.76119831167,,,,,,
spm,10,1,29.58317280342811,14.115331129620657,18040.2954727258,-581188.7810140237,34102.47670983867,177.05190122577753,280.4008712905887,,,,,,
spm,10,2,29.584858818822422,12.98428210237637,41522.57267723738,34105.717367853285,48361.0,390.38763317259315,450.1557726409634,,,,,,
spm,10,3,29.579805530116552,12.059563597892856,54998.33891285392,48361.0,61893.88775278346,504.4733577621955,612.2833956206536,,,,,,
spm,10,4,29.58454725949618,11.850102705642856,68982.21377275219,61896.44012944984,76294.0,631.3146097220047,805.0318045483623,,,,,,
spm,10,5,29.58438264060618,11.903242490870573,84322.01925842703,76294.0,92755.92960979343,776.4074361325083,1012.2884488572607,,,,,,
spm,10,6,29.581625841432192,11.871774505231603,101373.483750468,92755.92960979343,110683.93546921154,930.6338998882638,1230.5644323860806,,,,,,
spm,10,7,29.58336997994087,12.178324307670634,121709.58773684237,110687.06962509564,134163.96979503776,1129.6970154658045,1518.9338915417125,,,,,,
spm,10,8,29.583566391231976,12.513989160444444,150731.55307916136,134166.79418515685,169691.47788565262,1404.8781391206294,1914.562969084303,,,,,,
spm,10,9,29.584372136674727,12.732290086535713,196948.56718969517,169692.42540168326,233469.05404300545,1848.8190663328428,2540.291307713717,,,,,,
spm,10,10,29.581527445912712,12.836645973714285,376845.9698213123,233470.5432287682,2352889.0589135424,3517.736215574082,5094.469890597953,,,,,,
spm,0,0,295.8312288476619,125.04554606,121546.39530702695,,,,,92755.92960979343,-61.20887528691661,5084.190832553789,12783.171521035598,22151.03147116398,34102.47670983867
money,5,1,59.166084831485335,28.08885978,16561.625708876236,-6504.67528013505,28912.182069155555,618.6035522187543,638.4443124806971,,,,,,
money,5,2,59.16694946370195,25.375883,39674.74378876791,28912.35894907228,50581.96318847263,1182.6652814489821,1472.5142140762725,,,,,,
money,5,3,59.16650944722216,24.180849763333335,63061.460813482496,50581.96318847263,76394.98761917128,1745.5959858210715,2294.6947038299754,,,,,,
money,5,4,59.165112979177074,23.781827266666667,95471.67608267139,76394.98761917128,120001.0,2537.7950308447325,3461.8906254225217,,,,,,
money,5,5,59.166572126075415,23.61812625,208064.2319995376,120002.0,1666728.465002623,5226.739424063161,7591.438928472127,,,,,,
money,10,1,29.58223155174756,14.49997959,9629.822380089712,-6504.67528013505,17708.782228035896,220.51520157290332,188.84597131217834,,,,,,
money,10,2,29.583853279737777,13.58888019,23493.049049992638,17710.0,28912.182069155555,398.088350645851,449.5983411685188,,,,,,
money,10,3,29.58263174693156,12.80825186125,34263.886577126825,28912.35894907228,39740.461762855746,522.5651536470285,639.3542362754819,,,,,,
money,10,4,29.584317716770393,12.56763113875,45085.2926430506,39740.461762855746,50581.96318847263,660.1001278019535,833.1599778007907,,,,,,
money,10,5,29.582834680124932,12.195485863333333,56572.043502685265,50581.96318847263,62666.92908278391,798.0604448169033,1034.4560347428041,,,,,,
money,10,6,29.58367476709722,11.985363899999998,69550.69384443677,62666.92908278391,76394.98761917128,947.5355410041683,1260.2386690871717,,,,,,
money,10,7,29.58154983509726,11.869079046666666,84954.97542963982,76394.98761917128,94151.2679149888,1133.9381440112818,1535.387357545242,,,,,,
money,10,8,29.58356314407981,11.91274822,105987.66102178475,94151.2679149888,120001.0,1403.8568868334507,1926.5032678772795,,,,,,
money,10,9,29.58551930078282,11.790796076666668,139838.6500841371,120002.0,166226.07070292355,1804.5208057930054,2536.30475270576,,,,,,
money,10,10,29.58105282529259,11.827330173333332,276300.1153701037,166226.07070292355,1666728.465002623,3422.218618270156,5055.134175766366,,,,,,
money,0,0,295.8312288476619,125.04554606,84566.75320587297,,,,,62666.92908278391,4.0,3051.8728676011388,6246.1988440971045,11030.865786510141,17710.0
