level,geography,acs_quintile,extra_rent_bn,renter_households_m,usd_per_renter_household
low,metro_local,1,5.097769883505847,13.76043,370.4658854051688
low,metro_local,2,4.309905431062182,9.030337,477.26961142891815
low,metro_local,3,4.142630461259143,6.993691,592.3382175819811
low,metro_local,4,4.011412316311019,5.243519,765.0229390436116
low,metro_local,5,4.585879881636745,3.964102,1156.8521399390695
low,national_uniform,1,5.423727505965982,13.76043,394.15392585594947
low,national_uniform,2,4.454070926767523,9.030337,493.2341868047142
low,national_uniform,3,4.025002009392293,6.993691,575.5189941037277
low,national_uniform,4,3.68296586357391,5.243519,702.3843841462021
low,national_uniform,5,4.007219517470623,3.964102,1010.8769949589145
central,metro_local,1,7.792498642896502,13.76043,566.2976115496756
central,metro_local,2,6.586262389144747,9.030337,729.3484605441355
central,metro_local,3,6.329689193920019,6.993691,905.057028387445
central,metro_local,4,6.131735901073286,5.243519,1169.393283608448
central,metro_local,5,7.018348987542224,3.964102,1770.476387222686
central,national_uniform,1,8.408248128173021,13.76043,611.0454490283386
central,national_uniform,2,6.9050175348129805,9.030337,764.6467163753669
central,national_uniform,3,6.239844382694057,6.993691,892.2104769418689
central,national_uniform,4,5.7095956230207365,5.243519,1088.8862275545748
central,national_uniform,5,6.21227669898401,3.964102,1567.133413566051
high,metro_local,1,11.523390296151018,13.76043,837.42952045474
high,metro_local,2,9.736249050904897,9.030337,1078.171174664345
high,metro_local,3,9.354218193923646,6.993691,1337.5223746550494
high,metro_local,4,9.065095867976096,5.243519,1728.8191132665097
high,metro_local,5,10.391674043629642,3.964102,2621.444666062993
high,national_uniform,1,12.677918860914517,13.76043,921.3315907216937
high,national_uniform,2,10.411354506324786,9.030337,1152.9308935341821
high,national_uniform,3,9.408409407361065,6.993691,1345.270960264196
high,national_uniform,4,8.608902702900775,5.243519,1641.8177759822695
high,national_uniform,5,9.366842977358758,3.964102,2362.916740628459
