measure,channel,eta,unweighted_bn,person_p1,person_p2,person_p3,person_p5,person_p10,quintile_bins,decile_bins,quintile_bins_floored_p5,decile_bins_floored_p5,equal_split_p1,equal_split_p2,equal_split_p3,equal_split_p5,equal_split_p10,median_normalized_p5
spm,fiscal_a,0.0,-227.92425781758163,-227.92425781758064,-227.92425781758064,-227.92425781758064,-227.92425781758064,-227.92425781758064,-227.92425781758163,-227.92425781758075,-227.92425781758163,-227.92425781758075,-227.92425781758064,-227.92425781758064,-227.92425781758064,-227.92425781758064,-227.92425781758064,-227.92425781758064
spm,fiscal_a,1.0,-227.92425781758163,,-180.13160062617845,-172.7774765617589,-169.64917285130346,-166.57617897016416,-184.88018669837396,-181.78124780667665,-181.7319609356087,-176.57515906026248,,-81.30795061899047,-91.98948281035571,-98.18260028029312,-104.33004026226993,-129.46469284922873
spm,fiscal_a,1.3,-227.92425781758163,,-208.21657634549408,-186.2643422482378,-178.8916912372461,-172.67902958577943,-193.95654758302308,-195.44186231486327,-187.82300172789127,-184.0157623026657,,-57.887368069124555,-71.85580454830145,-79.94085716689922,-87.57309716135765,-125.88374319597892
spm,fiscal_a,1.4,-227.92425781758163,,-225.33551852671613,-194.1035429416101,-184.41731184715144,-176.66335757403888,-199.63064293701876,-203.58278835571198,-192.07147675796082,-188.92786884643414,,-51.74934080852531,-66.34306225222923,-74.96300219835808,-83.02211112866075,-126.3109860744265
spm,fiscal_a,2.0,-227.92425781758163,,-536.7849188012734,-296.21631528142615,-250.35348651745335,-223.42380762352076,-270.7432075094306,-310.8392389692511,-246.48002958871072,-250.97168627807616,,-30.04031344466418,-42.914274547834566,-53.30258290091708,-63.150118004073114,-145.7984280260738
spm,fiscal_b,0.0,-227.92425781758152,-227.9242578175806,-227.9242578175806,-227.9242578175806,-227.9242578175806,-227.9242578175806,-227.92425781758155,-227.92425781758038,-227.92425781758155,-227.92425781758038,-227.9242578175806,-227.9242578175806,-227.9242578175806,-227.9242578175806,-227.9242578175806,-227.9242578175806
spm,fiscal_b,1.0,-227.92425781758152,,-504.9489142163342,-428.0943528524774,-393.829066465058,-363.9100671908155,-395.08634641350915,-433.55636625883903,-374.320323671774,-388.53068601183816,,-227.92425781758058,-227.92425781758058,-227.92425781758058,-227.92425781758055,-300.54351735441116
spm,fiscal_b,1.3,-227.92425781758152,,-819.8266774228566,-590.8243910381901,-510.0490212389682,-449.4272891420099,-512.0145483051203,-598.6627678745297,-471.55704547239264,-499.842338435286,,-227.9242578175806,-227.92425781758055,-227.92425781758058,-227.92425781758058,-358.91482473523894
spm,fiscal_b,1.4,-227.92425781758152,,-992.4654114952585,-666.850526081087,-560.7189906862609,-485.0016954666929,-562.5672206268375,-674.746576683372,-512.7061786903174,-548.0011921901157,,-227.92425781758055,-227.92425781758058,-227.92425781758058,-227.92425781758055,-384.04728880843817
spm,fiscal_b,2.0,-227.92425781758152,,-4072.7372718936094,-1573.2500321943407,-1070.5228433789923,-806.3912964989922,-1057.1425281930663,-1540.7533623652712,-897.1000971680833,-1022.9793834833373,,-227.92425781758058,-227.9242578175806,-227.92425781758055,-227.92425781758058,-623.4406794242059
