year,origin,natl_stock
2005,ireland,128447
2005,other northern europe,132462
2005,austria,57550
2005,france,150890
2005,germany,624187
2005,netherlands,85328
2005,other western europe,75159
2005,greece,151071
2005,italy,392887
2005,spain,82392
2005,other southern europe,8633
2005,czechoslovakia (includes czech republic and slovakia),79578
2005,hungary,80941
2005,poland,460342
2005,romania,165032
2005,russia,370811
2005,ukraine,325529
2005,bosnia and herzegovina,121614
2005,other eastern europe,342201
2005,"europe, n.e.c.",9323
2005,"china, excluding hong kong and taiwan",1208905
2005,hong kong,206272
2005,taiwan,346183
2005,japan,349854
2005,korea,982818
2005,other eastern asia,12886
2005,afghanistan,53315
2005,bangladesh,118513
2005,india,1422492
2005,iran,301826
2005,pakistan,250688
2005,other south central asia,126908
2005,cambodia,144289
2005,indonesia,89312
2005,laos,192051
2005,philippines,1593421
2005,thailand,178282
2005,vietnam,1066085
2005,other south eastern asia,125223
2005,iraq,93635
2005,israel,131690
2005,lebanon,107026
2005,syria,59000
2005,turkey,89450
2005,armenia,66660
2005,other western asia,182174
2005,ethiopia,103467
2005,other eastern africa,144693
2005,egypt,133084
2005,other northern africa,114737
2005,south africa,86249
2005,other southern africa,4132
2005,ghana,82650
2005,nigeria,166149
2005,other western africa,121729
2005,"africa, n.e.c.",120196
2005,australia,67984
2005,other australian and new zealand subregion,28628
2005,"oceania, n.e.c.",88854
2005,barbados,47368
2005,cuba,895861
2005,dominican republic,700845
2005,haiti,476725
2005,jamaica,592125
2005,trinidad and tobago,205016
2005,other caribbean,225920
2005,mexico,10969941
2005,costa rica,91420
2005,el salvador,987499
2005,guatemala,625652
2005,honduras,378605
2005,nicaragua,226847
2005,panama,108412
2005,other central america,55385
2005,argentina,179620
2005,bolivia,58856
2005,brazil,328510
2005,chile,88816
2005,colombia,556407
2005,ecuador,349111
2005,guyana,246199
2005,peru,371716
2005,venezuela,151743
2005,other south america,50012
2005,canada,819280
2005,other northern america,9425
2006,ireland,133433
2006,other northern europe,128727
2006,austria,61012
2006,france,149481
2006,germany,635238
2006,netherlands,90114
2006,other western europe,77649
2006,greece,162203
2006,italy,419811
2006,spain,88150
2006,other southern europe,8220
2006,czechoslovakia (includes czech republic and slovakia),77187
2006,hungary,84070
2006,poland,499702
2006,romania,156318
2006,russia,383077
2006,ukraine,314355
2006,bosnia and herzegovina,119574
2006,other eastern europe,345957
2006,"europe, n.e.c.",11202
2006,"china, excluding hong kong and taiwan",1334079
2006,hong kong,217237
2006,taiwan,355025
2006,japan,353576
2006,korea,1023956
2006,other eastern asia,16753
2006,afghanistan,51935
2006,bangladesh,135088
2006,india,1519157
2006,iran,326312
2006,pakistan,259282
2006,other south central asia,138872
2006,cambodia,145215
2006,indonesia,90882
2006,laos,192110
2006,philippines,1638413
2006,thailand,186526
2006,vietnam,1117800
2006,other south eastern asia,131441
2006,iraq,101878
2006,israel,135003
2006,lebanon,112840
2006,syria,64110
2006,turkey,88826
2006,armenia,75541
2006,other western asia,202104
2006,ethiopia,126748
2006,other eastern africa,154970
2006,egypt,136931
2006,other northern africa,124538
2006,south africa,79472
2006,other southern africa,1764
2006,ghana,103051
2006,nigeria,197489
2006,other western africa,125623
2006,"africa, n.e.c.",127442
2006,australia,65886
2006,other australian and new zealand subregion,26967
2006,"oceania, n.e.c.",89134
2006,barbados,55113
2006,cuba,935865
2006,dominican republic,766570
2006,haiti,509875
2006,jamaica,631374
2006,trinidad and tobago,231515
2006,other caribbean,225425
2006,mexico,11541404
2006,costa rica,81342
2006,el salvador,1047124
2006,guatemala,720901
2006,honduras,405258
2006,nicaragua,235734
2006,panama,95684
2006,other central america,62594
2006,argentina,165850
2006,bolivia,73394
2006,brazil,342555
2006,chile,89060
2006,colombia,592436
2006,ecuador,384677
2006,guyana,250178
2006,peru,382153
2006,venezuela,162524
2006,other south america,50170
2006,canada,846913
2006,other northern america,8383
2007,ireland,135722
2007,other northern europe,122582
2007,austria,51461
2007,france,154786
2007,germany,631990
2007,netherlands,92782
2007,other western europe,77970
2007,greece,159272
2007,italy,417511
2007,spain,79880
2007,other southern europe,8508
2007,czechoslovakia (includes czech republic and slovakia),77670
2007,hungary,79047
2007,poland,484777
2007,romania,168867
2007,russia,403072
2007,ukraine,311011
2007,bosnia and herzegovina,124589
2007,other eastern europe,369288
2007,"europe, n.e.c.",11768
2007,"china, excluding hong kong and taiwan",1363645
2007,hong kong,206887
2007,taiwan,359670
2007,japan,352933
2007,korea,1042580
2007,other eastern asia,13585
2007,afghanistan,61623
2007,bangladesh,143619
2007,india,1501782
2007,iran,326205
2007,pakistan,286302
2007,other south central asia,151088
2007,cambodia,145266
2007,indonesia,84079
2007,laos,190605
2007,philippines,1701126
2007,thailand,195948
2007,vietnam,1100833
2007,other south eastern asia,124993
2007,iraq,102393
2007,israel,134438
2007,lebanon,124187
2007,syria,54728
2007,turkey,93673
2007,armenia,75842
2007,other western asia,204884
2007,ethiopia,134547
2007,other eastern africa,171083
2007,egypt,136648
2007,other northern africa,138303
2007,south africa,78571
2007,other southern africa,3024
2007,ghana,104842
2007,nigeria,185787
2007,other western africa,142865
2007,"africa, n.e.c.",114871
2007,australia,70889
2007,other australian and new zealand subregion,32971
2007,"oceania, n.e.c.",112841
2007,barbados,55693
2007,cuba,983454
2007,dominican republic,755539
2007,haiti,530897
2007,jamaica,597940
2007,trinidad and tobago,225528
2007,other caribbean,237953
2007,mexico,11738537
2007,costa rica,85605
2007,el salvador,1104390
2007,guatemala,700567
2007,honduras,430504
2007,nicaragua,230902
2007,panama,102158
2007,other central america,57813
2007,argentina,172736
2007,bolivia,70219
2007,brazil,338853
2007,chile,85057
2007,colombia,604527
2007,ecuador,406907
2007,guyana,242667
2007,peru,401129
2007,venezuela,155492
2007,other south america,44031
2007,canada,830388
2007,other northern america,8273
2008,ireland,134897
2008,other northern europe,128840
2008,austria,52707
2008,france,157636
2008,germany,641417
2008,netherlands,85635
2008,other western europe,73967
2008,greece,148336
2008,italy,392798
2008,spain,80858
2008,other southern europe,8511
2008,czechoslovakia (includes czech republic and slovakia),76906
2008,hungary,80333
2008,poland,478569
2008,romania,167966
2008,russia,413370
2008,ukraine,325780
2008,bosnia and herzegovina,119163
2008,other eastern europe,371251
2008,"europe, n.e.c.",14649
2008,"china, excluding hong kong and taiwan",1360545
2008,hong kong,210454
2008,taiwan,342444
2008,japan,333860
2008,korea,1030691
2008,other eastern asia,16266
2008,afghanistan,60718
2008,bangladesh,145479
2008,india,1622522
2008,iran,344935
2008,pakistan,282483
2008,other south central asia,155825
2008,cambodia,145919
2008,indonesia,85850
2008,laos,189274
2008,philippines,1684802
2008,thailand,199075
2008,vietnam,1138039
2008,other south eastern asia,144723
2008,iraq,100966
2008,israel,146179
2008,lebanon,127737
2008,syria,66077
2008,turkey,105225
2008,armenia,75726
2008,other western asia,205355
2008,ethiopia,137012
2008,other eastern africa,166495
2008,egypt,129970
2008,other northern africa,125972
2008,south africa,79585
2008,other southern africa,2113
2008,ghana,108802
2008,nigeria,206604
2008,other western africa,154413
2008,"africa, n.e.c.",120851
2008,australia,76129
2008,other australian and new zealand subregion,27349
2008,"oceania, n.e.c.",119516
2008,barbados,49265
2008,cuba,974657
2008,dominican republic,771910
2008,haiti,534969
2008,jamaica,636589
2008,trinidad and tobago,225242
2008,other caribbean,215277
2008,mexico,11412668
2008,costa rica,81038
2008,el salvador,1094993
2008,guatemala,739254
2008,honduras,460197
2008,nicaragua,238224
2008,panama,96128
2008,other central america,52909
2008,argentina,160218
2008,bolivia,71491
2008,brazil,332632
2008,chile,91590
2008,colombia,600226
2008,ecuador,412676
2008,guyana,258096
2008,peru,384923
2008,venezuela,168592
2008,other south america,39626
2008,canada,818920
2008,other northern america,7951
2009,ireland,121982
2009,other northern europe,20295
2009,austria,51866
2009,france,156379
2009,germany,622608
2009,netherlands,90594
2009,other western europe,1761
2009,greece,144173
2009,italy,375666
2009,spain,80419
2009,other southern europe,8151
2009,czechoslovakia (includes czech republic and slovakia),67340
2009,hungary,77799
2009,poland,443173
2009,romania,178295
2009,russia,403781
2009,ukraine,320110
2009,bosnia and herzegovina,113303
2009,other eastern europe,68569
2009,"europe, n.e.c.",10061
2009,"china, excluding hong kong and taiwan",1432115
2009,hong kong,210273
2009,taiwan,347993
2009,japan,331090
2009,korea,1004329
2009,other eastern asia,8341
2009,afghanistan,64768
2009,bangladesh,151091
2009,india,1665219
2009,iran,362699
2009,pakistan,283988
2009,other south central asia,22938
2009,cambodia,154545
2009,indonesia,84096
2009,laos,191780
2009,philippines,1725894
2009,thailand,203384
2009,vietnam,1152384
2009,other south eastern asia,640
2009,iraq,154220
2009,israel,140323
2009,lebanon,123614
2009,syria,60827
2009,turkey,105350
2009,armenia,82651
2009,other western asia,63230
2009,ethiopia,148221
2009,other eastern africa,163970
2009,egypt,138194
2009,other northern africa,32238
2009,south africa,82339
2009,other southern africa,2806
2009,ghana,108647
2009,nigeria,209908
2009,other western africa,86014
2009,"africa, n.e.c.",112317
2009,australia,70842
2009,other australian and new zealand subregion,28942
2009,"oceania, n.e.c.",70057
2009,barbados,49567
2009,cuba,991385
2009,dominican republic,793285
2009,haiti,538582
2009,jamaica,651177
2009,trinidad and tobago,221067
2009,other caribbean,71598
2009,mexico,11478413
2009,costa rica,86343
2009,el salvador,1149895
2009,guatemala,798682
2009,honduras,467943
2009,nicaragua,253250
2009,panama,103774
2009,other central america,6966
2009,argentina,163791
2009,bolivia,74024
2009,brazil,359149
2009,chile,87607
2009,colombia,609845
2009,ecuador,411826
2009,guyana,245596
2009,peru,406910
2009,venezuela,157819
2009,other south america,36562
2009,canada,814965
2009,other northern america,7412
2010,ireland,124457
2010,other northern europe,25869
2010,austria,48094
2010,france,147959
2010,germany,604616
2010,netherlands,85987
2010,other western europe,2720
2010,greece,135639
2010,italy,364972
2010,spain,83242
2010,other southern europe,6108
2010,czechoslovakia (includes czech republic and slovakia),71755
2010,hungary,78368
2010,poland,475503
2010,romania,151767
2010,russia,383166
2010,ukraine,326493
2010,bosnia and herzegovina,125793
2010,other eastern europe,71030
2010,"europe, n.e.c.",9733
2010,"china, excluding hong kong and taiwan",1608095
2010,hong kong,199971
2010,taiwan,358460
2010,japan,319256
2010,korea,1100422
2010,other eastern asia,13727
2010,afghanistan,54458
2010,bangladesh,153691
2010,india,1780322
2010,iran,356756
2010,pakistan,299581
2010,other south central asia,38456
2010,cambodia,164746
2010,indonesia,99768
2010,laos,192302
2010,philippines,1777588
2010,thailand,222759
2010,vietnam,1240542
2010,other south eastern asia,943
2010,iraq,159800
2010,israel,127896
2010,lebanon,121000
2010,syria,59554
2010,turkey,106271
2010,armenia,89261
2010,other western asia,65164
2010,ethiopia,173592
2010,other eastern africa,184040
2010,egypt,137799
2010,other northern africa,34453
2010,south africa,77985
2010,other southern africa,1929
2010,ghana,124696
2010,nigeria,219309
