wave,group,measure,category,n_unweighted,estimate,se
2018,returned,weighted_count,,778,220218.0,
2018,returned,share_sex,men,594,0.7400666612175208,0.020097040205936147
2018,returned,share_sex,women,184,0.2599333387824792,0.020097040205936147
2018,returned,mean_age_at_departure,,773,33.30944583808438,0.7196342555192692
2018,returned,share_age_at_departure,0-17,44,0.05479589509692132,0.0120602176210702
2018,returned,share_age_at_departure,18-29,312,0.41198631698973776,0.02321483858020724
2018,returned,share_age_at_departure,30-59,369,0.46889851767388824,0.021883203468540318
2018,returned,share_age_at_departure,60+,48,0.06431927023945268,0.011275120696295085
2018,returned,linked_to_tsdem_coverage,,714,0.9177377892030848,
2018,returned,linked_schooling_share,lt_lower_secondary,221,0.30309806593016025,0.021608184605834142
2018,returned,linked_schooling_share,lower_secondary,188,0.2303310329848256,0.019715527271790753
2018,returned,linked_schooling_share,upper_secondary,161,0.21741255220211475,0.017419222937992966
2018,returned,linked_schooling_share,tertiary,144,0.24915834888289942,0.02159841108882834
2018,returned,linked_20_64_coverage,,602,0.7737789203084833,
2018,returned,linked_schooling_share_20_64,lt_lower_secondary,166,0.2681102755713387,0.021887493312797882
2018,returned,linked_schooling_share_20_64,lower_secondary,173,0.2408471158199232,0.021506025694490633
2018,returned,linked_schooling_share_20_64,upper_secondary,129,0.20979168993961772,0.01897850208066046
2018,returned,linked_schooling_share_20_64,tertiary,134,0.2812509186691204,0.02461330612599116
2018,still_abroad,weighted_count,,1492,419882.0,
2018,still_abroad,share_sex,men,1097,0.7186423804783248,0.015491587891282268
2018,still_abroad,share_sex,women,395,0.28135761952167515,0.015491587891282268
2018,still_abroad,mean_age_at_departure,,1480,30.608347267837566,0.4971888493586424
2018,still_abroad,share_age_at_departure,0-17,75,0.05461685911076671,0.008655416421888482
2018,still_abroad,share_age_at_departure,18-29,759,0.522650666577102,0.016099564423474662
2018,still_abroad,share_age_at_departure,30-59,582,0.3838702015924919,0.014646534195439416
2018,still_abroad,share_age_at_departure,60+,64,0.03886227271963937,0.0068772060759648935
2018,still_abroad,linked_to_tsdem_coverage,,0,0.0,
2018,all_us_departures,weighted_count,,2289,645458.0,
2018,all_us_departures,share_sex,men,1706,0.7265197735561415,0.012087348599407946
2018,all_us_departures,share_sex,women,583,0.27348022644385844,0.012087348599407945
2018,all_us_departures,mean_age_at_departure,,2272,31.55084115558923,0.4135421194103194
2018,all_us_departures,share_age_at_departure,0-17,121,0.05544876441875221,0.007029734804829382
2018,all_us_departures,share_age_at_departure,18-29,1079,0.48420036823454765,0.013334133176914289
2018,all_us_departures,share_age_at_departure,30-59,959,0.4125520899103422,0.012390555038240339
2018,all_us_departures,share_age_at_departure,60+,113,0.047798777436357937,0.005918152491702473
2018,all_us_departures,linked_to_tsdem_coverage,,714,0.3119266055045872,
2023,returned,weighted_count,,679,215021.0,
2023,returned,share_sex,men,569,0.8466056803754052,0.01590983319034073
2023,returned,share_sex,women,110,0.1533943196245948,0.01590983319034073
2023,returned,mean_age_at_departure,,669,35.88499962265575,0.684512880281134
2023,returned,share_age_at_departure,0-17,30,0.041630504509263803,0.010462052068529735
2023,returned,share_age_at_departure,18-29,233,0.3451143353081016,0.021699824934629915
2023,returned,share_age_at_departure,30-59,350,0.5292724802837628,0.023832209313780026
2023,returned,share_age_at_departure,60+,56,0.08398267989887175,0.013789786965493173
2023,returned,linked_to_tsdem_coverage,,620,0.9131075110456554,
2023,returned,linked_schooling_share,lt_lower_secondary,152,0.25460917499380625,0.022334610275829583
2023,returned,linked_schooling_share,lower_secondary,178,0.29170967875134196,0.02304032798174637
2023,returned,linked_schooling_share,upper_secondary,158,0.24092100916673548,0.021252463000493486
2023,returned,linked_schooling_share,tertiary,132,0.21276013708811628,0.02113199099061161
2023,returned,linked_20_64_coverage,,528,0.7776141384388807,
2023,returned,linked_schooling_share_20_64,lt_lower_secondary,109,0.22159664564254236,0.023168175521145792
2023,returned,linked_schooling_share_20_64,lower_secondary,171,0.32585610946798277,0.025454192994202218
2023,returned,linked_schooling_share_20_64,upper_secondary,130,0.22669826224328593,0.022252342624886852
2023,returned,linked_schooling_share_20_64,tertiary,118,0.22584898264618894,0.023416379959972533
2023,still_abroad,weighted_count,,2558,850752.0,
2023,still_abroad,share_sex,men,2062,0.796804474159332,0.01025468571747953
2023,still_abroad,share_sex,women,496,0.20319552584066802,0.01025468571747953
2023,still_abroad,mean_age_at_departure,,2552,30.48849903544859,0.2659395754523558
2023,still_abroad,share_age_at_departure,0-17,130,0.05335613217830708,0.005422275571185527
2023,still_abroad,share_age_at_departure,18-29,1252,0.50401552709759,0.012227184746163347
2023,still_abroad,share_age_at_departure,30-59,1108,0.42170635449061433,0.01217740272297236
2023,still_abroad,share_age_at_departure,60+,62,0.02092198623348861,0.0031835735783532215
2023,still_abroad,linked_to_tsdem_coverage,,0,0.0,
2023,all_us_departures,weighted_count,,3259,1072331.0,
2023,all_us_departures,share_sex,men,2650,0.8068711992845493,0.008704312732628278
2023,all_us_departures,share_sex,women,609,0.19312880071545074,0.008704312732628278
2023,all_us_departures,mean_age_at_departure,,3241,31.551248830481175,0.2616801222937638
2023,all_us_departures,share_age_at_departure,0-17,160,0.050721023589124364,0.004780878017725548
2023,all_us_departures,share_age_at_departure,18-29,1496,0.47355715595521797,0.010899784971776969
2023,all_us_departures,share_age_at_departure,30-59,1466,0.4421324898422954,0.01076838748433998
2023,all_us_departures,share_age_at_departure,60+,119,0.03358933061336223,0.003912572883452507
2023,all_us_departures,linked_to_tsdem_coverage,,620,0.19024240564590364,
