year,nbhd,pop,hisp_n,mex_n,hisp_pct,mex_pct
2011,Marina,21584,1576,815,7.3,3.8
2011,Mission,55220,21043,12074,38.1,21.9
2011,Chinatown,15236,272,103,1.8,0.7
2011,Excelsior,38770,12659,4579,32.7,11.8
2011,Japantown,3932,472,272,12.0,6.9
2011,Bernal Heights,25447,7971,4750,31.3,18.7
2011,Noe Valley,22210,2973,1890,13.4,8.5
2011,Tenderloin,25164,5177,3930,20.6,15.6
2011,North Beach,12345,1105,596,9.0,4.8
2011,Outer Mission,22649,6598,3286,29.1,14.5
2013,Mission,56873,21893,11950,38.5,21.0
2013,Bernal Heights,26052,7939,4658,30.5,17.9
2013,Noe Valley,21564,2940,1346,13.6,6.2
2013,Excelsior,39437,13119,4842,33.3,12.3
2013,North Beach,12451,1196,675,9.6,5.4
2013,Marina,23793,1572,590,6.6,2.5
2013,Chinatown,14905,461,145,3.1,1.0
2013,Outer Mission,23223,7081,2985,30.5,12.9
2013,Tenderloin,26085,4750,3257,18.2,12.5
2013,Japantown,3939,433,266,11.0,6.8
2015,Excelsior,39640,12460,5746,31.4,14.5
2015,Bernal Heights,25487,7490,3787,29.4,14.9
2015,North Beach,12550,1105,682,8.8,5.4
2015,Mission,57873,22707,11970,39.2,20.7
2015,Noe Valley,22769,2463,1150,10.8,5.1
2015,Chinatown,14336,519,254,3.6,1.8
2015,Outer Mission,23983,7375,3007,30.8,12.5
2015,Tenderloin,28820,6679,4818,23.2,16.7
2015,Marina,24915,1868,691,7.5,2.8
2015,Japantown,3633,281,186,7.7,5.1
2017,Noe Valley,23262,3104,1428,13.3,6.1
2017,Marina,25120,1721,625,6.9,2.5
2017,Mission,58630,22088,12222,37.7,20.8
2017,Chinatown,14539,382,146,2.6,1.0
2017,Excelsior,40414,13004,6555,32.2,16.2
2017,Japantown,3740,293,198,7.8,5.3
2017,Bernal Heights,26705,7672,3896,28.7,14.6
2017,North Beach,12117,953,565,7.9,4.7
2017,Outer Mission,24482,6614,2463,27.0,10.1
2017,Tenderloin,29036,7135,5055,24.6,17.4
2019,Noe Valley,23407,2702,1297,11.5,5.5
2019,Mission,58770,20962,11665,35.7,19.8
2019,Excelsior,39879,12746,6201,32.0,15.5
2019,Bernal Heights,25167,6613,3225,26.3,12.8
2019,North Beach,11854,966,531,8.1,4.5
2019,Chinatown,14438,440,116,3.0,0.8
2019,Outer Mission,25042,7159,3180,28.6,12.7
2019,Marina,25375,1809,638,7.1,2.5
2019,Tenderloin,29927,7217,5286,24.1,17.7
2019,Japantown,3551,329,123,9.3,3.5
2021,North Beach,11672,1210,591,10.4,5.1
2021,Chinatown,13698,454,137,3.3,1.0
2021,Tenderloin,31118,7263,5043,23.3,16.2
2021,Marina,24993,2315,887,9.3,3.5
2021,Japantown,3666,482,184,13.1,5.0
2021,Mission,57018,19620,10489,34.4,18.4
2021,Noe Valley,23121,2566,1459,11.1,6.3
2021,Bernal Heights,25325,7770,3225,30.7,12.7
2021,Outer Mission,24101,6592,2917,27.4,12.1
2021,Excelsior,40157,12436,5982,31.0,14.9
2023,North Beach,11497,1490,634,13.0,5.5
2023,Chinatown,12644,534,271,4.2,2.1
2023,Tenderloin,32009,8055,5587,25.2,17.5
2023,Marina,23733,2237,773,9.4,3.3
2023,Japantown,3936,700,270,17.8,6.9
2023,Mission,54431,17985,9003,33.0,16.5
2023,Noe Valley,23334,2627,1501,11.3,6.4
2023,Bernal Heights,24725,8171,3596,33.0,14.5
2023,Outer Mission,21717,5091,1850,23.4,8.5
2023,Excelsior,37915,11607,5471,30.6,14.4
