zcta,area,pop,mean_hh_inc,hisp_pct,mex_pct,fb_pct,nhasian_pct,nhblack_pct,crowded_pct,pov_pct,Illegal Dumping Pickup,Bulky Items,dump_per_bulky,Graffiti Removal,Homeless Encampment
90033,Boyle Heights N,46540,68844.482,89.789,74.731,43.191,4.463,1.405,26.405,25.909,22.816,118.58,0.192,277.663,9.869
90023,Boyle Heights S,44608,70049.223,96.061,80.394,41.002,0.98,0.583,29.986,21.929,21.947,74.551,0.294,142.268,10.078
90063,City Terrace/E LA*,50536,86537.675,93.658,84.431,39.94,2.028,0.267,23.237,16.717,7.491,43.542,0.172,54.79,3.412
90005,Koreatown,38747,81487.738,47.74,24.229,52.512,32.32,5.348,21.022,24.646,16.237,105.391,0.154,53.929,22.144
90006,Koreatown/Pico-Union,55192,67837.119,70.851,36.313,54.258,18.845,3.339,31.378,24.437,37.816,129.043,0.293,123.822,14.798
90020,Koreatown N,38361,95478.403,34.603,16.814,53.38,43.899,5.472,19.057,18.352,12.893,102.664,0.126,51.567,24.039
90057,Westlake/MacArthur Pk,45548,58906.628,68.308,28.493,54.593,17.955,6.573,32.676,27.234,25.176,80.891,0.311,153.292,41.354
90026,Echo Park/HiFi,62902,121928.446,46.202,25.692,33.753,13.337,3.642,12.467,16.602,23.531,181.607,0.13,178.598,16.924
90015,South Park/Pico-Union,25257,103795.736,45.302,26.911,44.158,24.156,9.095,20.675,28.057,34.423,67.845,0.507,282.807,32.981
90012,Chinatown/Civic Ctr,37463,95617.938,28.519,17.639,41.913,35.272,12.108,11.46,22.737,12.34,56.898,0.217,163.926,17.164
90042,Highland Park,58344,125850.233,56.493,40.642,35.872,13.366,1.723,10.4,10.583,15.085,181.314,0.083,43.753,6.305
90031,Lincoln Heights,36881,94498.562,57.469,39.877,45.593,29.389,1.73,21.157,19.674,27.858,154.78,0.18,103.053,16.656
90011,South LA (Central-Alameda),102784,71531.822,91.738,66.66,45.36,0.625,5.891,30.469,26.569,30.476,124.764,0.244,152.538,10.484
90044,South LA (Vermont Knolls),95859,70206.473,67.199,38.655,33.883,0.549,29.179,19.268,26.576,36.893,113.937,0.324,49.161,6.134
90045,Westchester,42352,175994.568,19.078,11.468,17.088,15.954,8.212,3.341,8.797,8.665,131.524,0.066,16.727,8.544
90025,West LA,45238,150945.548,14.998,10.104,31.657,20.79,3.643,4.306,11.419,13.986,137.741,0.102,32.77,19.159
90731,San Pedro,62452,98465.38,56.895,43.728,26.049,5.196,5.055,10.25,15.989,24.789,179.297,0.138,79.249,4.804
91403,Sherman Oaks,25566,183910.032,16.037,8.492,24.36,7.475,5.777,2.136,8.335,11.444,151.496,0.076,25.922,11.209
91324,Northridge,29510,125670.809,39.62,26.544,36.445,19.898,5.107,8.492,11.714,17.181,147.17,0.117,55.599,6.811
90291,Venice,25738,188924.875,14.302,8.093,20.751,5.84,5.591,2.443,10.528,34.335,199.3,0.172,132.067,65.262
90066,Mar Vista,54975,162058.547,24.739,18.063,25.408,15.52,4.588,4.226,7.374,12.081,143.67,0.084,37.854,16.262
91331,Pacoima,98820,98597.76,87.449,66.615,42.295,4.627,1.913,23.494,16.902,34.708,155.3,0.223,40.642,10.341
91402,Panorama City,66710,78327.473,69.591,44.164,50.211,14.65,2.53,22.157,20.08,35.925,137.69,0.261,42.431,11.38
90019,Mid-City,59288,105711.853,42.692,26.344,37.203,17.137,17.221,12.452,17.761,31.58,185.923,0.17,61.431,13.819
90035,Beverlywood/Pico,27851,171498.525,13.658,6.696,21.446,6.998,6.725,4.685,7.756,23.554,194.074,0.121,27.114,13.962
