nc,bulky,dumping,dump_per_bulky,graffiti
DOWNTOWN LOS ANGELES,4129,5527,1.3386,28973
PICO UNION NC,8809,8579,0.9739,12459
Downtown Los Angeles,10063,8731,0.8676,88551
WESTLAKE SOUTH NC,2654,2010,0.7573,7924
Westlake South,5366,2479,0.462,27491
NORTH WESTWOOD NC,2381,1076,0.4519,176
SOUTH CENTRAL NC,11555,5162,0.4467,33974
MACARTHUR PARK NC,5475,2294,0.419,4631
Sun Valley,11161,4576,0.41,4267
SUN VALLEY AREA NC,17422,7047,0.4045,6671
Empowerment Congress Southeast,61467,23530,0.3828,34814
WESTLAKE NORTH NC,4767,1793,0.3761,6365
South Central,25147,9385,0.3732,74400
UNITED FOR VICTORY,4758,1733,0.3642,1772
EMPOWERMENT CONGRESS SOUTHEAST AREA NDC,27552,9563,0.3471,13777
COMMUNITY AND NEIGHBORS FOR NINTH DISTRICT UNITY (CANNDU),12934,4484,0.3467,11743
RAMPART VILLAGE NC,5807,1984,0.3417,5156
PANORAMA CITY NC,18770,6212,0.331,5511
CANNDU,30780,9996,0.3248,27101
LAKE BALBOA NC,16084,5185,0.3224,8147
Harbor Gateway North,26409,8288,0.3138,19432
VOICES OF 90037,16304,5074,0.3112,14852
HARBOR GATEWAY NORTH NC,11611,3485,0.3001,7626
Zapata-King,21196,6346,0.2994,19872
Empowerment Congress West,31697,9414,0.297,2586
Voices,37360,11026,0.2951,25680
WATTS NC,9202,2669,0.29,7043
EMPOWERMENT CONGRESS WEST AREA NDC,13282,3735,0.2812,1124
Empowerment Congress Central,47395,13273,0.2801,13806
NORTH HOLLYWOOD NORTHEAST NC,11639,3156,0.2712,5954
Watts,19699,5265,0.2673,17341
ARLETA NC,14791,3902,0.2638,2658
CENTRAL ALAMEDA NC,7409,1952,0.2635,8554
Empowerment Congress North,46007,11819,0.2569,14417
Sun Valley Area,27892,7101,0.2546,7986
NORTH HILLS EAST,10656,2707,0.254,4551
Pico Union,20567,5200,0.2528,30947
EMPOWERMENT CONGRESS CENTRAL AREA NDC,19889,4983,0.2505,5397
ZAPATA KING NC,13820,3396,0.2457,15242
LINCOLN HEIGHTS NC,8373,2052,0.2451,6645
BOYLE HEIGHTS NC,23014,5583,0.2426,33323
CANOGA PARK NC,14477,3496,0.2415,3540
Panorama City,43259,10348,0.2392,13468
EMPOWERMENT CONGRESS NORTH AREA NDC,21676,5180,0.239,5561
PACOIMA NC,20485,4882,0.2383,8711
North Hills East,25099,5963,0.2376,9731
Westlake North,10086,2310,0.229,16507
Hollywood Studio District,21123,4822,0.2283,31146
Empowerment Congress Southwest,33067,7354,0.2224,5698
Central Alameda,17181,3796,0.2209,19700
EMPOWERMENT CONGRESS SOUTHWEST AREA NDC,14928,3265,0.2187,2123
VAN NUYS NC,28268,6124,0.2166,13565
East Hollywood,36203,7745,0.2139,44372
Pacoima,48107,10062,0.2092,12933
CENTRAL HOLLYWOOD NC,5961,1239,0.2079,6201
Zapata King,11207,2309,0.206,17926
Boyle Heights,50759,10397,0.2048,115283
North Hollywood Northeast,39201,7978,0.2035,20641
HISTORIC CULTURAL NORTH NC,2706,547,0.2021,7277
VENICE NC,12392,2484,0.2005,7189
Park Mesa Heights,39572,7909,0.1999,6530
HISTORIC CULTURAL NC,1070,213,0.1991,3479
"UNITED NEIGHBORHOODS OF THE HISTORIC ARLINGTON HEIGHTS, WEST ADAMS, AND JEFFERSON PARK COMMUNITY",20880,4155,0.199,9160
WILSHIRE CENTER - KOREATOWN NC,23805,4697,0.1973,16806
Mid City,27034,5334,0.1973,6465
Rampart Village,13273,2618,0.1972,11346
Lincoln Heights,19456,3827,0.1967,17481
