area,n,exact,within4,within10
ALL SF,4058,95.34,97.44,97.78
Mission,604,94.7,96.52,97.02
Chinatown,89,98.88,98.88,98.88
North Beach,177,96.61,97.74,98.31
Japantown,74,100.0,100.0,100.0
Excelsior,163,92.02,97.55,97.55
Marina,202,96.53,97.03,97.03
Inner Richmond,220,96.36,98.64,99.09
Noe Valley,62,93.55,95.16,96.77
Sunset/Parkside,209,95.69,98.56,98.56
Bayview Hunters Point,48,93.75,95.83,95.83
Outer Mission,128,92.97,96.09,97.66
Bernal Heights,94,89.36,92.55,92.55
Tenderloin,34,100.0,100.0,100.0
Castro/Upper Market,207,94.69,99.52,99.52
