variable,value,n,pct
HHSPAN,2,40309,72.41
HHSPAN,1,8218,14.76
HHSPAN,nan,7142,12.83
HHRACE,01,35677,64.09
HHRACE,02,7927,14.24
HHRACE,nan,7142,12.83
HHRACE,04,3379,6.07
HHRACE,03,583,1.05
HHRACE,07,238,0.43
HHRACE,06,220,0.4
HHRACE,05,182,0.33
HHRACE,08,123,0.22
HHRACE,10,57,0.1
HHRACE,15,39,0.07
HHRACE,11,27,0.05
HHRACE,09,16,0.03
HHRACE,14,14,0.03
TENURE,1,28192,50.64
TENURE,2,19735,35.45
TENURE,nan,7142,12.83
TENURE,3,600,1.08
ADEQUACY,1,51904,93.24
ADEQUACY,2,2577,4.63
ADEQUACY,3,1188,2.13
NEARTRASH,3,42617,76.55
NEARTRASH,nan,8091,14.53
NEARTRASH,2,3456,6.21
NEARTRASH,1,1505,2.7
NEARABAND,3,42961,77.17
NEARABAND,nan,8344,14.99
NEARABAND,2,1539,2.76
NEARABAND,4,1539,2.76
NEARABAND,1,1286,2.31
NEARBARCL,3,41503,74.55
NEARBARCL,nan,8844,15.89
NEARBARCL,2,4283,7.69
NEARBARCL,1,1039,1.87
NHQPCRIME,2,37223,66.86
NHQPCRIME,1,9325,16.75
NHQPCRIME,nan,9121,16.38
NHQSCRIME,2,42796,76.88
NHQSCRIME,nan,8865,15.92
NHQSCRIME,1,4008,7.2
NHQSCHOOL,1,38615,69.37
NHQSCHOOL,nan,13196,23.7
NHQSCHOOL,2,3858,6.93
NHQPUBTRN,1,23487,42.19
NHQPUBTRN,2,22050,39.61
NHQPUBTRN,nan,10132,18.2
NHQRISK,2,42797,76.88
NHQRISK,nan,8661,15.56
NHQRISK,1,4211,7.56
BLD,02,30627,55.02
BLD,09,5258,9.45
BLD,03,3977,7.14
BLD,06,3040,5.46
BLD,07,2910,5.23
BLD,08,2775,4.98
BLD,05,2676,4.81
BLD,01,2486,4.47
BLD,04,1895,3.4
BLD,10,25,0.04
UNITSIZE,4,12530,22.51
UNITSIZE,5,9147,16.43
UNITSIZE,3,7274,13.07
UNITSIZE,6,6018,10.81
UNITSIZE,nan,5599,10.06
UNITSIZE,2,5076,9.12
UNITSIZE,7,3285,5.9
UNITSIZE,8,3153,5.66
UNITSIZE,1,1908,3.43
UNITSIZE,9,1679,3.02
HUDSUB,nan,35334,63.47
HUDSUB,3,14016,25.18
HUDSUB,1,3716,6.68
HUDSUB,2,2603,4.68
RATINGNH,10.0,14477,26.01
RATINGNH,8.0,11942,21.45
RATINGNH,nan,8474,15.22
RATINGNH,9.0,8090,14.53
RATINGNH,7.0,6332,11.37
RATINGNH,6.0,2417,4.34
RATINGNH,5.0,2289,4.11
RATINGNH,4.0,662,1.19
RATINGNH,3.0,405,0.73
RATINGNH,1.0,347,0.62
RATINGNH,2.0,234,0.42
