regressor,outcome,beta,se_sdr,t_sdr,n_reps,n
hisp,inadequate,0.0028279749497994618,0.00393093759763471,0.7194148672065125,160,48527
hisp,trash_nearby,0.008734867174766152,0.00330386360573236,2.6438340734195998,160,47578
hisp,abandoned_nearby,-0.0010695683622334148,0.0027298582925087715,-0.39180362041813865,160,47325
hisp,bars_on_windows,0.008872787959074266,0.002742629628516343,3.23513895818084,160,46825
hisp,nh_rating,0.12199100487637138,0.028803949454242916,4.235217988774859,160,47195
mex_born,inadequate,-0.0004621006560009259,0.006113657366539533,-0.07558497774671419,160,48527
mex_born,trash_nearby,0.010655052457765843,0.006209464346572613,1.7159374566096066,160,47578
mex_born,abandoned_nearby,-0.00992658753955663,0.003934044160721282,-2.5232526972286586,160,47325
mex_born,bars_on_windows,0.0073926916761744895,0.004715925431442984,1.5676014779378022,160,46825
mex_born,nh_rating,0.26495053349841186,0.04677193983463217,5.664732624628707,160,47195
