nbhd,storefronts,reg_pct,reg_pad4_pct,all_spaces,vacancy_pct,filing_pct,mean_hh_inc,hisp_pct,mex_pct,nhasian_pct,fb_pct,pov_pct
Bayview Hunters Point,86,11.628,15.116,94,7.447,43.617,132265.128,24.445,10.953,38.733,38.035,15.973
South of Market,174,54.598,60.92,185,5.946,72.432,161995.397,16.394,8.41,40.513,42.182,20.335
Visitacion Valley,60,60.0,93.333,64,0.0,0.0,122513.035,21.444,8.718,57.001,54.16,12.78
Inner Sunset,168,61.31,65.476,172,1.744,49.419,205420.622,12.653,5.364,33.475,26.164,7.835
Presidio Heights,174,70.115,95.402,178,1.685,22.472,281592.523,10.239,6.689,22.832,20.901,4.078
Western Addition,98,72.449,83.673,101,2.97,33.663,154756.334,10.99,7.038,27.168,36.713,20.319
Lone Mountain/USF,49,79.592,91.837,50,0.0,56.0,212180.359,12.296,5.944,21.908,22.329,12.977
Outer Mission,212,82.075,96.226,217,1.843,45.622,182702.111,23.442,8.519,58.631,52.876,9.359
Inner Richmond,295,83.729,89.153,308,3.896,47.403,237420.055,9.585,5.36,35.235,26.716,5.341
Bernal Heights,202,84.653,95.05,208,1.923,35.096,249590.759,33.048,14.544,13.828,26.969,8.275
Oceanview/Merced/Ingleside,54,85.185,92.593,57,5.263,43.86,165872.958,17.63,6.015,58.89,49.625,9.172
Noe Valley,130,85.385,96.154,135,0.0,34.074,306953.915,11.258,6.433,18.347,22.902,4.231
Hayes Valley,311,85.531,98.071,314,0.637,28.662,205885.928,12.571,8.24,19.035,22.675,11.0
North Beach,182,85.714,96.703,188,3.191,46.277,173591.215,12.96,5.514,35.009,31.521,9.977
Portola,118,86.441,97.458,120,0.833,48.333,170670.687,20.954,15.568,62.161,49.094,7.542
Excelsior,234,86.752,98.291,241,1.66,47.303,153568.557,30.613,14.43,48.741,44.067,9.768
Pacific Heights,121,86.777,93.388,121,0.0,42.149,263618.042,8.4,3.369,17.958,21.522,5.115
Sunset/Parkside,237,86.92,92.827,242,1.653,48.76,187191.886,8.324,2.977,53.131,39.341,7.786
Glen Park,35,88.571,97.143,35,0.0,20.0,262779.189,11.267,2.956,14.897,21.104,4.698
Russian Hill,138,89.855,94.203,145,4.138,48.966,236454.118,11.174,5.101,21.838,22.407,8.435
Mission,710,89.859,96.338,734,2.861,54.632,201025.964,33.042,16.54,16.29,30.299,12.522
Chinatown,84,90.476,96.429,87,3.448,58.621,80482.899,4.223,2.143,81.319,71.006,28.833
Haight Ashbury,147,91.156,95.918,151,2.649,47.02,272856.312,7.238,3.301,12.677,15.461,6.518
Marina,182,91.758,97.802,191,2.618,53.927,306838.206,9.426,3.257,10.875,16.665,4.569
Japantown,63,92.063,92.063,65,3.077,56.923,141554.489,17.785,6.86,32.927,37.576,20.575
Outer Richmond,278,92.086,98.921,295,4.746,57.288,181342.062,8.504,4.395,41.747,34.534,8.145
West of Twin Peaks,155,92.903,97.419,160,2.5,65.625,274549.244,10.211,4.788,36.197,29.291,4.74
Castro/Upper Market,202,94.059,98.515,216,5.093,57.407,255428.549,9.889,5.739,13.29,18.734,7.132
Nob Hill,123,95.122,99.187,129,4.651,58.915,148133.095,12.442,6.376,33.274,32.742,10.998
