corridor,storefronts_total,vacancy_pct,filing_pct,occupied,registration_pct,active_biz_in_box,biz_per_occupied_storefront
Geary Blvd (Richmond),287,2.091,61.672,281,64.769,1036,3.687
24th St (Noe Valley),151,0.0,41.06,151,69.536,795,5.265
Irving St (Inner Sunset),158,3.797,60.759,151,74.172,720,4.768
Clement St (Inner Richmond),276,2.174,59.42,270,74.815,1053,3.9
24th St (Mission-Potrero),236,2.966,59.746,229,82.533,957,4.179
Castro St (Castro),171,1.754,64.327,167,84.431,966,5.784
Fillmore St (Pac Hts/Lower),232,0.862,62.931,230,85.217,1397,6.074
Mission St (14th-Cesar Chavez),824,2.427,68.083,803,85.305,4093,5.097
Valencia St (14th-Cesar Chavez),677,2.659,69.719,658,85.562,3211,4.88
Columbus Ave (North Beach),381,2.362,62.992,370,85.676,2042,5.519
Post St (Japantown),139,1.439,67.626,137,87.591,434,3.168
Grant Ave (Chinatown),111,4.505,85.586,105,93.333,3188,30.362
Stockton St (Chinatown),89,5.618,80.899,84,95.238,1454,17.31
Chestnut St (Marina),7,0.0,85.714,7,100.0,621,88.714
