corridor,spaces,vacancy_pct,filing_pct,occupied,registration_pct
Irving St (Inner Sunset),117,2.564,47.009,113,62.832
Geary Blvd (Richmond),226,2.212,51.327,221,82.805
Clement St (Inner Richmond),211,2.37,46.919,205,83.415
Post St (Japantown),89,2.247,49.438,87,85.057
24th St (Noe Valley),135,0.0,34.074,130,85.385
Fillmore St (Pac Hts/Lower),162,0.617,46.914,161,85.714
"Mission St (Excelsior, Onondaga-Geneva)",246,2.033,48.78,239,86.611
Columbus Ave (North Beach),264,2.652,46.591,257,87.16
24th St (Mission-Potrero),184,3.804,48.37,176,89.773
Ocean Ave (Ingleside),103,3.883,41.748,99,90.909
Mission St (14th-Cesar Chavez),612,2.451,57.026,594,90.909
Union St (Cow Hollow),147,3.401,53.741,141,91.489
Polk St (Russian Hill/Nob Hill),218,5.505,58.257,206,92.233
Valencia St (14th-Cesar Chavez),501,2.595,59.082,485,92.577
Haight St (Haight Ashbury),95,4.211,46.316,91,93.407
Grant Ave (Chinatown),58,5.172,72.414,55,94.545
Castro St (Castro),125,2.4,51.2,119,94.958
Stockton St (Chinatown),54,5.556,68.519,51,98.039
Chestnut St (Marina),6,0.0,83.333,6,100.0
