## A. Expanded partial account, item F = zero; correctional financing is the explicit recorded assumption

                 group geography   population  federal_bn  state_local_bn  total_bn  per_person  federal_share_of_deficit
mexican_observed_total        US 4.089657e+07     -17.188        -200.128  -217.316   -5313.805                     0.079
mexican_observed_total        CA 1.308278e+07       0.634         -74.610   -73.975   -5654.410                    -0.009
mexican_observed_total        TX 9.761462e+06     -13.021         -38.866   -51.887   -5315.480                     0.251
   third_plus_nh_white        US 1.730539e+08     -43.141        -168.173  -211.314   -1221.086                     0.204
   third_plus_nh_white        CA 1.046609e+07      49.558          12.749    62.307    5953.202                     0.795
   third_plus_nh_white        TX 1.111614e+07      21.060         -11.633     9.427     848.013                     2.234
            all_native        US 2.836722e+08     -48.501        -620.716  -669.217   -2359.120                     0.072
            all_native        CA 2.843991e+07     109.022         -64.518    44.504    1564.844                     2.450
            all_native        TX 2.507083e+07      19.779         -65.599   -45.820   -1827.614                    -0.432


## A2. Same, item F = per capita

                 group geography   population  federal_bn  state_local_bn  total_bn  per_person  federal_share_of_deficit
mexican_observed_total        US 4.089657e+07    -228.839        -200.128  -428.968  -10489.086                     0.533
mexican_observed_total        CA 1.308278e+07     -67.073         -74.610  -141.682  -10829.691                     0.473
mexican_observed_total        TX 9.761462e+06     -63.539         -38.866  -102.405  -10490.762                     0.620
   third_plus_nh_white        US 1.730539e+08    -938.743        -168.173 -1106.916   -6396.368                     0.848
   third_plus_nh_white        CA 1.046609e+07      -4.607          12.749     8.142     777.920                    -0.566
   third_plus_nh_white        TX 1.111614e+07     -36.469         -11.633   -48.103   -4327.268                     0.758
            all_native        US 2.836722e+08   -1516.584        -620.716 -2137.300   -7534.402                     0.710
            all_native        CA 2.843991e+07     -38.162         -64.518  -102.681   -3610.437                     0.372
            all_native        TX 2.507083e+07    -109.969         -65.599  -175.568   -7002.895                     0.626


## B [F=zero] US / average_pro_rata / passthrough 0.5 — union, by decile

 decile  households  federal_bn  state_local_bn  total_bn  per_household  pct_of_income
      1      11.719       0.083           5.350     5.434        463.658          6.257
      2      11.719       0.137           8.067     8.204        700.006          3.218
      3      11.721       0.273           9.664     9.936        847.768          2.619
      4      11.720       0.474          11.350    11.824       1008.842          2.325
      5      11.720       0.743          13.556    14.299       1220.005          2.219
      6      11.720       1.023          15.939    16.962       1447.308          2.116
      7      11.721       1.431          19.447    20.878       1781.267          2.076
      8      11.718       2.094          23.880    25.973       2216.558          2.044
      9      11.721       3.160          32.090    35.250       3007.428          2.096
     10      11.721       7.771          60.786    68.557       5848.933          2.093


## B [F=zero] US / marginal_deficit_10y_4.94pct / passthrough 0.5 — union, by decile

 decile  households  federal_bn  state_local_bn  total_bn  per_household  pct_of_income
      1      11.719       0.004           5.350     5.354        456.914          6.166
      2      11.719       0.007           8.067     8.074        688.922          3.167
      3      11.721       0.013           9.664     9.677        825.652          2.551
      4      11.720       0.023          11.350    11.373        970.375          2.236
      5      11.720       0.037          13.556    13.592       1159.757          2.110
      6      11.720       0.051          15.939    15.990       1364.362          1.995
      7      11.721       0.071          19.447    19.518       1665.204          1.941
      8      11.718       0.103          23.880    23.983       2046.704          1.887
      9      11.721       0.156          32.090    32.246       2751.128          1.918
     10      11.721       0.384          60.786    61.170       5218.722          1.867


## B [F=zero] US / marginal_deficit_avg_rate_3.324pct / passthrough 0.5 — union, by decile

 decile  households  federal_bn  state_local_bn  total_bn  per_household  pct_of_income
      1      11.719       0.003           5.350     5.353        456.800          6.164
      2      11.719       0.005           8.067     8.072        688.734          3.166
      3      11.721       0.009           9.664     9.673        825.276          2.549
      4      11.720       0.016          11.350    11.365        969.721          2.235
      5      11.720       0.025          13.556    13.580       1158.732          2.108
      6      11.720       0.034          15.939    15.973       1362.952          1.993
      7      11.721       0.048          19.447    19.495       1663.231          1.939
      8      11.718       0.070          23.880    23.949       2043.817          1.884
      9      11.721       0.105          32.090    32.195       2746.771          1.915
     10      11.721       0.258          60.786    61.045       5208.008          1.863


## B [F=zero] CA / average_pro_rata / passthrough 0.5 — union, by decile

 decile  households  federal_bn  state_local_bn  total_bn  per_household  pct_of_income
      1       1.070       0.014           1.717     1.731       1617.195         30.813
      2       1.067       0.016           2.476     2.492       2336.324          9.729
      3       1.074       0.035           3.125     3.160       2943.026          7.937
      4       1.072       0.062           3.718     3.781       3526.383          7.053
      5       1.072       0.091           4.546     4.638       4325.808          6.724
      6       1.070       0.124           5.460     5.584       5216.923          6.466
      7       1.071       0.165           6.590     6.755       6305.841          6.318
      8       1.073       0.239           8.634     8.873       8272.781          6.662
      9       1.068       0.352          11.951    12.303      11519.978          7.026
     10       1.076       0.858          26.392    27.250      25334.885          8.226


## B [F=zero] CA / marginal_deficit_10y_4.94pct / passthrough 0.5 — union, by decile

 decile  households  federal_bn  state_local_bn  total_bn  per_household  pct_of_income
      1       1.070       0.001           1.717     1.718       1604.733         30.575
      2       1.067       0.001           2.476     2.477       2321.996          9.669
      3       1.074       0.002           3.125     3.127       2912.375          7.854
      4       1.072       0.003           3.718     3.721       3471.017          6.943
      5       1.072       0.005           4.546     4.551       4244.759          6.598
      6       1.070       0.006           5.460     5.466       5106.703          6.329
      7       1.071       0.008           6.590     6.598       6159.360          6.172
      8       1.073       0.012           8.634     8.646       8060.688          6.491
      9       1.068       0.017          11.951    11.969      11207.040          6.835
     10       1.076       0.042          26.392    26.434      24576.419          7.980


## B [F=zero] CA / marginal_deficit_avg_rate_3.324pct / passthrough 0.5 — union, by decile

 decile  households  federal_bn  state_local_bn  total_bn  per_household  pct_of_income
      1       1.070       0.000           1.717     1.718       1604.522         30.571
      2       1.067       0.001           2.476     2.477       2321.753          9.668
      3       1.074       0.001           3.125     3.126       2911.854          7.853
      4       1.072       0.002           3.718     3.720       3470.076          6.941
      5       1.072       0.003           4.546     4.549       4243.381          6.596
      6       1.070       0.004           5.460     5.464       5104.830          6.327
      7       1.071       0.005           6.590     6.595       6156.870          6.169
      8       1.073       0.008           8.634     8.642       8057.083          6.488
      9       1.068       0.012          11.951    11.963      11201.720          6.832
     10       1.076       0.029          26.392    26.420      24563.525          7.975


## B [F=zero] TX / average_pro_rata / passthrough 0.5 — union, by decile

 decile  households  federal_bn  state_local_bn  total_bn  per_household  pct_of_income
      1       0.930       0.005           1.200     1.205       1294.829         18.438
      2       0.930       0.009           1.855     1.865       2005.825          8.962
      3       0.932       0.024           2.251     2.275       2441.606          7.103
      4       0.931       0.040           2.573     2.612       2805.678          6.098
      5       0.932       0.060           2.897     2.957       3174.664          5.584
      6       0.933       0.088           3.247     3.335       3573.748          5.099
      7       0.931       0.114           3.883     3.997       4293.198          4.799
      8       0.932       0.177           4.778     4.955       5317.882          4.639
      9       0.933       0.269           6.073     6.342       6798.117          4.475
     10       0.933       0.622          10.109    10.730      11501.835          3.931


## B [F=zero] TX / marginal_deficit_10y_4.94pct / passthrough 0.5 — union, by decile

