group,geography,population,federal_bn,state_local_bn,total_bn,per_person
mexico_born,US,12220781.882555898,-23.85065302201129,-64.38333512165288,-88.23398814366415,-7219.9953318543785
mexico_born,CA,3925519.0221804,-11.45880829866298,-24.7389595816366,-36.19776788029957,-9221.141886148293
mexico_born,TX,2375212.2060077,-7.480760361351815,-9.154341661967988,-16.635102023319806,-7003.627710081698
mexican_second_gen,US,14333217.66352035,-6.927501855850811,-92.58517297159352,-99.51267482744434,-6942.800783714831
mexican_second_gen,CA,5066230.2430117,4.943595029444099,-36.080922291096236,-31.13732726165214,-6146.0545155054115
mexican_second_gen,TX,2828762.5206273,-5.50911940695918,-14.92899690182279,-20.43811630878197,-7225.108562400516
mexican_third_plus_selfid,US,14342574.60627561,2.653482203006616,-78.13095994167524,-75.47747773866863,-5262.477610236266
mexican_third_plus_selfid,CA,4091032.8949138,4.2259843330838285,-27.029270191006486,-22.803285857922656,-5573.967856937296
mexican_third_plus_selfid,TX,4557487.6362174,-2.4768752983924323,-21.8430537102584,-24.319929008650835,-5336.257813490364
mexican_observed_total,US,40896574.152351856,-28.12467267485551,-235.09946803492164,-263.22414070977715,-6436.337178982015
mexican_observed_total,CA,13082782.160105899,-2.3078073740091467,-87.8406037725547,-90.14841114656384,-6890.614705903972
mexican_observed_total,TX,9761462.362852402,-15.450594997601357,-45.9291681725332,-61.37976317013456,-6287.968020418484
third_plus_nh_white,US,173053893.39728963,-88.97198996182715,-301.7779209845422,-390.74991094636937,-2257.966598008302
third_plus_nh_white,CA,10466085.338637,47.14043931058015,2.6546308359964,49.79507014657655,4757.755028305681
third_plus_nh_white,TX,11116142.2264649,16.91350453997018,-19.67698701913959,-2.7634824791694106,-248.6008565624695
all_native,US,283672179.87862295,-123.13576944252137,-843.8128617757068,-966.9486312182281,-3408.6833316963407
all_native,CA,28439912.885496296,103.12055576085021,-91.94765518420849,11.172900576641723,392.8598734330036
all_native,TX,25070831.5663996,11.13704756573454,-83.74009735517981,-72.60304978944527,-2895.917097809761
