group,geography,convention,passthrough,decile,tenure,households,income_dollars,federal_dollars,state_local_dollars,total_dollars,per_household,share_of_income,note
mexican_observed_total,US,marginal_deficit_avg_rate_3.324pct,0.0,1,no_cash_rent,275763.57723149,2347924995.266514,18305.698649113776,94896618.93132085,94914924.62996995,344.189488629579,0.040425024147415806,"marginal: federal part borrowed, annual interest at the FY2024 average rate on interest-bearing debt; state-local balanced in-year"
mexican_observed_total,US,marginal_deficit_avg_rate_3.324pct,0.0,1,owner,6082867.27027557,41203566588.52645,1763879.644972102,3082083654.665629,3083847534.310601,506.97268200805155,0.07484418922048679,"marginal: federal part borrowed, annual interest at the FY2024 average rate on interest-bearing debt; state-local balanced in-year"
mexican_observed_total,US,marginal_deficit_avg_rate_3.324pct,0.0,1,renter,5360171.59550726,43292252733.99284,981125.8380564873,1861976296.315327,1862957422.1533835,347.5555565636854,0.043032120171713754,"marginal: federal part borrowed, annual interest at the FY2024 average rate on interest-bearing debt; state-local balanced in-year"
mexican_observed_total,US,marginal_deficit_avg_rate_3.324pct,0.0,2,no_cash_rent,293086.75319936,6244721348.75032,105696.44909879785,170444958.33304113,170550654.78213993,581.9118500593918,0.0273111713489458,"marginal: federal part borrowed, annual interest at the FY2024 average rate on interest-bearing debt; state-local balanced in-year"
mexican_observed_total,US,marginal_deficit_avg_rate_3.324pct,0.0,2,owner,5637410.67828922,122732404947.81564,1964862.9169555807,4164790585.216067,4166755448.1330223,739.1257593100356,0.033949920967528316,"marginal: federal part borrowed, annual interest at the FY2024 average rate on interest-bearing debt; state-local balanced in-year"
mexican_observed_total,US,marginal_deficit_avg_rate_3.324pct,0.0,2,renter,5788887.1275282595,125991735628.54825,2471320.215427574,3359312622.769486,3361783942.9849133,580.730608306113,0.026682575061083392,"marginal: federal part borrowed, annual interest at the FY2024 average rate on interest-bearing debt; state-local balanced in-year"
mexican_observed_total,US,marginal_deficit_avg_rate_3.324pct,0.0,3,no_cash_rent,179350.95385456,5682609033.4062605,144290.67145759717,129374844.3485834,129519135.020041,722.1547041510088,0.02279219532060696,"marginal: federal part borrowed, annual interest at the FY2024 average rate on interest-bearing debt; state-local balanced in-year"
mexican_observed_total,US,marginal_deficit_avg_rate_3.324pct,0.0,3,owner,6208503.42834028,200906614856.70615,4301271.699913336,5416034142.981641,5420335414.681554,873.0502410515013,0.02697937755084636,"marginal: federal part borrowed, annual interest at the FY2024 average rate on interest-bearing debt; state-local balanced in-year"
mexican_observed_total,US,marginal_deficit_avg_rate_3.324pct,0.0,3,renter,5332736.17221653,172823142386.7999,4618426.9556379365,3782427335.9328,3787045762.8884377,710.1505944769751,0.02191283939515782,"marginal: federal part borrowed, annual interest at the FY2024 average rate on interest-bearing debt; state-local balanced in-year"
mexican_observed_total,US,marginal_deficit_avg_rate_3.324pct,0.0,4,no_cash_rent,146609.07592127,6363603514.844706,207886.53384009693,131162309.66877808,131370196.20261817,896.0577329684882,0.020643994538026157,"marginal: federal part borrowed, annual interest at the FY2024 average rate on interest-bearing debt; state-local balanced in-year"
