geography,passthrough,decile,tenure,households,income_dollars,federal_share,state_local_share
US,0.0,1,no_cash_rent,275763.57723149,2347924995.266514,3.2040642762661704e-05,0.00047417854725778565
US,0.0,1,owner,6082867.27027557,41203566588.52645,0.003087335734307947,0.015400527082571929
US,0.0,1,renter,5360171.59550726,43292252733.99284,0.0017172741169268007,0.009303905925818267
US,0.0,2,no_cash_rent,293086.75319936,6244721348.75032,0.0001850015250316814,0.000851677790420202
US,0.0,2,owner,5637410.67828922,122732404947.81564,0.003439118714150963,0.020810587053263836
US,0.0,2,renter,5788887.1275282595,125991735628.54825,0.0043255758598698705,0.016785782224785162
US,0.0,3,no_cash_rent,179350.95385456,5682609033.4062605,0.00025255336858619583,0.0006464590249449422
US,0.0,3,owner,6208503.42834028,200906614856.70615,0.007528557778850021,0.027062789283106597
US,0.0,3,renter,5332736.17221653,172823142386.7999,0.008083677714109333,0.018899997907815737
US,0.0,4,no_cash_rent,146609.07592127,6363603514.844706,0.0003638658263535326,0.0006553906151148406
US,0.0,4,owner,6332146.11438108,275342556996.8819,0.013516442596532431,0.03243432344562618
US,0.0,4,renter,5241493.7946272,226817732759.5499,0.013712936186082861,0.022062075723669257
US,0.0,5,no_cash_rent,126248.43665238,7038463370.036355,0.0005473507459797695,0.0006672330446689291
US,0.0,5,owner,7080665.79356858,389748433090.511,0.024468812364759677,0.04303316663962911
US,0.0,5,renter,4513138.78272012,247469691969.17874,0.018200841992536267,0.022785351628604757
US,0.0,6,no_cash_rent,107958.64864836,7286984606.846871,0.0005529919168966459,0.0006605245224160488
US,0.0,6,owner,7981122.95739667,546982394783.4121,0.03857167644591253,0.0568957710560897
US,0.0,6,renter,3630667.80053183,247274484812.6564,0.020371738227462598,0.021323914947390832
US,0.0,7,no_cash_rent,117997.58214996,10193433624.797731,0.0008580815022743853,0.0008332689074109929
US,0.0,7,owner,8706115.463583,748529647605.4202,0.06061956074760028,0.07546945767857774
US,0.0,7,renter,2896756.82455565,246849226458.5552,0.021781725185590902,0.020624108904890512
US,0.0,8,no_cash_rent,62238.18737247,6636544528.542483,0.0006199745071036783,0.0005559553648853411
US,0.0,8,owner,9246885.02559548,1003692459222.6896,0.09356207805342304,0.09698045783266004
US,0.0,8,renter,2408756.36581163,260644823806.39993,0.02763350905100209,0.022176208476805508
US,0.0,9,no_cash_rent,75498.43890449,11126207631.659338,0.001059044004508728,0.0010046341643186367
US,0.0,9,owner,9934650.23751075,1430397687319.1619,0.15515031200044352,0.140235204206468
US,0.0,9,renter,1710810.32279,240092630970.3849,0.02765207753310584,0.02099583249037972
US,0.0,10,no_cash_rent,45827.37406967,10953255069.160057,0.001691697688602727,0.001388884442515437
US,0.0,10,owner,10356566.04611519,2899430994705.913,0.3969808613854353,0.27821336231771965
US,0.0,10,renter,1318909.92608681,365716264447.1761,0.053433286583797715,0.030768968750174455
US,0.5,1,no_cash_rent,275763.57723149,2347924995.266514,3.2040642762661704e-05,0.00047400863146479174
US,0.5,1,owner,6082867.27027557,41203566588.52645,0.003087335734307947,0.015324139903314118
US,0.5,1,renter,5360171.59550726,43292252733.99284,0.0017172741169268007,0.010936589013341476
US,0.5,2,no_cash_rent,293086.75319936,6244721348.75032,0.0001850015250316814,0.0008484131590349245
US,0.5,2,owner,5637410.67828922,122732404947.81564,0.003439118714150963,0.020726984324280016
US,0.5,2,renter,5788887.1275282595,125991735628.54825,0.0043255758598698705,0.018733687034404433
US,0.5,3,no_cash_rent,179350.95385456,5682609033.4062605,0.00025255336858619583,0.0006422463727724392
US,0.5,3,owner,6208503.42834028,200906614856.70615,0.007528557778850021,0.026930859066246454
US,0.5,3,renter,5332736.17221653,172823142386.7999,0.008083677714109333,0.020714174410636697
US,0.5,4,no_cash_rent,146609.07592127,6363603514.844706,0.0003638658263535326,0.0006498383185838224
US,0.5,4,owner,6332146.11438108,275342556996.8819,0.013516442596532431,0.03223188677119566
US,0.5,4,renter,5241493.7946272,226817732759.5499,0.013712936186082861,0.023829872430958052
US,0.5,5,no_cash_rent,126248.43665238,7038463370.036355,0.0005473507459797695,0.0006627405772296507
US,0.5,5,owner,7080665.79356858,389748433090.511,0.024468812364759677,0.042723595997489386
US,0.5,5,renter,4513138.78272012,247469691969.17874,0.018200841992536267,0.024348731981603745
US,0.5,6,no_cash_rent,107958.64864836,7286984606.846871,0.0005529919168966459,0.000654244938937596
US,0.5,6,owner,7981122.95739667,546982394783.4121,0.03857167644591253,0.05639668333577665
US,0.5,6,renter,3630667.80053183,247274484812.6564,0.020371738227462598,0.022595235013278592
US,0.5,7,no_cash_rent,117997.58214996,10193433624.797731,0.0008580815022743853,0.0008278961797029019
US,0.5,7,owner,8706115.463583,748529647605.4202,0.06061956074760028,0.0747014889350277
US,0.5,7,renter,2896756.82455565,246849226458.5552,0.021781725185590902,0.02164293186785754
US,0.5,8,no_cash_rent,62238.18737247,6636544528.542483,0.0006199745071036783,0.0005499737308576978
US,0.5,8,owner,9246885.02559548,1003692459222.6896,0.09356207805342304,0.09586983527888296
US,0.5,8,renter,2408756.36581163,260644823806.39993,0.02763350905100209,0.022901567789013002
US,0.5,9,no_cash_rent,75498.43890449,11126207631.659338,0.001059044004508728,0.0009765403947883251
US,0.5,9,owner,9934650.23751075,1430397687319.1619,0.15515031200044352,0.13796290682832768
US,0.5,9,renter,1710810.32279,240092630970.3849,0.02765207753310584,0.02140629146408164
US,0.5,10,no_cash_rent,45827.37406967,10953255069.160057,0.001691697688602727,0.0013288104768268
