group,geography,population,federal_bn,state_local_bn,total_bn,per_person
mexico_born,US,12220781.882555898,-82.85560424267254,-52.84833280647922,-135.70393704915176,-11104.357998800167
mexico_born,CA,3925519.0221804,-30.681981586718752,-20.34015068960945,-51.0221322763282,-12997.550639300773
mexico_born,TX,2375212.2060077,-19.098610504776904,-7.435659669237052,-26.534270174013958,-11171.326126945618
mexican_second_gen,US,14333217.66352035,-77.80001696241888,-80.66501327764479,-158.46503024006367,-11055.7890042635
mexican_second_gen,CA,5066230.2430117,-20.203828555302092,-31.194663321785065,-51.39849187708716,-10145.31306546631
mexican_second_gen,TX,2828762.5206273,-19.297579392565464,-12.882130018258723,-32.17970941082419,-11375.896412714097
mexican_third_plus_selfid,US,14342574.60627561,-68.18361441134698,-66.61510654224632,-134.79872095359332,-9398.502336854639
mexican_third_plus_selfid,CA,4091032.8949138,-16.16827291773519,-23.083565945903658,-39.251838863638845,-9594.603581026913
mexican_third_plus_selfid,TX,4557487.6362174,-25.159285622762475,-18.545297024498367,-43.70458264726084,-9589.621768789819
mexican_observed_total,US,40896574.152351856,-228.83923561643846,-200.1284526263703,-428.9676882428087,-10489.086118675295
mexican_observed_total,CA,13082782.160105899,-67.07266149763012,-74.60983166611356,-141.68249316374371,-10829.69137832047
mexican_observed_total,TX,9761462.362852402,-63.539315451002764,-38.86586261047817,-102.40517806148092,-10490.761963206203
third_plus_nh_white,US,173053893.39728963,-938.7431537334518,-168.17317747606992,-1106.9163312095218,-6396.367683380062
third_plus_nh_white,CA,10466085.338637,-4.607145044568296,12.74892203605251,8.141776991484216,777.919988997961
third_plus_nh_white,TX,11116142.2264649,-36.46908122713611,-11.633447404052555,-48.10252863118866,-4327.268188119071
all_native,US,283672179.87862295,-1516.5841475339307,-620.7160673694528,-2137.3002149033837,-7534.40191356758
all_native,CA,28439912.885496296,-38.16248459578677,-64.51803340283152,-102.68051799861828,-3610.437149087858
all_native,TX,25070831.5663996,-109.96933584945633,-65.59907119887451,-175.56840704833084,-7002.895240364939
