flow,annual_flow_bn,deficit_share,rate_name,rate,years,debt_bn,principal_bn,interest_component_bn,interest_in_year_N_bn
union_absolute,-263.2241407097771,1.0,effective_fy2024,0.03220790586972007,10,-3048.4336600174825,-2632.241407097771,-416.19225291971134,-86.90668373608943
union_absolute,-263.2241407097771,1.0,effective_fy2024,0.03220790586972007,20,-7233.94534991542,-5264.482814195542,-1969.4625357198775,-217.506891076354
union_absolute,-263.2241407097771,1.0,effective_fy2024,0.03220790586972007,30,-12980.669753349484,-7896.724221293312,-5083.945532056172,-396.8215016238037
union_absolute,-263.2241407097771,1.0,r3,0.03,10,-3017.569780962477,-2632.241407097771,-385.328373864706,-80.22365942483592
union_absolute,-263.2241407097771,1.0,r3,0.03,20,-7072.9312354118065,-5264.482814195542,-1808.4484212162643,-198.34098334083575
union_absolute,-263.2241407097771,1.0,r3,0.03,30,-12522.99791820706,-7896.724221293312,-4626.273696913748,-357.0807896358432
union_absolute,-263.2241407097771,1.0,r4,0.04,10,-3160.297230710314,-2632.241407097771,-528.055823612543,-111.42588807694374
union_absolute,-263.2241407097771,1.0,r4,0.04,20,-7838.309145112528,-5264.482814195542,-2573.826330916986,-291.3494232462596
union_absolute,-263.2241407097771,1.0,r4,0.04,30,-14762.909546186327,-7896.724221293312,-6866.185324893015,-557.6802079029443
union_absolute,-263.2241407097771,1.0,r5,0.05,10,-3310.8049546097627,-2632.241407097771,-678.5635475119916,-145.12289589999932
union_absolute,-263.2241407097771,1.0,r5,0.05,20,-8703.757355481739,-5264.482814195542,-3439.274541286197,-401.9301530843792
union_absolute,-263.2241407097771,1.0,r5,0.05,30,-17488.30854372861,-7896.724221293312,-9591.584322435298,-820.2421144294682
union_absolute,-263.2241407097771,0.5,effective_fy2024,0.03220790586972007,10,-1524.2168300087412,-1316.1207035488856,-208.09612645985567,-43.45334186804472
union_absolute,-263.2241407097771,0.5,effective_fy2024,0.03220790586972007,20,-3616.97267495771,-2632.241407097771,-984.7312678599387,-108.753445538177
union_absolute,-263.2241407097771,0.5,effective_fy2024,0.03220790586972007,30,-6490.334876674742,-3948.362110646656,-2541.972766028086,-198.41075081190186
union_absolute,-263.2241407097771,0.5,r3,0.03,10,-1508.7848904812386,-1316.1207035488856,-192.664186932353,-40.11182971241796
union_absolute,-263.2241407097771,0.5,r3,0.03,20,-3536.4656177059032,-2632.241407097771,-904.2242106081321,-99.17049167041787
union_absolute,-263.2241407097771,0.5,r3,0.03,30,-6261.49895910353,-3948.362110646656,-2313.136848456874,-178.5403948179216
union_absolute,-263.2241407097771,0.5,r4,0.04,10,-1580.148615355157,-1316.1207035488856,-264.0279118062715,-55.71294403847187
union_absolute,-263.2241407097771,0.5,r4,0.04,20,-3919.154572556264,-2632.241407097771,-1286.913165458493,-145.6747116231298
union_absolute,-263.2241407097771,0.5,r4,0.04,30,-7381.454773093164,-3948.362110646656,-3433.0926624465073,-278.84010395147214
union_absolute,-263.2241407097771,0.5,r5,0.05,10,-1655.4024773048814,-1316.1207035488856,-339.2817737559958,-72.56144794999966
union_absolute,-263.2241407097771,0.5,r5,0.05,20,-4351.8786777408695,-2632.241407097771,-1719.6372706430984,-200.9650765421896
union_absolute,-263.2241407097771,0.5,r5,0.05,30,-8744.154271864305,-3948.362110646656,-4795.792161217649,-410.1210572147341
union_absolute,-263.2241407097771,0.107,effective_fy2024,0.03220790586972007,10,-326.18240162187067,-281.64983055946146,-44.532571062409204,-9.299015159761568
union_absolute,-263.2241407097771,0.107,effective_fy2024,0.03220790586972007,20,-774.03215244095,-563.2996611189229,-210.73249132202704,-23.273237345169875
union_absolute,-263.2241407097771,0.107,effective_fy2024,0.03220790586972007,30,-1388.9316636083947,-844.9494916783844,-543.9821719300103,-42.459900673747
union_absolute,-263.2241407097771,0.107,r3,0.03,10,-322.87996656298503,-281.64983055946146,-41.23013600352357,-8.583931558457444
union_absolute,-263.2241407097771,0.107,r3,0.03,20,-756.8036421890632,-563.2996611189229,-193.5039810701403,-21.222485217469426
union_absolute,-263.2241407097771,0.107,r3,0.03,30,-1339.9607772481554,-844.9494916783844,-495.01128556977096,-38.20764449103522
union_absolute,-263.2241407097771,0.107,r4,0.04,10,-338.1518036860036,-281.64983055946146,-56.50197312654211,-11.922570024232977
union_absolute,-263.2241407097771,0.107,r4,0.04,20,-838.6990785270405,-563.2996611189229,-275.39941740811753,-31.174388287349778
union_absolute,-263.2241407097771,0.107,r4,0.04,30,-1579.631321441937,-844.9494916783844,-734.6818297635525,-59.671782245615034
union_absolute,-263.2241407097771,0.107,r5,0.05,10,-354.2561301432446,-281.64983055946146,-72.60629958378314,-15.528149861299928
union_absolute,-263.2241407097771,0.107,r5,0.05,20,-931.3020370365459,-563.2996611189229,-368.002375917623,-43.006526380028575
union_absolute,-263.2241407097771,0.107,r5,0.05,30,-1871.2490141789613,-844.9494916783844,-1026.2995225005768,-87.76590624395311
union_absolute,-263.2241407097771,0.509,effective_fy2024,0.03220790586972007,10,-1551.6527329488988,-1339.8108762127654,-211.84185673613342,-44.23550202166952
union_absolute,-263.2241407097771,0.509,effective_fy2024,0.03220790586972007,20,-3682.078183106949,-2679.6217524255308,-1002.4564306814182,-110.71100755786418
union_absolute,-263.2241407097771,0.509,effective_fy2024,0.03220790586972007,30,-6607.160904454888,-4019.432628638296,-2587.7282758165916,-201.98214432651608
