group,arm,start_age,rate_name,rate,terminal_value_at_83,terminal_budget_vs_white_child
all_native,partial,0,r0,0.0,270373.0649913276,129296.96017165738
all_native,partial,0,effective_fy2024,0.03220790586972007,2217753.454248203,835221.6612772108
all_native,partial,0,r3,0.03,1951302.2496141666,728884.7020467184
all_native,partial,0,r4,0.04,3468535.9808381903,1360253.2595165255
all_native,partial,0,r5,0.05,6134029.476284786,2578391.580624561
all_native,complete_uniform_shift,0,r0,0.0,-337593.23273619986,162389.23647764747
all_native,complete_uniform_shift,0,effective_fy2024,0.03220790586972007,-807980.7416610532,999915.7116115405
all_native,complete_uniform_shift,0,r3,0.03,-721409.4170315982,874363.3466516621
all_native,complete_uniform_shift,0,r4,0.04,-1278912.5599191128,1618662.1210709207
all_native,complete_uniform_shift,0,r5,0.05,-2537509.7630913975,3050393.028040786
mexican_second_gen,partial,0,r0,0.0,-109104.19504400264,508774.2202069876
mexican_second_gen,partial,0,effective_fy2024,0.03220790586972007,-176130.86370937972,3229105.9792347937
mexican_second_gen,partial,0,r3,0.03,-144293.56168431306,2824480.5133451982
mexican_second_gen,partial,0,r4,0.04,-387516.09797338216,5216305.338328098
mexican_second_gen,partial,0,r5,0.05,-1078681.970448619,9791103.027357966
mexican_second_gen,complete_uniform_shift,0,r0,0.0,-747279.8254578805,572075.8291993281
mexican_second_gen,complete_uniform_shift,0,effective_fy2024,0.03220790586972007,-3352211.2404618,3544146.210412287
mexican_second_gen,complete_uniform_shift,0,r3,0.03,-2949810.0173688624,3102763.9469889263
mexican_second_gen,complete_uniform_shift,0,r4,0.04,-5370861.353589947,5710610.914741755
mexican_second_gen,complete_uniform_shift,0,r5,0.05,-10181102.682637084,10693985.947586473
mexican_third_plus_selfid,partial,0,r0,0.0,15749.544302631133,383920.48086035385
mexican_third_plus_selfid,partial,0,effective_fy2024,0.03220790586972007,922146.6154127595,2130828.500112654
mexican_third_plus_selfid,partial,0,r3,0.03,803619.8659400166,1876567.0857208683
mexican_third_plus_selfid,partial,0,r4,0.04,1459905.7022290723,3368883.5381256435
mexican_third_plus_selfid,partial,0,r5,0.05,2528822.0800819597,6183598.976827387
mexican_third_plus_selfid,complete_uniform_shift,0,r0,0.0,-611516.3413610117,436312.3451024593
mexican_third_plus_selfid,complete_uniform_shift,0,effective_fy2024,0.03220790586972007,-2199638.008626372,2391572.9785768595
mexican_third_plus_selfid,complete_uniform_shift,0,r3,0.03,-1953935.7041114457,2106889.6337315096
mexican_third_plus_selfid,complete_uniform_shift,0,r4,0.04,-3438248.2327696662,3777997.7939214744
mexican_third_plus_selfid,complete_uniform_shift,0,r5,0.05,-6417990.862322463,6930874.1272718515
mexico_born,partial,0,r0,0.0,-154904.44856820846,554574.4737311935
mexico_born,partial,0,effective_fy2024,0.03220790586972007,-363357.56729455607,3416332.68281997
mexico_born,partial,0,r3,0.03,-318252.9430598213,2998439.894720706
mexico_born,partial,0,r4,0.04,-623299.3370935968,5452088.577448312
mexico_born,partial,0,r5,0.05,-1369124.7016737307,10081545.758583078
mexico_born,partial,25,r0,0.0,-109094.90062602011,508764.92578900506
mexico_born,partial,25,effective_fy2024,0.03220790586972007,200103.908867349,2852871.206658065
mexico_born,partial,25,r3,0.03,157846.04133973728,2522340.9103211476
mexico_born,partial,25,r4,0.04,394129.9240664102,4434659.316288305
mexico_born,partial,25,r5,0.05,785956.425270953,7926464.631638394
mexico_born,complete_uniform_shift,0,r0,0.0,-799188.7141606571,623984.7179021047
mexico_born,complete_uniform_shift,0,effective_fy2024,0.03220790586972007,-3569839.4752160925,3761774.44516658
mexico_born,complete_uniform_shift,0,r3,0.03,-3150623.881583425,3303577.811203489
mexico_born,complete_uniform_shift,0,r4,0.04,-5654345.314399707,5994094.875551515
mexico_born,complete_uniform_shift,0,r5,0.05,-10558674.042287823,11071557.307237212
mexico_born,complete_uniform_shift,25,r0,0.0,-559317.640437611,384113.6441790586
mexico_born,complete_uniform_shift,25,effective_fy2024,0.03220790586972007,-1115352.6505258812,1307287.6204763686
mexico_born,complete_uniform_shift,25,r3,0.03,-1055686.1463177945,1208640.0759378583
mexico_born,complete_uniform_shift,25,r4,0.04,-1366983.536672332,1706733.09782414
mexico_born,complete_uniform_shift,25,r5,0.05,-1812869.0854219154,2325752.350371304
third_plus_nh_white,partial,0,r0,0.0,399670.02516298497,0.0
third_plus_nh_white,partial,0,effective_fy2024,0.03220790586972007,3052975.115525414,0.0
third_plus_nh_white,partial,0,r3,0.03,2680186.951660885,0.0
third_plus_nh_white,partial,0,r4,0.04,4828789.240354716,0.0
third_plus_nh_white,partial,0,r5,0.05,8712421.056909347,0.0
third_plus_nh_white,complete_uniform_shift,0,r0,0.0,-175203.9962585524,0.0
third_plus_nh_white,complete_uniform_shift,0,effective_fy2024,0.03220790586972007,191934.9699504873,0.0
third_plus_nh_white,complete_uniform_shift,0,r3,0.03,152953.92962006392,0.0
third_plus_nh_white,complete_uniform_shift,0,r4,0.04,339749.56115180795,0.0
third_plus_nh_white,complete_uniform_shift,0,r5,0.05,512883.2649493884,0.0
