state,employed,guards,police,occ_3930,occ_3870,occ_3820,occ_3801,occ_3900,pop,foreign_born,hisp,black,frac,guard_share,police_share,fb_share,hisp_share,black_share,name,police_exp_k,corrections_exp_k,NAME,log_medinc,poverty,urban,state_name,violent_crime_rate_2019,police_pc,corr_pc,polcorr_pc,crime
01,2221448,12923,15463,12923,12480,2352,467,164,5054253,191243,272336,1308058,52.266,0.5817376774068086,0.6960775134056706,3.783803462153557,5.388254208881114,25.880342752925113,Alabama,1536532,954284,Alabama,11.035325053102616,15.632796709437574,57.7372395123758,Alabama,510.8,304.0077336848789,188.80811862801485,492.81585231289375,510.8
02,334238,2448,2573,2448,2165,349,59,0,733971,59462,52798,22728,62.577000000000005,0.7324122331990977,0.7698107336688229,8.101410001212582,7.193472221654535,3.0965801101133423,Alaska,437804,450086,Alaska,11.400159821125628,10.182460517117969,64.89948744939602,Alaska,867.1,596.4867821753176,613.2204133405816,1209.707195515899,867.1
04,3333276,22354,23774,22354,18153,4703,474,444,7268175,939254,2255930,320282,61.314,0.6706315348623996,0.7132322675950026,12.922831384769903,31.03846563958628,4.406635778582657,Arizona,3073358,2304691,Arizona,11.249896979957104,12.75994811763248,89.28515995660771,Arizona,455.3,422.8514035504098,317.09349320840516,739.944896758815,455.3
05,1327320,5578,7546,5578,6334,851,239,122,3032651,161472,265920,448431,50.022,0.4202453063315553,0.5685139981315734,5.324450456053136,8.768565852120801,14.786765770278215,Arkansas,817258,564623,Arkansas,10.981437844756142,16.021199819882355,55.476131022034025,Arkansas,584.6,269.48633390390125,186.1813311192089,455.66766502311015,584.6
06,18687056,141683,100654,141683,84231,13969,1397,1057,39242785,10511882,15629152,2082222,69.448,0.7581879136018002,0.5386295198130727,26.786788960059795,39.82681657277893,5.305999561448047,California,26138937,21482772,California,11.475576598817739,11.966430251849935,94.23663273890685,California,441.2,666.0826187539951,547.4324006310969,1213.515019385092,441.2
08,3054131,14710,15952,14710,11917,3532,279,224,5810774,550394,1291600,221341,51.59,0.4816427324171752,0.5223089644812223,9.471956747930657,22.227675693461833,3.809148316558173,Colorado,2479820,1637776,Colorado,11.434639546571685,9.38313709454171,86.02670655318224,Colorado,381.0,426.7624244205677,281.851608752982,708.6140331735496,381.0
09,1831553,10203,9529,10203,8094,1242,137,56,3598348,556681,639882,357617,55.811,0.5570682366276051,0.5202688647284572,15.470460333464134,17.78266026521059,9.938366161360712,Connecticut,1363849,702149,Connecticut,11.448493604810839,10.026457234687665,86.25072935131548,Connecticut,183.6,379.02087291168056,195.13093230560247,574.151805217283,183.6
10,481651,2919,3517,2919,2859,334,324,0,1005873,104123,108012,214646,59.123000000000005,0.6060404732887505,0.7301967607250893,10.35150560756676,10.738134933535347,21.339274441206793,Delaware,443679,446338,Delaware,11.324847371063894,10.725553979357237,82.61211700008485,Delaware,422.6,441.08848731400485,443.73196218608115,884.8204495000859,422.6
11,371088,4193,1992,4193,1297,599,0,96,672079,91196,77821,285173,66.85900000000001,1.129920665718105,0.5367998965205019,13.569238140159118,11.579144713642297,42.431470109912674,District of Columbia,672157,280618,District of Columbia,11.573898261460943,14.530603172839163,100.0,District of Columbia,1049.0,1000.1160577848735,417.5372240465779,1417.6532818314513,1049.0
12,10200808,75489,65376,75489,51925,11288,1651,512,21928881,4683484,5867890,3247684,64.03,0.7400296133404334,0.6408904078971,21.357605980897976,26.758729731808938,14.810076264265376,Florida,10846120,5196044,Florida,11.180399431835866,12.617431387860695,91.53419459121605,Florida,378.4,494.60435304473583,236.94980149693913,731.554154541675,378.4
13,5113580,27886,31875,27886,25620,4781,1292,182,10822590,1170776,1158300,3349351,64.11099999999999,0.5453322329952792,0.623340203927581,10.817891096308738,10.702613699678173,30.94777682606474,Georgia,3434092,2657299,Georgia,11.220753327245582,13.476086879327692,74.06697294263543,Georgia,340.7,317.3077793762861,245.53263128326952,562.8404106595556,340.7
15,667056,8068,5304,8068,4111,1099,59,35,1445635,264974,141636,25471,75.89,1.2094936557050682,0.7951356407857811,18.329246317362266,9.797493834889169,1.7619246905339176,Hawaii,540096,235402,Hawaii,11.495952231162518,9.965589658450755,86.06300819572436,Hawaii,285.5,373.6046789127269,162.83640061287946,536.4410795256064,285.5
16,894885,2607,4275,2607,3348,568,244,115,1893297,109154,252342,13832,34.997,0.2913223486816741,0.4777150136609732,5.765286693001679,13.328178304830146,0.7305774001648976,Idaho,579569,522118,Idaho,11.220378243517139,10.636214449432412,69.24217527429087,Idaho,223.8,306.1162617381214,275.77184139625217,581.8881031343735,223.8
17,6251052,39190,39743,39190,33963,4536,895,349,12692653,1825729,2348413,1719510,59.819,0.6269344743892709,0.6357809853445467,14.38414017936203,18.50214450832304,13.547285977171205,Illinois,6205756,2498002,Illinois,11.31083376035263,11.717428435647317,86.92747743064824,Illinois,406.9,488.9250497906151,196.80692444676458,685.7319742373797,406.9
18,3293229,13249,18789,13249,15452,2229,827,281,6811752,408110,569467,621978,40.394999999999996,0.4023103161061681,0.5705342689500184,5.99126333430812,8.360066543820151,9.130954855667088,Indiana,1879477,1284937,Indiana,11.156978827180746,12.204960861946967,71.17627397602662,Indiana,370.8,275.9168272714567,188.63531731630863,464.5521445877654,370.8
19,1627067,5730,7002,5730,6013,737,203,49,3195937,182931,223519,120656,30.141000000000002,0.3521674276474171,0.4303449089681003,5.723861265100032,6.993848752337733,3.7752934428932736,Iowa,985634,547746,Iowa,11.200226393987311,10.990487839688875,63.15354117345046,Iowa,266.6,308.402199417573,171.38823449899044,479.7904339165634,266.6
20,1448785,4505,7537,4505,6063,687,400,387,2937569,212207,389337,150973,43.909,0.3109502100035547,0.520229019488744,7.223898400343957,13.253714210627903,5.13938566208998,Kansas,1004612,608017,Kansas,11.193257246660592,11.523906119151173,72.29903876264517,Kansas,410.8,341.9875413990276,206.97964881846178,548.9671902174894,410.8
21,2029556,11765,10750,11765,8597,1084,762,307,4510725,198259,212043,350435,31.302000000000003,0.5796834381510044,0.5296724997979854,4.395280137893575,4.700862943318424,7.768928498190424,Kentucky,1063265,1024841,Kentucky,11.041592953151035,16.142133276870396,58.69845240705609,Kentucky,217.1,235.71931341414074,227.20094884968603,462.92026226382677,217.1
22,2007737,14752,17547,14752,14203,2472,720,152,4621025,216211,321343,1424542,58.208000000000006,0.7347575902620712,0.8739690507272616,4.678853717519382,6.953933380581148,30.827403011236687,Louisiana,2294178,932472,Louisiana,11.00248310108412,18.884450663349455,71.54166694398182,Louisiana,549.3,496.46517818016565,201.78899702987974,698.2541752100453,549.3
23,685372,1791,3887,1791,3140,662,13,72,1377400,53595,28642,22159,17.718,0.2613179412056518,0.5671372626836229,3.8910265718019454,2.0794250036300275,1.6087556265427616,Maine,370121,276269,Maine,11.18126363974558,10.781415933833108,38.6321813853764,Maine,115.2,268.70988819515026,200.57281835341948,469.28270654856976,115.2
24,3137146,27521,28736,27521,22270,5680,486,300,6170738,1004946,744225,1800709,66.958,0.8772623269685248,0.9159917963652312,16.28566955848717,12.06055094220497,29.181420439500105,Maryland,3268846,2183068,Maryland,11.529310494219551,9.349868647126637,85.61709920184212,Maryland,454.1,529.7333965564573,353.7774574127114,883.5108539691687,454.1
25,3680058,18442,21447,18442,18458,1753,1111,125,6992395,1239197,904017,457047,51.06699999999999,0.5011334060495786,0.5827897277705949,17.722068046785115,12.928574544201236,6.536344128156375,Massachusetts,2652382,1639292,Massachusetts,11.526246346753071,9.98217416202257,91.27981169621206,Massachusetts,327.6,379.3238225243282,234.4392729529725,613.7630954773007,327.6
26,4710169,22937,24958,22937,20030,3408,1342,178,10051595,707134,576437,1330100,44.419,0.4869676650667948,0.5298748303935591,7.035042697203778,5.734781395390483,13.23272575148521,Michigan,3005014,2534543,Michigan,11.172531548605455,13.050559525962532,73.4743951548282,Michigan,437.4,298.9589214448055,252.15331497140502,551.1122364162105,437.4
27,2990520,11096,12847,11096,11440,1037,312,58,5713716,480953,353641,377198,39.908,0.3710391503818734,0.4295908403889624,8.417516726417624,6.189334576657292,6.601623181831229,Minnesota,2580978,1198654,Minnesota,11.380033867633045,9.197386318481007,71.87870520848703,Minnesota,236.4,451.7161861037545,209.78536560095043,661.501551704705,236.4
28,1243272,8053,9999,8053,8596,1154,225,24,2951438,68798,106137,1083620,55.557,0.6477263221563745,0.8042487886801922,2.3309993298182103,3.596111454823039,36.714984356777954,Mississippi,837364,501383,Mississippi,10.913541814222446,19.064732434804533,46.290471110624836,Mississippi,277.9,283.71390488297567,169.8775308849449,453.59143576792053,277.9
29,2973163,11821,17093,11821,14181,2345,341,226,6168181,269381,311979,685720,39.306999999999995,0.3975900413129048,0.5749096164589698,4.367268081140939,5.05787686839929,11.1170537959246,Missouri,2139742,944366,Missouri,11.140701690641865,12.621002405826031,69.4674806938782,Missouri,495.0,346.9000017995581,153.10283534156991,500.002837141128,495.0
30,538066,2241,2697,2241,2047,556,44,50,1105072,24949,48557,5225,28.614,0.4164916571573004,0.5012396248787324,2.257680947485775,4.3940123358478,0.4728198705604702,Montana,414436,278873,Montana,11.15513561403932,12.045774647887324,53.41852475270355,Montana,404.9,375.0307672260269,252.35731246470817,627.3880796907351,404.9
31,1020965,3807,5098,3807,3938,691,449,20,1965926,151556,242298,89898,40.001999999999995,0.3728825180099219,0.4993315147923778,7.709140628894476,12.32487896289077,4.572806911348646,Nebraska,597511,660997,Nebraska,11.225043372515781,10.29529708950438,73.00535711372498,Nebraska,300.9,303.933617033398,336.22679592212523,640.1604129555233,300.9
32,1470483,20377,9820,20377,7833,1760,126,101,3141000,600130,916841,284701,68.52000000000001,1.385735163208279,0.6678077883253326,19.10633556192295,29.18946195479147,9.064024196115888,Nevada,1608650,949667,Nevada,11.232695556043486,12.592176165452166,94.0923090599991,Nevada,493.8,512.1458134352117,302.3454313912767,814.4912448264884,493.8
33,742155,2579,4197,2579,3411,673,113,0,1387835,87333,62622,18927,23.02,0.347501532698695,0.5655152899326961,6.2927509394128265,4.512207863326692,1.3637788353802864,New Hampshire,521488,248055,New Hampshire,11.468220943185749,7.155823913480535,58.32327304906103,New Hampshire,152.5,375.7564840200744,178.73522428818987,554.4917083082643,152.5
34,4635181,30966,38724,30966,31659,6093,799,173,9267014,2179399,2033445,1139779,65.57,0.6680645264985338,0.835436631277182,23.51781274960845,21.94282861771872,12.299312378291432,New Jersey,4243728,2142671,New Jersey,11.523370722831768,9.770946890342179,93.75373694934027,New Jersey,206.9,457.93909451307616,231.21482281131765,689.1539173243938,206.9
35,910839,5992,7325,5992,5411,1359,472,83,2114768,193549,1018187,39082,62.635,0.6578550106001171,0.8042035969035142,9.152256890590364,48.14651063379056,1.8480514174604497,New Mexico,860482,833491,New Mexico,11.03690376339893,18.100621209659103,74.54713575585046,New Mexico,832.2,406.8919143849349,394.1288122385056,801.0207266234405,832.2
36,9545496,84256,82667,84256,66075,12117,4159,316,19872319,4504306,3895948,2701592,64.866,0.8826780714171374,0.8660314770442521,22.66623236070234,19.604898653247265,13.594749560934485,New York,10900428,6407864,New York,11.345429464494833,13.700021916536672,87.44590990388762,New York,358.6,548.5231995319721,322.4517480823451,870.9749476143172,358.6
37,4979887,22322,31301,22322,26297,4188,389,427,10584340,920775,1158685,2146703,57.63399999999999,0.4482431027049409,0.6285483987889685,8.699408749152049,10.947163450909551,20.28187870004176,North Carolina,4026546,2463619,North Carolina,11.154878151191218,13.166957247475114,66.7158553738974,North Carolina,371.8,380.42485407687207,232.76075787436912,613.1856119512412,371.8
38,405190,1082,3010,1082,2520,354,136,0,779361,32496,35110,23297,31.362000000000002,0.267035218045855,0.7428613736765468,4.1695696859350155,4.504972663502536,2.9892437522534485,North Dakota,275971,202196,North Dakota,11.237817341380294,10.581470599569714,60.96684097169276,North Dakota,284.6,354.09906320690925,259.4381807660378,613.5372439729471,284.6
39,5688030,26050,32746,26050,27326,4101,1038,281,11780046,588348,537239,1427466,39.57,0.4579793003904691,0.575700198486998,4.99444569231733,4.560584907732958,12.1176606610874,Ohio,4496856,2436398,Ohio,11.151668611526384,13.238334360874306,76.28406854286743,Ohio,293.2,381.7350119006326,206.82414992267434,588.559161823307,293.2
