state_name,violent_crime_rate_2019
Alabama,510.8
Alaska,867.1
Arizona,455.3
Arkansas,584.6
California,441.2
Colorado,381.0
Connecticut,183.6
Delaware,422.6
District Of Columbia,1049.0
Florida,378.4
Georgia,340.7
Hawaii,285.5
Idaho,223.8
Illinois,406.9
Indiana,370.8
Iowa,266.6
Kansas,410.8
Kentucky,217.1
Louisiana,549.3
Maine,115.2
Maryland,454.1
Massachusetts,327.6
Michigan,437.4
Minnesota,236.4
Mississippi,277.9
Missouri,495.0
Montana,404.9
Nebraska,300.9
Nevada,493.8
New Hampshire,152.5
New Jersey,206.9
New Mexico,832.2
New York,358.6
North Carolina,371.8
North Dakota,284.6
Ohio,293.2
Oklahoma,431.8
Oregon,284.4
Pennsylvania,306.4
Puerto Rico,202.9
Rhode Island,221.1
South Carolina,511.3
South Dakota,399.0
Tennessee,595.2
Texas,418.9
Utah,235.6
Vermont,202.2
Virginia,208.0
Washington,293.9
West Virginia,316.6
Wisconsin,293.2
Wyoming,217.4
