state,name,police_exp_k,corrections_exp_k
01,Alabama,1536532,954284
02,Alaska,437804,450086
04,Arizona,3073358,2304691
05,Arkansas,817258,564623
06,California,26138937,21482772
08,Colorado,2479820,1637776
09,Connecticut,1363849,702149
10,Delaware,443679,446338
11,District of Columbia,672157,280618
12,Florida,10846120,5196044
13,Georgia,3434092,2657299
15,Hawaii,540096,235402
16,Idaho,579569,522118
17,Illinois,6205756,2498002
18,Indiana,1879477,1284937
19,Iowa,985634,547746
20,Kansas,1004612,608017
21,Kentucky,1063265,1024841
22,Louisiana,2294178,932472
23,Maine,370121,276269
24,Maryland,3268846,2183068
25,Massachusetts,2652382,1639292
26,Michigan,3005014,2534543
27,Minnesota,2580978,1198654
28,Mississippi,837364,501383
29,Missouri,2139742,944366
30,Montana,414436,278873
31,Nebraska,597511,660997
32,Nevada,1608650,949667
33,New Hampshire,521488,248055
34,New Jersey,4243728,2142671
35,New Mexico,860482,833491
36,New York,10900428,6407864
37,North Carolina,4026546,2463619
38,North Dakota,275971,202196
39,Ohio,4496856,2436398
40,Oklahoma,1123979,806116
41,Oregon,1730481,1743322
42,Pennsylvania,4955196,4290801
44,Rhode Island,544554,301508
45,South Carolina,1576031,943379
46,South Dakota,270479,234095
47,Tennessee,2517991,1317450
48,Texas,10474022,6775969
49,Utah,1096466,691926
50,Vermont,224494,167438
51,Virginia,3209024,3287665
53,Washington,2726693,2159101
54,West Virginia,488269,392624
55,Wisconsin,2107228,1833004
56,Wyoming,243771,205797
