state,employed,guards,police,occ_3930,occ_3870,occ_3820,occ_3801,occ_3900,pop,foreign_born,hisp,black,frac,guard_share,police_share,fb_share,hisp_share,black_share
01,2221448,12923,15463,12923,12480,2352,467,164,5054253,191243,272336,1308058,0.52266,0.5817376774068086,0.6960775134056706,3.7838034621535566,5.388254208881114,25.880342752925113
02,334238,2448,2573,2448,2165,349,59,0,733971,59462,52798,22728,0.62577,0.7324122331990977,0.7698107336688229,8.101410001212582,7.193472221654535,3.0965801101133423
04,3333276,22354,23774,22354,18153,4703,474,444,7268175,939254,2255930,320282,0.61314,0.6706315348623996,0.7132322675950026,12.922831384769903,31.038465639586278,4.406635778582657
05,1327320,5578,7546,5578,6334,851,239,122,3032651,161472,265920,448431,0.50022,0.4202453063315553,0.5685139981315734,5.324450456053136,8.768565852120801,14.786765770278215
06,18687056,141683,100654,141683,84231,13969,1397,1057,39242785,10511882,15629152,2082222,0.69448,0.7581879136018002,0.5386295198130727,26.786788960059795,39.826816572778924,5.305999561448047
08,3054131,14710,15952,14710,11917,3532,279,224,5810774,550394,1291600,221341,0.5159,0.48164273241717526,0.5223089644812223,9.471956747930655,22.227675693461833,3.809148316558173
09,1831553,10203,9529,10203,8094,1242,137,56,3598348,556681,639882,357617,0.55811,0.5570682366276051,0.5202688647284572,15.470460333464134,17.78266026521059,9.938366161360713
10,481651,2919,3517,2919,2859,334,324,0,1005873,104123,108012,214646,0.59123,0.6060404732887505,0.7301967607250893,10.35150560756676,10.738134933535347,21.339274441206793
11,371088,4193,1992,4193,1297,599,0,96,672079,91196,77821,285173,0.66859,1.1299206657181047,0.5367998965205019,13.569238140159118,11.579144713642295,42.431470109912674
12,10200808,75489,65376,75489,51925,11288,1651,512,21928881,4683484,5867890,3247684,0.6403,0.7400296133404334,0.6408904078971,21.357605980897976,26.758729731808934,14.810076264265376
13,5113580,27886,31875,27886,25620,4781,1292,182,10822590,1170776,1158300,3349351,0.64111,0.5453322329952792,0.623340203927581,10.817891096308738,10.702613699678173,30.94777682606474
15,667056,8068,5304,8068,4111,1099,59,35,1445635,264974,141636,25471,0.7589,1.2094936557050682,0.7951356407857811,18.329246317362266,9.797493834889167,1.7619246905339176
16,894885,2607,4275,2607,3348,568,244,115,1893297,109154,252342,13832,0.34997,0.29132234868167417,0.47771501366097324,5.765286693001679,13.328178304830146,0.7305774001648976
17,6251052,39190,39743,39190,33963,4536,895,349,12692653,1825729,2348413,1719510,0.59819,0.6269344743892709,0.6357809853445467,14.38414017936203,18.502144508323042,13.547285977171203
18,3293229,13249,18789,13249,15452,2229,827,281,6811752,408110,569467,621978,0.40395,0.40231031610616813,0.5705342689500184,5.99126333430812,8.360066543820151,9.130954855667088
19,1627067,5730,7002,5730,6013,737,203,49,3195937,182931,223519,120656,0.30141,0.3521674276474171,0.4303449089681003,5.723861265100032,6.993848752337733,3.7752934428932736
20,1448785,4505,7537,4505,6063,687,400,387,2937569,212207,389337,150973,0.43909,0.3109502100035547,0.520229019488744,7.223898400343957,13.253714210627903,5.13938566208998
21,2029556,11765,10750,11765,8597,1084,762,307,4510725,198259,212043,350435,0.31302,0.5796834381510044,0.5296724997979854,4.395280137893575,4.700862943318424,7.768928498190424
22,2007737,14752,17547,14752,14203,2472,720,152,4621025,216211,321343,1424542,0.58208,0.7347575902620712,0.8739690507272616,4.678853717519382,6.953933380581148,30.827403011236687
