tract10,lat,lon,aland_sqmi
01001020100,32.481959,-86.491338,3.791
01001020200,32.475758,-86.472468,1.284
01001020300,32.474024,-86.459703,2.065
01001020400,32.47103,-86.444835,2.465
01001020500,32.458922,-86.421826,4.405
01001020600,32.44734,-86.476828,3.105
01001020700,32.430595,-86.439621,8.653
01001020801,32.418082,-86.527138,47.982
01001020802,32.546748,-86.531526,73.675
01001020900,32.638522,-86.514873,113.034
01001021000,32.606138,-86.748985,149.37
01001021100,32.457413,-86.729003,184.615
01003010100,31.110476,-87.786871,375.109
01003010200,30.947893,-87.678731,85.696
01003010300,30.8412,-87.878638,132.448
01003010400,30.720027,-87.624544,284.757
01003010500,30.896961,-87.773737,6.651
01003010600,30.853154,-87.770191,7.173
01003010701,30.717449,-87.952922,42.237
01003010703,30.64783,-87.843774,55.604
01003010704,30.64776,-87.883801,3.252
01003010705,30.660495,-87.955712,6.734
01003010800,30.593916,-87.900639,6.984
01003010903,30.607243,-87.779804,21.461
01003010904,30.564071,-87.573119,106.614
01003010905,30.534561,-87.754874,27.459
01003010906,30.564129,-87.687007,15.201
01003011000,30.489699,-87.67673,50.377
01003011101,30.519007,-87.838636,13.006
01003011102,30.47993,-87.833081,17.067
01003011201,30.540806,-87.891618,4.79
01003011202,30.504595,-87.911367,5.204
01003011300,30.42937,-87.878236,25.732
01003011401,30.380276,-87.770318,63.612
01003011403,30.319537,-87.662707,32.895
01003011405,30.300589,-87.54179,5.994
01003011406,30.269628,-87.637277,13.187
01003011407,30.25019,-87.777944,13.022
01003011408,30.237554,-87.92388,10.595
01003011501,30.432448,-87.679014,14.906
01003011502,30.379884,-87.665057,20.037
01003011601,30.40821,-87.555585,90.56
01003011602,30.411164,-87.451118,31.461
01003990000,30.328801,-87.882974,0.0
01005950100,32.035353,-85.247768,187.35
01005950200,31.922275,-85.449831,199.617
01005950300,31.790893,-85.567051,136.216
01005950400,31.679443,-85.55772,132.556
01005950500,31.763418,-85.271865,128.848
01005950600,31.878353,-85.272922,39.263
01005950700,31.944086,-85.262084,49.117
01005950800,31.920355,-85.175631,5.687
01005950900,31.855977,-85.151316,6.353
01007010001,33.079148,-87.173092,91.0
01007010002,33.182413,-87.082336,69.739
01007010003,32.953325,-87.004347,267.053
01007010004,32.948124,-87.279997,194.67
01009050101,33.872393,-86.459032,83.074
01009050102,33.954852,-86.464364,71.349
01009050200,33.997435,-86.544238,44.972
01009050300,34.076531,-86.390499,73.32
01009050400,34.166034,-86.497174,94.636
01009050500,34.033624,-86.637318,96.224
01009050601,33.870267,-86.893434,32.371
01009050602,33.903664,-86.781312,70.23
01009050700,33.840429,-86.635412,78.655
01011952100,32.115727,-85.526734,165.331
01011952200,32.156702,-85.701532,153.875
01011952500,32.082127,-85.827494,303.606
01013952700,31.894656,-86.591405,51.668
01013952800,31.837709,-86.628326,1.332
01013952900,31.848335,-86.676324,22.177
01013953000,31.861798,-86.760811,170.457
01013953100,31.796789,-86.654267,12.433
01013953200,31.782008,-86.521368,184.822
01013953300,31.716324,-86.753322,136.009
01013953400,31.601738,-86.81658,95.875
01013953500,31.575083,-86.608695,102.066
01015000200,33.673777,-85.816573,2.625
01015000300,33.67595,-85.831361,1.018
01015000400,33.682055,-85.868685,3.91
01015000500,33.662681,-85.845239,0.899
01015000600,33.642233,-85.841204,2.662
01015000700,33.707754,-85.791935,17.678
01015000800,33.645722,-85.827015,1.393
01015000900,33.644908,-85.79652,4.678
01015001000,33.634562,-85.790131,6.439
01015001100,33.596894,-85.794037,18.732
01015001201,33.608416,-85.851547,2.836
01015001202,33.610172,-85.878639,9.085
01015001300,33.644596,-85.873175,2.225
01015001400,33.6599,-85.889541,8.144
01015001500,33.613252,-85.92536,21.015
01015001600,33.698199,-85.863807,5.437
01015001700,33.727837,-85.84442,7.213
01015001800,33.76605,-85.786402,15.891
01015002000,33.738267,-85.681293,92.402
01015002101,33.837058,-85.772778,5.286
01015002102,33.83562,-85.738289,8.027
01015002103,33.79682,-85.759327,9.713
01015002200,33.895264,-85.59836,33.939
01015002300,33.937655,-85.671554,34.173
01015002400,33.875094,-85.779315,48.082
01015002501,33.783775,-85.90029,37.507
01015002502,33.890848,-85.886042,63.429
01015002600,33.768761,-86.037236,68.632
01015981901,33.646745,-85.969016,24.241
01015981902,33.71882,-85.952354,34.647
01015981903,33.707229,-85.750286,13.911
01017953800,33.026017,-85.389661,199.11
01017953900,32.911953,-85.273838,37.978
01017954000,32.866078,-85.461606,261.056
01017954200,32.834144,-85.267852,24.324
01017954300,32.776647,-85.273492,51.216
01017954400,32.847261,-85.197211,1.754
01017954500,32.857965,-85.206711,2.696
01017954600,32.836275,-85.172575,3.741
01017954700,32.770219,-85.174468,14.686
01019955701,34.228895,-85.517862,40.18
01019955702,34.35696,-85.568848,136.259
01019955800,34.199154,-85.757837,90.188
01019955900,34.032852,-85.68285,118.893
01019956000,34.166088,-85.654171,23.971
01019956100,34.086172,-85.506889,144.033
01021060101,32.81545,-86.641535,21.583
01021060102,32.86958,-86.658888,24.869
01021060200,32.858795,-86.549163,38.055
01021060300,32.97092,-86.606179,105.075
01021060401,32.925162,-86.727697,35.22
01021060402,32.996653,-86.809185,94.205
01021060500,32.768987,-86.895464,174.171
01021060600,32.77273,-86.736381,100.673
01021060700,32.759242,-86.526,98.999
01023956700,32.274176,-88.215041,222.878
01023956800,32.065663,-88.212848,290.625
01023956900,31.940313,-88.34451,223.37
01023957000,31.759107,-88.301664,176.595
01025957500,31.792901,-87.642515,96.143
01025957601,31.888482,-87.891364,189.044
01025957602,31.912539,-87.695304,74.655
01025957700,31.839165,-88.057934,142.919
01025957800,31.617017,-87.697977,321.513
01025957901,31.637929,-87.959857,145.14
01025957902,31.501162,-87.872334,41.636
01025958001,31.558079,-87.782685,54.709
01025958002,31.357382,-87.84075,172.661
01027958900,33.387278,-85.769062,198.088
01027959000,33.309376,-85.882088,69.366
01027959100,33.178516,-85.781568,147.886
01027959200,33.177532,-86.02161,188.621
01029959500,33.820759,-85.472323,189.799
01029959600,33.698998,-85.572797,94.142
01029959700,33.559294,-85.642826,161.736
01029959800,33.572983,-85.396107,114.427
01031010100,31.562947,-86.056315,93.803
01031010200,31.537584,-85.898401,80.432
01031010300,31.423448,-85.869456,112.913
01031010400,31.400282,-86.025568,81.197
01031010500,31.436233,-86.152405,77.516
01031010600,31.272191,-86.150624,49.435
01031010700,31.255471,-86.028794,82.458
01031010800,31.235694,-85.865921,52.917
01031010900,31.287119,-85.874003,7.823
01031011000,31.316226,-85.891994,11.074
01031011100,31.326927,-85.85246,1.284
01031011201,31.358232,-85.841411,15.731
01031011202,31.328427,-85.808898,4.815
01031011300,31.301591,-85.823069,7.587
01033020100,34.770829,-87.679963,1.756
01033020200,34.766532,-87.701428,0.86
01033020300,34.752916,-87.697935,2.009
01033020400,34.740332,-87.733777,2.056
01033020500,34.722336,-87.723752,9.117
01033020600,34.718944,-87.678307,3.808
01033020701,34.724125,-87.626509,43.59
01033020703,34.747122,-87.639847,3.143
01033020704,34.744327,-87.666306,2.807
01033020801,34.774634,-87.505347,45.931
01033020802,34.651777,-87.557426,83.105
01033020901,34.613317,-87.691975,51.365
01033020902,34.668665,-87.822804,100.066
01033021000,34.722246,-88.012808,243.131
01035960200,31.591406,-87.003548,217.81
01035960300,31.356576,-87.242943,151.166
01035960400,31.341111,-87.038746,185.578
01035960500,31.462691,-86.998498,34.959
