cbsa,period,num0,num1,wsum,fb0,fb1,h0,pop0,pop1,hc0,hn0,hn1,dlog,imm_pc,hisp_pc,_w,period_fe
10180,A,3.74249e+09,4.57309e+09,38735,8112,8415,0.243429,156132,159239,42,33013,36774,0.200439,0.00194067,0.0240886,156132,A
10180,B,4.5341e+09,6.55571e+09,37520,8415,10361,0.267909,159239,168381,42,36774,40372,0.36871,0.0122206,0.022595,159239,B
10420,A,2.88485e+10,3.00873e+10,191092,28488,32789,0.016862,695224,694519,167,11249,13722,0.0420464,0.0061865,0.00355712,695224,A
10420,B,3.036e+10,4.13469e+10,190285,31996,34994,0.0197874,687453,681450,164,13448,16783,0.308873,0.00436103,0.00485124,687453,B
10500,A,3.67777e+09,3.86787e+09,33238,3794,3691,0.0205164,157177,153101,43,3446,4133,0.050397,-0.000655312,0.00437087,157177,A
10500,B,3.72162e+09,4.92857e+09,31311,3691,3714,0.0313493,151722,148639,42,4093,4393,0.28089,0.000151593,0.00197728,151722,B
10540,A,5.55554e+09,6.25825e+09,29852,5184,5617,0.0819754,117648,122870,21,9371.01,10910,0.119104,0.00368047,0.0130813,117648,A
10540,B,6.27487e+09,1.07374e+10,29910,5617,5521,0.0915716,122870,129794,21,10910,13343,0.537176,-0.000781314,0.0198014,122870,B
10580,A,4.66718e+10,4.89244e+10,227574,59829,68468,0.0447336,864521,871176,214,37194,42859,0.0471375,0.00999282,0.00655276,864521,A
10580,B,4.87321e+10,6.3505e+10,223858,68166,75014,0.0506233,867326,889164,212,42308,52735,0.264781,0.00789553,0.012022,867326,B
10740,A,4.42261e+10,4.60401e+10,225286,84562,80810,0.450201,863549,875819,194,406562,427405,0.0401982,-0.00434486,0.0241364,863549,A
10740,B,4.78032e+10,6.54406e+10,231581,82278,83202,0.466981,894952,905341,196,437529,437688,0.31405,0.00103246,0.000177673,894952,B
10780,A,4.37086e+09,5.07049e+09,37166,3815,4402,0.0219509,154104,153877,37,4462,5179,0.148478,0.00380912,0.00465274,154104,A
10780,B,4.68063e+09,5.90805e+09,33921,4402,4891,0.0266018,153877,150593,37,5179,6514,0.232883,0.00317786,0.00867573,153877,B
10900,A,4.83615e+10,4.82033e+10,223149,66107,75973,0.140731,820407,831209,178,111726,136119,-0.00327668,0.0120257,0.0297328,820407,A
10900,B,4.81922e+10,6.44788e+10,220776,75534,89194,0.165762,826263,857803,176,134267,163469,0.291139,0.0165323,0.0353423,826263,B
11020,A,4.32028e+09,4.7703e+09,37144,1552,1516,0.0105002,125333,122328,33,1292,1442,0.0990885,-0.000287235,0.00119681,125333,A
11020,B,4.67492e+09,5.83532e+09,36170,1516,1588,0.0125927,122328,120464,33,1442,1681,0.221717,0.000588582,0.00195377,122328,B
11100,A,7.67674e+09,8.80558e+09,61368,22281,26152,0.255276,251148,259713,64,64787,73856,0.137191,0.0154132,0.0361103,251148,A
11100,B,9.03493e+09,1.24881e+10,61579,25704,24029,0.29214,251440,259755,63,71697,76849,0.323675,-0.00666163,0.02049,251440,B
11180,A,3.14143e+09,3.68421e+09,18786,5386,7225,0.026012,77941,82168,16,2254,2633,0.159379,0.0235948,0.00486264,77941,A
11180,B,3.69867e+09,4.76469e+09,18862,7225,6537,0.0307304,82168,82571,16,2633,4193,0.253259,-0.00837309,0.0189855,82168,B
