outcome,treat,arm,main_coef,main_se,int_coef,int_se,int_t,n,cbsa_periods
rent,fb,x_lagshare_tipping,0.0321639,0.0179042,-0.151733,0.0684384,-2.21708,110145,758
rent,fb,x_valq_T2col2,0.0355049,0.0236696,-0.0337522,0.0159019,-2.12254,110145,758
rent,fb,x_white_T2col1,-0.0235621,0.0189531,0.041899,0.038424,1.09044,110145,758
rent,hisp,supply_elastic,-0.0493502,0.018718,,,,63837,379
rent,hisp,supply_inelastic,-0.0594597,0.0136545,,,,46308,379
rent,hisp,x_lagshare_tipping,0.010942,0.0122997,-0.213171,0.0358646,-5.94376,110145,758
rent,hisp,x_valq_T2col2,0.0582319,0.026936,-0.0951512,0.0128877,-7.38312,110145,758
rent,hisp,x_white_T2col1,-0.0875858,0.0162305,0.0840987,0.0265998,3.16163,110145,758
rent,mex,supply_elastic,-0.0427753,0.018084,,,,63837,379
rent,mex,supply_inelastic,-0.0895555,0.0135954,,,,46308,379
rent,mex,x_lagshare_tipping,-0.0211362,0.0175443,-0.150183,0.0468945,-3.20256,110145,758
rent,mex,x_valq_T2col2,-0.00222096,0.0213442,-0.0546519,0.012741,-4.28946,110145,758
rent,mex,x_white_T2col1,-0.0786681,0.0226302,0.0414821,0.0407987,1.01675,110145,758
value,fb,x_lagshare_tipping,0.0490526,0.0196121,-0.188477,0.112437,-1.67629,113571,758
value,fb,x_valq_T2col2,0.0191342,0.0303565,-0.00502628,0.0151532,-0.331698,113571,758
value,fb,x_white_T2col1,-0.041446,0.0388194,0.100407,0.0588675,1.70565,113571,758
value,hisp,supply_elastic,-0.0263464,0.0141368,,,,59571,379
value,hisp,supply_inelastic,-0.0881079,0.0199331,,,,54000,379
value,hisp,x_lagshare_tipping,-0.0550326,0.0137852,0.0207788,0.0751379,0.276542,113571,758
value,hisp,x_valq_T2col2,0.0524157,0.022981,-0.0764171,0.0103834,-7.35958,113571,758
value,hisp,x_white_T2col1,0.00873771,0.0380475,-0.109619,0.0553139,-1.98177,113571,758
value,mex,supply_elastic,-0.0746597,0.0168082,,,,59571,379
value,mex,supply_inelastic,-0.0983436,0.0219934,,,,54000,379
value,mex,x_lagshare_tipping,-0.0415061,0.0149221,-0.181012,0.0839637,-2.15584,113571,758
value,mex,x_valq_T2col2,-0.0599649,0.0262353,-0.0193696,0.0119609,-1.61941,113571,758
value,mex,x_white_T2col1,-0.101017,0.0380074,0.0329615,0.0529817,0.62213,113571,758
