year,pobp,birthplace,foreign_born_population,ba_plus_share_25_64,share_65_plus,employed_share_25_64,income_100k_share_25_64,poverty_rate,ssi_rate_all_ages,public_assistance_rate,medicaid_rate_all_ages,medicaid_rate_65_plus,ssi_rate_65_plus,social_security_rate_65_plus
2024,210,India,3176719,0.8590,0.1317,0.8226,0.4832,0.0609,0.0114,0.0054,0.0746,0.2080,0.0672,0.6185
2024,240,Taiwan,404244,0.8097,0.3012,0.7536,0.3874,0.0903,0.0135,0.0076,0.0945,0.1354,0.0349,0.7209
2024,109,France,183903,0.7395,0.2100,0.8346,0.4583,0.0855,0.0095,0.0094,0.0707,0.1009,0.0283,0.7978
2024,243,Turkey,186039,0.6979,0.0981,0.7691,0.3174,0.1085,0.0058,0.0032,0.1217,0.1744,0.0458,0.7552
2024,217,Korea,1078899,0.6965,0.2582,0.7589,0.2955,0.1035,0.0359,0.0117,0.1519,0.2811,0.1145,0.7293
2024,163,Russia,431452,0.6939,0.1684,0.7584,0.2743,0.1265,0.0395,0.0256,0.2407,0.4209,0.1753,0.6205
2024,138,"United Kingdom, Not Specified",320096,0.6917,0.2145,0.8144,0.4662,0.0614,0.0078,0.0061,0.0675,0.0851,0.0174,0.7625
2024,440,Nigeria,539400,0.6898,0.1201,0.8435,0.2220,0.1228,0.0106,0.0122,0.1534,0.2129,0.0561,0.5240
2024,134,Spain,137467,0.6895,0.1781,0.8315,0.3372,0.1219,0.0137,0.0126,0.0967,0.1415,0.0422,0.7522
2024,414,Egypt,222127,0.6869,0.2046,0.7690,0.2397,0.1818,0.0264,0.0154,0.2884,0.2605,0.0788,0.6706
2024,209,Hong Kong,239830,0.6775,0.3250,0.7553,0.3609,0.0831,0.0264,0.0116,0.1287,0.1490,0.0585,0.6978
2024,212,Iran,411097,0.6739,0.3126,0.7852,0.3516,0.1030,0.0501,0.0140,0.1908,0.2724,0.1267,0.6505
2024,215,Japan,343320,0.6733,0.2569,0.7370,0.2835,0.0786,0.0125,0.0073,0.0807,0.1094,0.0376,0.7646
2024,501,Australia,112553,0.6497,0.1592,0.8195,0.4497,0.0412,0.0075,0.0065,0.0657,0.1136,0.0350,0.7811
2024,301,Canada,826563,0.6336,0.3111,0.7873,0.3997,0.0805,0.0135,0.0053,0.0690,0.0946,0.0292,0.7339
2024,211,Indonesia,105197,0.6260,0.2319,0.7801,0.2448,0.1066,0.0157,0.0079,0.1177,0.1814,0.0652,0.6880
2024,231,Pakistan,417674,0.6177,0.1445,0.7116,0.2284,0.1232,0.0201,0.0176,0.2508,0.2658,0.0916,0.6012
2024,207,China,2379080,0.6037,0.2042,0.7952,0.3027,0.1464,0.0334,0.0156,0.2172,0.3793,0.1433,0.6095
2024,132,Romania,162028,0.6029,0.2472,0.8375,0.3362,0.0844,0.0162,0.0108,0.1353,0.2533,0.0492,0.7636
2024,214,Israel,155059,0.5982,0.2128,0.8186,0.3881,0.1011,0.0163,0.0047,0.1434,0.1350,0.0481,0.7207
2024,449,South Africa,156545,0.5931,0.1766,0.8008,0.3466,0.1292,0.0133,0.0090,0.0900,0.1369,0.0245,0.6223
