origin,education,allocation,account,raw_n_25_64,raw_n_65_plus,population_25_plus,ba_plus_share_25_64,share_65_plus_of_adults,unsupported_age_bands,net_per_person_25_64_estimate,net_per_person_25_64_se_joint,net_per_person_25_64_ci95_low,net_per_person_25_64_ci95_high,net_per_person_65_plus_estimate,net_per_person_65_plus_se_joint,net_per_person_65_plus_ci95_low,net_per_person_65_plus_ci95_high,net_per_person_25_plus_estimate,net_per_person_25_plus_se_joint,net_per_person_25_plus_ci95_low,net_per_person_25_plus_ci95_high,gap_vs_native_same_education_common_age,gap_ci95_low,gap_ci95_high,gap_standard_mass
mexico_born,all,personal,expanded_excluding_N,4318,831,1.10949e+07,0.11488,0.148567,0,1559.34,632.746,319.16,2799.52,-24294,1616.01,-27461.4,-21126.6,-2281.61,613.068,-3483.22,-1079.99,-12890.8,-14292.6,-11488.9,1
germany,all,personal,expanded_excluding_N,59,59,291068,0.555794,0.523681,5,22568.3,5532.29,11725.1,33411.6,-19445.2,8918.12,-36924.8,-1965.73,566.625,5473.03,-10160.5,11293.8,,,,0
philippines,all,personal,expanded_excluding_N,669,329,1.95356e+06,0.556395,0.323187,0,15575.5,2017.02,11622.1,19528.8,-29684.3,2117.24,-33834.1,-25534.5,948.104,1696.83,-2377.68,4273.88,1835.28,-2611.45,6282.02,1
all_native,all,personal,expanded_excluding_N,55652,21681,1.87107e+08,0.411441,0.280165,0,14665.4,382.586,13915.5,15415.3,-27740.7,646.888,-29008.6,-26472.8,2784.69,351.511,2095.73,3473.66,0,0,0,1
poland,all,personal,expanded_excluding_N,78,44,368983,0.524605,0.390333,5,24301.2,4116.18,16233.5,32368.9,-29780.1,4449.61,-38501.3,-21058.8,3191.5,4229.77,-5098.85,11481.9,4841.61,-7596.38,17279.6,0.223631
third_plus_nh_white,all,personal,expanded_excluding_N,36287,15524,1.28059e+08,0.443822,0.315568,0,17261.5,462.132,16355.8,18167.3,-27001.3,705.802,-28384.7,-25618,3293.6,415.043,2480.12,4107.09,2480.15,2168.25,2792.05,1
venezuela,all,personal,expanded_excluding_N,338,41,921124,0.494707,0.0918695,2,7061.52,1758.52,3614.83,10508.2,-21275.1,2420.89,-26020,-16530.1,4458.25,1708.94,1108.72,7807.78,-7240.18,-10866,-3614.34,1
pakistan_bangladesh,all,personal,expanded_excluding_N,209,48,740653,0.596824,0.194377,1,12134.2,3374.38,5520.37,18747.9,-22863.3,7906.63,-38360.3,-7366.27,5331.47,3286.13,-1109.34,11772.3,-2400.6,-9395.22,4594.01,1
japan,all,personal,expanded_excluding_N,101,58,318048,0.765856,0.32569,4,20918,7342.21,6527.24,35308.7,-20470.1,5338.46,-30933.5,-10006.7,7438.3,5718.39,-3769.74,18646.3,24816.2,-12221.6,61854,0.256467
former_ussr,all,personal,expanded_excluding_N,340,68,1.31958e+06,0.63278,0.194393,0,17244.7,2238.49,12857.3,21632.2,-25148.9,4315.24,-33606.8,-16691.1,9003.67,2404.71,4290.45,13716.9,1237.28,-2752.7,5227.26,1
russia_ukraine_ussr,all,personal,expanded_excluding_N,217,44,850657,0.64349,0.206214,2,18633.5,2503.94,13725.8,23541.2,-24215.1,3550.81,-31174.7,-17255.5,9797.53,2728.45,4449.76,15145.3,2337.79,-2153.2,6828.79,1
korea,all,personal,expanded_excluding_N,275,98,869337,0.743397,0.25218,0,21348.2,2893.45,15677,27019.4,-22887,3573.12,-29890.3,-15883.6,10193,2658.59,4982.17,15403.8,7056.22,1290.76,12821.7,1
nigeria,all,personal,expanded_excluding_N,114,15,418496,0.716198,0.0942176,4,17944.3,4734.42,8664.85,27223.8,-14460,14125.9,-42146.8,13226.8,14891.3,4726.59,5627.14,24155.4,1466.11,-9784.94,12717.2,0.480098
united_kingdom,all,personal,expanded_excluding_N,146,84,630148,0.685019,0.388883,1,36915.5,5458.38,26217,47613.9,-17044.9,10029.7,-36703,2613.24,15931.2,5220.54,5698.94,26163.4,19598.1,8528.11,30668.1,0.721979
china_mainland,all,personal,expanded_excluding_N,628,190,2.04024e+06,0.684732,0.258432,0,28192.1,3144.31,22029.3,34355,-15445.4,5279.23,-25792.7,-5098.11,16914.8,3110.23,10818.8,23010.8,13446,7297.35,19594.6,1
brazil,all,personal,expanded_excluding_N,193,15,552990,0.506021,0.0802266,3,20370.6,3860.13,12804.7,27936.4,-16189.1,5863.32,-27681.2,-4696.95,17437.5,3791.56,10006.1,24869,4612.4,-2447.45,11672.3,0.758119
egypt,all,personal,expanded_excluding_N,43,11,133693,0.733127,0.161201,6,21021.3,5997.39,9266.43,32776.2,-894.13,18520.1,-37193.5,35405.2,17488.5,5789.7,6140.72,28836.3,,,,0
taiwan_hong_kong,all,personal,expanded_excluding_N,141,66,523484,0.796099,0.313789,2,37500.3,5026.8,27647.8,47352.9,-14928.1,4641.17,-24024.8,-5831.39,21048.9,4531.15,12167.8,29929.9,23437.7,13047.7,33827.6,0.721979
iran,all,personal,expanded_excluding_N,81,34,369694,0.736557,0.300005,6,37307.8,8520.84,20606.9,54008.6,-16289.3,6270.43,-28579.3,-3999.25,21228.4,6935.99,7633.83,34822.9,,,,0
canada,all,personal,expanded_excluding_N,165,83,622166,0.729889,0.327118,0,39558.9,6745.4,26338,52779.9,3728.57,23016.5,-41383.8,48840.9,27838.2,8784.57,10620.4,45055.9,25112.2,11268.1,38956.4,1
india,all,personal,expanded_excluding_N,1232,165,3.68291e+06,0.904793,0.118821,0,34581.5,2047.55,30568.3,38594.7,-10925.8,3659.64,-18098.7,-3752.95,29174.3,1889.75,25470.4,32878.2,19691.1,15429.8,23952.3,1
venezuela,ba_plus,personal,expanded_excluding_N,180,23,461025,0.494707,0.0918695,3,10463.3,2132.47,6283.62,14642.9,-20782.7,3406.07,-27458.6,-14106.8,7264.13,2148.02,3054.02,11474.2,-19402.3,-23851.5,-14953.1,0.758119
philippines,ba_plus,personal,expanded_excluding_N,343,143,1.03577e+06,0.556395,0.323187,0,22959.6,2779.74,17511.3,28407.9,-27962.5,2849.03,-33546.6,-22378.5,8205.31,2524.62,3257.04,13153.6,-6459.92,-11712.6,-1207.21,1
mexico_born,ba_plus,personal,expanded_excluding_N,475,67,1.21161e+06,0.11488,0.148567,1,15016.4,2187.48,10728.9,19303.9,-9523.89,4459.99,-18265.5,-782.319,12456.5,2041.55,8455.12,16458,-14997.7,-19541.3,-10454.1,1
pakistan_bangladesh,ba_plus,personal,expanded_excluding_N,130,23,431990,0.596824,0.194377,4,19805.1,5243.08,9528.67,30081.5,-17134.2,11426.1,-39529.3,5260.91,13317.3,4801.28,3906.75,22727.8,-12947,-21152.4,-4741.59,0.534488
former_ussr,ba_plus,personal,expanded_excluding_N,225,36,816497,0.63278,0.194393,2,24794.3,3251.14,18422.1,31166.5,-23836.1,6496.44,-36569.1,-11103.1,16228.8,3199.62,9957.56,22500.1,-7518.96,-13399.2,-1638.7,1
poland,ba_plus,personal,expanded_excluding_N,39,16,173397,0.524605,0.390333,6,34932.9,5830.29,23505.5,46360.3,-23243.3,8708.91,-40312.7,-6173.82,16351.2,6007.26,4576.95,28125.4,,,,0
all_native,ba_plus,personal,expanded_excluding_N,22803,7165,7.36319e+07,0.411441,0.280165,0,29721.5,568.995,28606.3,30836.8,-20369.5,998.276,-22326.1,-18412.9,17329.2,546.114,16258.8,18399.6,0,0,0,1
third_plus_nh_white,ba_plus,personal,expanded_excluding_N,16054,5533,5.37557e+07,0.443822,0.315568,0,31563.2,686.459,30217.7,32908.6,-19578.1,1101.45,-21736.9,-17419.3,17430,648.664,16158.6,18701.4,1577.8,1048.71,2106.89,1
russia_ukraine_ussr,ba_plus,personal,expanded_excluding_N,149,22,525612,0.64349,0.206214,4,26497.3,3900.66,18852,34142.6,-22267.8,5472.9,-32994.7,-11540.9,18045.1,3757.45,10680.5,25409.7,-1438.01,-11742.8,8866.76,0.480098
japan,ba_plus,personal,expanded_excluding_N,76,23,210151,0.765856,0.32569,6,26573.7,9116.93,8704.46,44442.8,-10758.1,7646.75,-25745.7,4229.53,18419.2,7766.68,3196.52,33641.9,,,,0
korea,ba_plus,personal,expanded_excluding_N,201,42,586198,0.743397,0.25218,2,26230,3531.49,19308.2,33151.7,-14376.7,6189.9,-26508.9,-2244.49,19101.3,3363.19,12509.4,25693.1,-3690.18,-11173.3,3792.97,1
germany,ba_plus,personal,expanded_excluding_N,34,25,144930,0.555794,0.523681,6,31457.5,7335.14,17080.6,45834.4,5890.28,14907.9,-23329.2,35109.8,19483.8,7826.1,4144.64,34823,,,,0
