ref_year,report,basis,page,white_total,hisp_total,all_total,white_violent,hisp_violent,hisp_share_pct,white_viol_per100k,hisp_viol_per100k,hisp_viol_share_of_hisp_pct
2008,p10 App.T16a,NIS 2008-09 / pre-2010 basis,27,532000,209000,1365400,264200,113400,15.3,132.1,241.3,54.3
2009,p10 App.T16b,NIS 2008-09 / pre-2010 basis,28,532000,212100,1365800,265600,117800,15.5,132.9,243.4,55.5
2008,p11 App.T15,SISCF 2004 ratio (restated),28,469076,280716,1365409,232700,152700,20.6,116.3,324.9,54.4
2009,p11 App.T16,SISCF 2004 ratio (restated),29,467290,287568,1365688,231500,159800,21.1,115.8,330.2,55.6
2010,p11 T9,SISCF 2004 ratio,9,468528,289429,1362028,231800,164200,21.2,117.8,325.1,56.7
2012,p13 T14,SISCF 2004 ratio,15,462600,271700,1314900,228100,162900,20.7,115.7,307.9,60.0
2013,p14 App.T4,SISCF 2004 ratio,29,468600,274200,1325305,223900,162300,20.7,113.5,302.2,59.2
2014,p15 App.T5,SISCF 2004 ratio,30,451100,261000,1316409,210400,152900,19.8,106.7,280.6,58.6
2015,p16 T13,SISCF 2004 ratio,18,403600,278600,1298159,190100,167700,21.5,96.3,303.3,60.2
2016,p17 T13,SPI 2016 ratio,21,401100,278400,1288466,190900,168100,21.6,96.7,297.5,60.4
2017,p18 T14,SPI 2016 ratio,21,394800,274300,1273674,188700,166800,21.5,95.6,290.6,60.8
2018,p19 T14,SPI 2016 ratio,22,394800,274300,1249700,190800,168900,21.9,96.9,288.7,61.6
2019,p20st T17,SPI 2016 ratio,29,386700,266500,1221288,192600,176000,21.8,97.9,296.3,66.0
2020,p21st T17,SPI 2016 ratio,31,327300,226800,1043705,178600,179500,21.7,93.2,290.5,79.1
2021,p22st T17,SPI 2016 ratio,29,321700,224300,1021288,176400,160100,22.0,92.0,255.8,71.4
