case,rule,year,transfers_bn,responsive_services_bn,direct_receipts_bn,production_gain_bn,net_cost_bn
cbo_informed_low,programme,2005,152.2862,144.3354,238.8479,9.151,48.6227
cbo_informed_low,programme,2006,161.8947,155.4244,261.9432,9.6833,45.6926
cbo_informed_low,programme,2007,171.3948,163.0439,276.3489,9.9661,48.1236
cbo_informed_low,programme,2008,218.3751,176.7598,288.1476,10.5031,96.4841
cbo_informed_low,programme,2009,225.9782,183.6313,262.673,10.8282,136.1083
cbo_informed_low,programme,2010,263.5741,189.879,278.0341,11.2518,164.1672
cbo_informed_low,programme,2011,263.5379,188.1631,285.8599,11.4665,154.3747
cbo_informed_low,programme,2012,247.4856,187.1386,292.6899,11.6307,130.3035
cbo_informed_low,programme,2013,249.6893,192.5404,322.9665,11.8178,107.4454
cbo_informed_low,programme,2014,262.2244,197.2929,338.4236,12.0688,109.025
cbo_informed_low,programme,2015,276.8348,202.13,356.7863,12.2316,109.9469
cbo_informed_low,programme,2016,284.0971,207.0446,362.6091,12.3882,116.1444
cbo_informed_low,programme,2017,288.9141,209.425,374.1494,12.5292,111.6606
cbo_informed_low,programme,2018,294.2893,216.3403,381.0452,12.638,116.9464
cbo_informed_low,programme,2019,304.3279,223.2705,394.5022,12.7063,120.3899
cbo_informed_low,programme,2020,471.4491,229.7353,392.7936,12.7148,295.6761
cbo_informed_low,programme,2021,561.3405,233.8031,424.7066,12.7232,357.7138
cbo_informed_low,programme,2022,381.4291,233.6892,449.3547,12.7843,152.9792
cbo_informed_low,programme,2023,350.3014,237.2336,423.4324,12.9814,151.1212
cbo_informed_low,programme,2024,374.7361,248.5203,444.8138,13.3226,165.12
cbo_informed_low,income,2005,152.2862,144.3354,202.9406,9.151,84.53
cbo_informed_low,income,2006,161.8947,155.4244,222.5639,9.6833,85.0719
cbo_informed_low,income,2007,171.3948,163.0439,234.8039,9.9661,89.6686
cbo_informed_low,income,2008,218.3751,176.7598,244.8288,10.5031,139.8029
cbo_informed_low,income,2009,225.9782,183.6313,218.6292,10.8282,180.1521
cbo_informed_low,income,2010,263.5741,189.879,230.8233,11.2518,211.378
cbo_informed_low,income,2011,263.5379,188.1631,236.7124,11.4665,203.5222
cbo_informed_low,income,2012,247.4856,187.1386,244.2833,11.6307,178.7101
cbo_informed_low,income,2013,249.6893,192.5404,268.813,11.8178,161.599
cbo_informed_low,income,2014,262.2244,197.2929,286.9929,12.0688,160.4556
cbo_informed_low,income,2015,276.8348,202.13,306.3005,12.2316,160.4327
cbo_informed_low,income,2016,284.0971,207.0446,317.587,12.3882,161.1665
cbo_informed_low,income,2017,288.9141,209.425,334.9167,12.5292,150.8933
cbo_informed_low,income,2018,294.2893,216.3403,344.7671,12.638,153.2245
cbo_informed_low,income,2019,304.3279,223.2705,363.0091,12.7063,151.883
cbo_informed_low,income,2020,471.4491,229.7353,368.5693,12.7148,319.9004
cbo_informed_low,income,2021,561.3405,233.8031,406.2259,12.7232,376.1944
cbo_informed_low,income,2022,381.4291,233.6892,434.5796,12.7843,167.7543
cbo_informed_low,income,2023,350.3014,237.2336,415.1896,12.9814,159.364
cbo_informed_low,income,2024,374.7361,248.5203,444.8138,13.3226,165.12
cbo_informed_high,programme,2005,148.2614,154.7044,228.3561,6.0381,68.5716
cbo_informed_high,programme,2006,157.6587,166.5391,250.3028,6.3893,67.5056
cbo_informed_high,programme,2007,166.9604,174.9834,263.9301,6.5759,71.4377
cbo_informed_high,programme,2008,211.7871,189.6681,275.2034,6.9303,119.3215
cbo_informed_high,programme,2009,220.0847,197.0033,251.449,7.1447,158.4944
cbo_informed_high,programme,2010,256.0821,203.7649,266.0593,7.4243,186.3634
cbo_informed_high,programme,2011,256.0332,202.0339,273.2816,7.5659,177.2195
cbo_informed_high,programme,2012,240.9019,200.9815,279.7917,7.6743,154.4174
cbo_informed_high,programme,2013,243.012,206.8561,308.4863,7.7977,133.5841
cbo_informed_high,programme,2014,255.1348,211.9215,323.1944,7.9633,135.8985
cbo_informed_high,programme,2015,269.3751,217.1165,340.5648,8.0707,137.856
cbo_informed_high,programme,2016,276.4899,222.3306,346.1847,8.1741,144.4616
cbo_informed_high,programme,2017,281.1292,224.9081,357.1806,8.2671,140.5896
cbo_informed_high,programme,2018,286.2367,232.0162,363.957,8.3389,145.957
cbo_informed_high,programme,2019,295.9295,239.167,376.7767,8.384,149.9359
cbo_informed_high,programme,2020,456.3351,245.9689,375.0062,8.3896,318.9082
cbo_informed_high,programme,2021,540.8462,250.5073,405.2046,8.3951,377.7538
cbo_informed_high,programme,2022,370.0404,250.4702,428.2657,8.4355,183.8095
cbo_informed_high,programme,2023,340.8799,254.3748,404.1407,8.5655,182.5485
cbo_informed_high,programme,2024,364.2693,266.4278,424.5223,8.7906,197.3841
cbo_informed_high,income,2005,148.2614,154.7044,194.0261,6.0381,102.9016
cbo_informed_high,income,2006,157.6587,166.5391,212.6734,6.3893,105.135
cbo_informed_high,income,2007,166.9604,174.9834,224.2521,6.5759,111.1157
cbo_informed_high,income,2008,211.7871,189.6681,233.8306,6.9303,160.6944
cbo_informed_high,income,2009,220.0847,197.0033,209.2871,7.1447,200.6562
cbo_informed_high,income,2010,256.0821,203.7649,220.8819,7.4243,231.5408
cbo_informed_high,income,2011,256.0332,202.0339,226.2967,7.5659,224.2045
cbo_informed_high,income,2012,240.9019,200.9815,233.5183,7.6743,200.6908
cbo_informed_high,income,2013,243.012,206.8561,256.7608,7.7977,185.3097
cbo_informed_high,income,2014,255.1348,211.9215,274.0782,7.9633,185.0148
cbo_informed_high,income,2015,269.3751,217.1165,292.3743,8.0707,186.0465
cbo_informed_high,income,2016,276.4899,222.3306,303.2019,8.1741,187.4444
cbo_informed_high,income,2017,281.1292,224.9081,319.7272,8.2671,178.043
cbo_informed_high,income,2018,286.2367,232.0162,329.3057,8.3389,180.6082
cbo_informed_high,income,2019,295.9295,239.167,346.6986,8.384,180.014
cbo_informed_high,income,2020,456.3351,245.9689,351.8789,8.3896,342.0356
cbo_informed_high,income,2021,540.8462,250.5073,387.5726,8.3951,395.3858
cbo_informed_high,income,2022,370.0404,250.4702,414.184,8.4355,197.8912
cbo_informed_high,income,2023,340.8799,254.3748,396.2734,8.5655,190.4158
cbo_informed_high,income,2024,364.2693,266.4278,424.5223,8.7906,197.3841
full_proportional_low,programme,2005,152.2862,205.9645,238.8479,9.151,110.2518
full_proportional_low,programme,2006,161.8947,221.8069,261.9432,9.6833,112.0751
full_proportional_low,programme,2007,171.3948,233.6393,276.3489,9.9661,118.719
full_proportional_low,programme,2008,218.3751,252.9569,288.1476,10.5031,172.6812
full_proportional_low,programme,2009,225.9782,262.812,262.673,10.8282,215.289
full_proportional_low,programme,2010,263.5741,272.8,278.0341,11.2518,247.0883
full_proportional_low,programme,2011,263.5379,269.5143,285.8599,11.4665,235.7259
full_proportional_low,programme,2012,247.4856,268.3981,292.6899,11.6307,211.563
full_proportional_low,programme,2013,249.6893,275.4361,322.9665,11.8178,190.3411
full_proportional_low,programme,2014,262.2244,281.6298,338.4236,12.0688,193.3618
full_proportional_low,programme,2015,276.8348,288.3134,356.7863,12.2316,196.1302
full_proportional_low,programme,2016,284.0971,294.7155,362.6091,12.3882,203.8153
full_proportional_low,programme,2017,288.9141,298.2499,374.1494,12.5292,200.4855
full_proportional_low,programme,2018,294.2893,307.426,381.0452,12.638,208.032
full_proportional_low,programme,2019,304.3279,316.1729,394.5022,12.7063,213.2923
full_proportional_low,programme,2020,471.4491,325.8494,392.7936,12.7148,391.7901
full_proportional_low,programme,2021,561.3405,332.4855,424.7066,12.7232,456.3962
full_proportional_low,programme,2022,381.4291,329.8223,449.3547,12.7843,249.1123
full_proportional_low,programme,2023,350.3014,336.2819,423.4324,12.9814,250.1696
full_proportional_low,programme,2024,374.7361,353.2122,444.8138,13.3226,269.8119
full_proportional_low,income,2005,152.2862,205.9645,202.9406,9.151,146.1591
full_proportional_low,income,2006,161.8947,221.8069,222.5639,9.6833,151.4544
full_proportional_low,income,2007,171.3948,233.6393,234.8039,9.9661,160.264
full_proportional_low,income,2008,218.3751,252.9569,244.8288,10.5031,216.0
full_proportional_low,income,2009,225.9782,262.812,218.6292,10.8282,259.3329
full_proportional_low,income,2010,263.5741,272.8,230.8233,11.2518,294.299
full_proportional_low,income,2011,263.5379,269.5143,236.7124,11.4665,284.8734
