year,acs_total,acs_mexican_origin,per_capita_income_mexican,per_capita_income_total,median_age_mexican,median_age_total,median_earnings_ftyr_male_mexican,median_earnings_ftyr_male_total,median_earnings_ftyr_female_mexican,median_earnings_ftyr_female_total,median_household_income_mexican,median_household_income_total
2005,288378137,26781547,,,,,,,,,,
2006,299398485,28339354,,,,,,,,,,
2007,301621159,29166981,,,,,,,,,,
2008,304059728,30738559,14329,27589,25.7,36.9,29216,45556,25285,35471,40647,52029
2009,307006556,31689879,13437,26409,25.6,36.8,28613,45485,24700,35549,39115,50221
2010,309349689,32929683,,,,,,,,,,
2011,311591919,33557922,13520,26708,25.7,37.3,29879,46993,26508,37133,38884,50502
2012,313914040,34038599,13938,27319,26.0,37.4,30434,47473,26446,37412,39962,51371
2013,316128839,34586088,14341,28184,26.2,37.5,30767,48099,26615,38097,40848,52250
2014,318857056,35320579,14977,28889,26.6,37.7,31420,48745,26893,38941,42212,53657
2015,321418821,35797080,15732,29979,26.9,37.8,31691,49938,27317,39940,44433,55775
2016,323127515,36255589,16666,31128,27.0,37.9,32441,50586,28471,40626,46633,57617
2017,325719178,36668018,17728,32397,27.3,38.1,35749,51284,30486,41453,49439,60336
2018,327167439,36986661,18713,33831,27.7,38.2,36883,52004,31054,42238,51204,61937
2019,328239523,37186361,20066,35672,28.0,38.5,38956,52989,31669,43215,55943,65712
2021,331893745,37235886,22413,38332,28.9,38.8,42499,60428,36534,49263,60895,69717
2022,333287562,37414772,24713,41804,29.1,39.0,45764,62344,39152,51275,66481,74755
2023,334914896,37991500,25963,43313,29.5,39.2,48345,63975,40913,52370,70311,77719
2024,340110990,38990058,27665,45256,29.8,39.2,50500,66965,42325,55678,74008,81604
