group,sex,band,n,pop,share_with_minor_child,mean_kids,mean_kids_if_parent,mean_child_years,mean_sole_child_years,share_any_child_under16,mean_years_to_16_max
third_plus_nh_white,male,18-24,2547,6927189.07,0.026720920726940687,0.03304273604877945,1.2365867324124409,0.532066414350085,0.05996975047196163,0.026720920726940687,0.390416446363864
third_plus_nh_white,male,25-34,3890,10665839.780000001,0.26796818149840984,0.4834194959189607,1.804018272676264,6.485324382961993,0.29965696146993875,0.2665908094111648,3.4966582509455244
third_plus_nh_white,male,35-44,4965,10991403.0,0.5339412147839544,1.101089344099202,2.0621920795994924,10.82995110997204,0.5031143458210021,0.5180821238198617,5.212036587139967
third_plus_nh_white,male,45-54,4416,10204349.76,0.39647560649665536,0.7042003879725895,1.7761506040562167,4.310807702067634,0.22013571200836612,0.3299038517080387,1.9785445055148716
third_plus_nh_white,male,55-64,4317,11657855.059999999,0.07721114007399575,0.11165162916341835,1.446055958459056,0.5618476723453106,0.03608433179473755,0.05342338850454023,0.2517657986734312
third_plus_nh_white,male,65-74,4169,10855780.030000001,0.012696558848751836,0.0227085174274667,1.7885568600108612,0.16603346650530829,0.01685176095079738,0.008639224426141949,0.06768965269831466
third_plus_nh_white,male,75+,3065,8060808.18,0.004458990860144747,0.006720018488270242,1.507071599615726,0.05314593902171234,0.0030617885265196818,0.003992320531810496,0.02780026208240574
third_plus_nh_white,female,18-24,2440,6905137.03,0.06546191307082576,0.0809983129328282,1.2373349499455204,1.2612725427695097,0.4456268784574721,0.06468937083497675,0.9207152403172512
third_plus_nh_white,female,25-34,4185,10543535.030000001,0.4043010847757386,0.767884409447445,1.8992885212597983,9.808471138545643,1.528625213852967,0.40330123984991395,5.110465012605928
third_plus_nh_white,female,35-44,5394,11054546.169999998,0.652596726184735,1.3386115524270323,2.051207887990695,11.984255062367705,1.4520386882603251,0.619615478977189,5.657540148479927
third_plus_nh_white,female,45-54,4521,10227391.290000001,0.362792968880337,0.5868944132282241,1.6177116525701036,2.990222372727855,0.45124773944187285,0.2784137341830401,1.3299702303655576
third_plus_nh_white,female,55-64,4599,12302935.399999999,0.03483607009754762,0.04469311120661497,1.2829550256807316,0.20976641070552968,0.03433649419958752,0.020567769542218357,0.09890073469783481
