off_eth,circ,n
hispanic,argument,3631
hispanic,felony,645
hispanic,gang,430
hispanic,other_known,1762
hispanic,undetermined,2344
nh_black,argument,8493
nh_black,felony,1888
nh_black,gang,486
nh_black,other_known,3778
nh_black,undetermined,7123
nh_other,argument,547
nh_other,felony,81
nh_other,gang,13
nh_other,other_known,323
nh_other,undetermined,356
nh_white,argument,5352
nh_white,felony,915
nh_white,gang,29
nh_white,other_known,2982
nh_white,undetermined,2559
unknown,argument,9300
unknown,felony,1706
unknown,gang,288
unknown,other_known,8294
unknown,undetermined,8850
