off_eth,vic_eth,vic_band,off_band,rel,n
hispanic,hispanic,0-4,15-19,family,5
hispanic,hispanic,0-4,20-24,acquaintance,9
hispanic,hispanic,0-4,20-24,family,32
hispanic,hispanic,0-4,20-24,unknown,3
hispanic,hispanic,0-4,25-29,acquaintance,10
hispanic,hispanic,0-4,25-29,family,28
hispanic,hispanic,0-4,25-29,stranger,1
hispanic,hispanic,0-4,25-29,unknown,1
hispanic,hispanic,0-4,30-34,acquaintance,1
hispanic,hispanic,0-4,30-34,family,9
hispanic,hispanic,0-4,35-39,family,10
hispanic,hispanic,0-4,35-39,unknown,4
hispanic,hispanic,0-4,45-49,acquaintance,1
hispanic,hispanic,0-4,45-49,family,3
hispanic,hispanic,0-4,50-54,family,1
hispanic,hispanic,10-14,10-14,family,1
hispanic,hispanic,10-14,15-19,acquaintance,5
hispanic,hispanic,10-14,15-19,family,3
hispanic,hispanic,10-14,15-19,intimate,1
hispanic,hispanic,10-14,15-19,stranger,2
hispanic,hispanic,10-14,15-19,unknown,1
hispanic,hispanic,10-14,20-24,acquaintance,2
hispanic,hispanic,10-14,20-24,family,1
hispanic,hispanic,10-14,20-24,stranger,1
hispanic,hispanic,10-14,25-29,acquaintance,1
hispanic,hispanic,10-14,25-29,stranger,1
hispanic,hispanic,10-14,35-39,family,4
hispanic,hispanic,10-14,40-44,family,4
hispanic,hispanic,15-19,10-14,acquaintance,3
hispanic,hispanic,15-19,10-14,family,1
hispanic,hispanic,15-19,10-14,intimate,1
hispanic,hispanic,15-19,10-14,stranger,1
hispanic,hispanic,15-19,10-14,unknown,3
hispanic,hispanic,15-19,15-19,acquaintance,68
hispanic,hispanic,15-19,15-19,family,6
hispanic,hispanic,15-19,15-19,intimate,12
hispanic,hispanic,15-19,15-19,stranger,37
hispanic,hispanic,15-19,15-19,unknown,51
hispanic,hispanic,15-19,20-24,acquaintance,39
hispanic,hispanic,15-19,20-24,family,4
hispanic,hispanic,15-19,20-24,intimate,14
hispanic,hispanic,15-19,20-24,stranger,13
hispanic,hispanic,15-19,20-24,unknown,17
hispanic,hispanic,15-19,25-29,acquaintance,6
hispanic,hispanic,15-19,25-29,intimate,4
hispanic,hispanic,15-19,25-29,stranger,7
hispanic,hispanic,15-19,25-29,unknown,5
hispanic,hispanic,15-19,30-34,acquaintance,2
hispanic,hispanic,15-19,30-34,family,2
hispanic,hispanic,15-19,30-34,stranger,4
hispanic,hispanic,15-19,30-34,unknown,2
hispanic,hispanic,15-19,35-39,acquaintance,3
hispanic,hispanic,15-19,35-39,family,2
hispanic,hispanic,15-19,35-39,intimate,1
hispanic,hispanic,15-19,35-39,stranger,1
