off_eth,vic_eth,rel,n
hispanic,hispanic,acquaintance,1176
hispanic,hispanic,family,506
hispanic,hispanic,intimate,557
hispanic,hispanic,stranger,595
hispanic,hispanic,unknown,667
hispanic,nh_black,acquaintance,173
hispanic,nh_black,family,19
hispanic,nh_black,intimate,31
hispanic,nh_black,stranger,129
hispanic,nh_black,unknown,186
hispanic,nh_other,acquaintance,21
hispanic,nh_other,family,3
hispanic,nh_other,intimate,11
hispanic,nh_other,stranger,26
hispanic,nh_other,unknown,18
hispanic,nh_white,acquaintance,283
hispanic,nh_white,family,37
hispanic,nh_white,intimate,120
hispanic,nh_white,stranger,184
hispanic,nh_white,unknown,139
hispanic,unknown,acquaintance,130
hispanic,unknown,family,33
hispanic,unknown,intimate,62
hispanic,unknown,stranger,71
hispanic,unknown,unknown,163
nh_black,hispanic,acquaintance,216
nh_black,hispanic,family,19
nh_black,hispanic,intimate,90
nh_black,hispanic,stranger,245
nh_black,hispanic,unknown,284
nh_black,nh_black,acquaintance,3843
nh_black,nh_black,family,1114
nh_black,nh_black,intimate,1264
nh_black,nh_black,stranger,1359
nh_black,nh_black,unknown,3295
nh_black,nh_other,acquaintance,32
nh_black,nh_other,family,8
nh_black,nh_other,intimate,15
nh_black,nh_other,stranger,61
nh_black,nh_other,unknown,37
nh_black,nh_white,acquaintance,518
nh_black,nh_white,family,36
nh_black,nh_white,intimate,211
nh_black,nh_white,stranger,350
nh_black,nh_white,unknown,384
nh_black,unknown,acquaintance,300
nh_black,unknown,family,81
nh_black,unknown,intimate,104
nh_black,unknown,stranger,111
nh_black,unknown,unknown,435
nh_other,hispanic,acquaintance,20
nh_other,hispanic,family,3
nh_other,hispanic,intimate,6
nh_other,hispanic,stranger,18
nh_other,hispanic,unknown,11
nh_other,nh_black,acquaintance,28
nh_other,nh_black,family,5
nh_other,nh_black,intimate,7
nh_other,nh_black,stranger,15
nh_other,nh_black,unknown,17
nh_other,nh_other,acquaintance,142
nh_other,nh_other,family,123
nh_other,nh_other,intimate,126
nh_other,nh_other,stranger,26
nh_other,nh_other,unknown,84
nh_other,nh_white,acquaintance,47
nh_other,nh_white,family,12
nh_other,nh_white,intimate,26
nh_other,nh_white,stranger,26
nh_other,nh_white,unknown,14
nh_other,unknown,acquaintance,21
nh_other,unknown,family,10
nh_other,unknown,intimate,9
nh_other,unknown,stranger,7
nh_other,unknown,unknown,15
nh_white,hispanic,acquaintance,188
nh_white,hispanic,family,45
nh_white,hispanic,intimate,89
nh_white,hispanic,stranger,119
nh_white,hispanic,unknown,99
nh_white,nh_black,acquaintance,258
nh_white,nh_black,family,27
nh_white,nh_black,intimate,71
nh_white,nh_black,stranger,112
nh_white,nh_black,unknown,147
nh_white,nh_other,acquaintance,42
nh_white,nh_other,family,9
nh_white,nh_other,intimate,33
nh_white,nh_other,stranger,17
nh_white,nh_other,unknown,16
nh_white,nh_white,acquaintance,1855
nh_white,nh_white,family,1213
nh_white,nh_white,intimate,1443
nh_white,nh_white,stranger,362
nh_white,nh_white,unknown,512
nh_white,unknown,acquaintance,217
nh_white,unknown,family,118
nh_white,unknown,intimate,160
nh_white,unknown,stranger,58
nh_white,unknown,unknown,115
unknown,hispanic,acquaintance,248
unknown,hispanic,family,96
unknown,hispanic,intimate,117
unknown,hispanic,stranger,113
unknown,hispanic,unknown,346
unknown,nh_black,acquaintance,704
unknown,nh_black,family,219
unknown,nh_black,intimate,211
unknown,nh_black,stranger,295
unknown,nh_black,unknown,1067
unknown,nh_other,acquaintance,31
unknown,nh_other,family,28
unknown,nh_other,intimate,37
unknown,nh_other,stranger,21
unknown,nh_other,unknown,30
unknown,nh_white,acquaintance,760
unknown,nh_white,family,391
unknown,nh_white,intimate,459
unknown,nh_white,stranger,255
unknown,nh_white,unknown,372
unknown,unknown,acquaintance,2185
unknown,unknown,family,1130
unknown,unknown,intimate,1158
unknown,unknown,stranger,669
unknown,unknown,unknown,3376
