vic_band,hispanic,nh_white,nh_black,nh_other,unknown
0-4,513,808,1024,86,1524
10-14,269,251,575,43,487
15-19,2952,1346,6989,179,4646
20-24,3890,2254,10734,337,7644
25-29,3450,2560,10174,349,7365
30-34,2974,2792,8083,416,6175
35-39,2560,2647,5784,339,4665
40-44,1831,2377,4091,230,3745
45-49,1295,2098,2803,206,2880
5-9,140,271,349,50,407
50-54,941,1986,2103,194,2600
55-59,663,2016,1738,161,2238
60-64,409,1652,1117,148,1669
65-69,265,1168,655,106,1080
70-74,131,765,327,63,708
75-79,97,571,134,46,448
80-84,43,398,76,26,294
85+,32,388,69,21,317
unknown,141,158,294,22,939
