off_eth,rate,account,life_share,foster_share,n_cells,weight,victim_balance,child_cost,offender_cost,total,mean_victim_age,mean_offender_age
hispanic,0.0,partial,0.0,0.0,2337,4287.47095218663,-56486.6415759156,100897.17824268709,960236.5630165807,1004647.099683352,32.415738724220226,29.91257792370165
nh_black,0.0,partial,0.0,0.0,3225,14062.950770278007,74546.31335553157,96690.01499949236,1048104.7307280151,1219341.0590830392,31.71657852450282,30.387982613919572
nh_other,0.0,partial,0.0,0.0,964,815.151182196948,49763.959041805676,98774.47565240908,1037690.7642736814,1186229.198967896,33.665852377919165,33.64922730555428
nh_white,0.0,partial,0.0,0.0,2914,5204.89464807243,21431.778900886104,100835.96840398606,1015203.3655499602,1137471.1128548326,39.87363154714403,38.462894384178334
hispanic,0.0,partial,0.231,0.0,2337,4287.47095218663,-56486.6415759156,100897.17824268709,1503435.821672142,1547846.3583389136,32.415738724220226,29.91257792370165
nh_black,0.0,partial,0.231,0.0,3225,14062.950770278007,74546.31335553157,96690.01499949236,1640152.6408906253,1811388.9692456492,31.71657852450282,30.387982613919572
nh_other,0.0,partial,0.231,0.0,964,815.151182196948,49763.959041805676,98774.47565240908,1572788.8285765923,1721327.263270807,33.665852377919165,33.64922730555428
nh_white,0.0,partial,0.231,0.0,2914,5204.89464807243,21431.778900886104,100835.96840398606,1485050.216451102,1607317.9637559738,39.87363154714403,38.462894384178334
hispanic,0.0,partial,1.0,0.0,2337,4287.47095218663,-56486.6415759156,100897.17824268709,3013291.0398352374,3057701.576502009,32.415738724220226,29.91257792370165
nh_black,0.0,partial,1.0,0.0,3225,14062.950770278007,74546.31335553157,96690.01499949236,3194189.1352095655,3365425.463564589,31.71657852450282,30.387982613919572
nh_other,0.0,partial,1.0,0.0,964,815.151182196948,49763.959041805676,98774.47565240908,2965234.904972928,3113773.3396671433,33.665852377919165,33.64922730555428
nh_white,0.0,partial,1.0,0.0,2914,5204.89464807243,21431.778900886104,100835.96840398606,2683294.0458761198,2805561.793180993,39.87363154714403,38.462894384178334
hispanic,0.0,complete,0.0,0.0,2337,4287.47095218663,-436528.04395929363,100897.17824268709,845500.4332818221,509869.56756521546,32.415738724220226,29.91257792370165
nh_black,0.0,complete,0.0,0.0,3225,14062.950770278007,-300592.9478888977,96690.01499949236,938505.5329706512,734602.6000812461,31.71657852450282,30.387982613919572
nh_other,0.0,complete,0.0,0.0,964,815.151182196948,-310760.70642205194,98774.47565240908,928337.0568353495,716350.8260657068,33.665852377919165,33.64922730555428
nh_white,0.0,complete,0.0,0.0,2914,5204.89464807243,-283753.0215428534,100835.96840398606,914149.8052957158,731232.7521568484,39.87363154714403,38.462894384178334
hispanic,0.0,complete,0.231,0.0,2337,4287.47095218663,-436528.04395929363,100897.17824268709,1323225.8374972478,987594.9717806412,32.415738724220226,29.91257792370165
nh_black,0.0,complete,0.231,0.0,3225,14062.950770278007,-300592.9478888977,96690.01499949236,1468973.7275363514,1265070.7946469462,31.71657852450282,30.387982613919572
nh_other,0.0,complete,0.231,0.0,964,815.151182196948,-310760.70642205194,98774.47565240908,1407421.2713900101,1195435.040620367,33.665852377919165,33.64922730555428
nh_white,0.0,complete,0.231,0.0,2914,5204.89464807243,-283753.0215428534,100835.96840398606,1337980.5217817088,1155063.4686428416,39.87363154714403,38.462894384178334
hispanic,0.0,complete,1.0,0.0,2337,4287.47095218663,-436528.04395929363,100897.17824268709,2614053.450601709,2278422.584885102,32.415738724220226,29.91257792370165
nh_black,0.0,complete,1.0,0.0,3225,14062.950770278007,-300592.9478888977,96690.01499949236,2816136.2690582643,2612233.3361688596,31.71657852450282,30.387982613919572
nh_other,0.0,complete,1.0,0.0,964,815.151182196948,-310760.70642205194,98774.47565240908,2611070.3300633826,2399084.09929374,33.665852377919165,33.64922730555428
nh_white,0.0,complete,1.0,0.0,2914,5204.89464807243,-283753.0215428534,100835.96840398606,2381747.780330872,2198830.727192005,39.87363154714403,38.462894384178334
hispanic,0.03,partial,0.0,0.0,2337,4287.47095218663,50298.59115380585,93015.04389454787,787386.3037520294,930699.9388003831,32.415738724220226,29.91257792370165
nh_black,0.03,partial,0.0,0.0,3225,14062.950770278007,137897.87894296367,89338.55147319738,859341.2534829255,1086577.6838990867,31.71657852450282,30.387982613919572
nh_other,0.03,partial,0.0,0.0,964,815.151182196948,115783.97019055925,90770.28771031839,851990.6802124152,1058544.9381132927,33.665852377919165,33.64922730555428
nh_white,0.03,partial,0.0,0.0,2914,5204.89464807243,85428.57662422731,92460.21871397646,834951.7447170153,1012840.5400552192,39.87363154714403,38.462894384178334
hispanic,0.03,partial,0.231,0.0,2337,4287.47095218663,50298.59115380585,93015.04389454787,1096623.4160509591,1239937.0510993132,32.415738724220226,29.91257792370165
nh_black,0.03,partial,0.231,0.0,3225,14062.950770278007,137897.87894296367,89338.55147319738,1196726.69100202,1423963.1214181809,31.71657852450282,30.387982613919572
nh_other,0.03,partial,0.231,0.0,964,815.151182196948,115783.97019055925,90770.28771031839,1158978.1696604034,1365532.4275612808,33.665852377919165,33.64922730555428
nh_white,0.03,partial,0.231,0.0,2914,5204.89464807243,85428.57662422731,92460.21871397646,1105947.30830078,1283836.1036389838,39.87363154714403,38.462894384178334
hispanic,0.03,partial,1.0,0.0,2337,4287.47095218663,50298.59115380585,93015.04389454787,1605094.1241236934,1748407.759172047,32.415738724220226,29.91257792370165
nh_black,0.03,partial,1.0,0.0,3225,14062.950770278007,137897.87894296367,89338.55147319738,1730746.3473383044,1957982.7777544654,31.71657852450282,30.387982613919572
nh_other,0.03,partial,1.0,0.0,964,815.151182196948,115783.97019055925,90770.28771031839,1652898.188913453,1859452.4468143303,33.665852377919165,33.64922730555428
nh_white,0.03,partial,1.0,0.0,2914,5204.89464807243,85428.57662422731,92460.21871397646,1541650.0380585813,1719538.833396785,39.87363154714403,38.462894384178334
hispanic,0.03,complete,0.0,0.0,2337,4287.47095218663,-144176.67762529766,93015.04389454787,693312.7218219643,642151.0880912145,32.415738724220226,29.91257792370165
nh_black,0.03,complete,0.0,0.0,3225,14062.950770278007,-53196.8404387221,89338.55147319738,769480.0476809893,805621.7587154646,31.71657852450282,30.387982613919572
nh_other,0.03,complete,0.0,0.0,964,815.151182196948,-70089.04744839222,90770.28771031839,762311.5261202557,782992.7663821818,33.665852377919165,33.64922730555428
nh_white,0.03,complete,0.0,0.0,2914,5204.89464807243,-78832.66760059855,92460.21871397646,751971.259900198,765598.8110135756,39.87363154714403,38.462894384178334
hispanic,0.03,complete,0.231,0.0,2337,4287.47095218663,-144176.67762529766,93015.04389454787,965266.9816681745,914105.3479374247,32.415738724220226,29.91257792370165
nh_black,0.03,complete,0.231,0.0,3225,14062.950770278007,-53196.8404387221,89338.55147319738,1071752.675395901,1107894.386430376,31.71657852450282,30.387982613919572
nh_other,0.03,complete,0.231,0.0,964,815.151182196948,-70089.04744839222,90770.28771031839,1037125.3437996886,1057806.584061615,33.665852377919165,33.64922730555428
nh_white,0.03,complete,0.231,0.0,2914,5204.89464807243,-78832.66760059855,92460.21871397646,996382.3823445447,1010009.9334579225,39.87363154714403,38.462894384178334
hispanic,0.03,complete,1.0,0.0,2337,4287.47095218663,-144176.67762529766,93015.04389454787,1402090.2252558277,1350928.5915250776,32.415738724220226,29.91257792370165
nh_black,0.03,complete,1.0,0.0,3225,14062.950770278007,-53196.8404387221,89338.55147319738,1537729.3548723792,1573871.065906854,31.71657852450282,30.387982613919572
nh_other,0.03,complete,1.0,0.0,964,815.151182196948,-70089.04744839222,90770.28771031839,1466568.0627728563,1487249.3030347824,33.665852377919165,33.64922730555428
nh_white,0.03,complete,1.0,0.0,2914,5204.89464807243,-78832.66760059855,92460.21871397646,1377649.5693345754,1391277.1204479535,39.87363154714403,38.462894384178334
hispanic,0.0,partial,0.0,0.25,2337,4287.47095218663,-56486.6415759156,103422.64467354503,960236.5630165807,1007172.56611421,32.415738724220226,29.91257792370165
nh_black,0.0,partial,0.0,0.25,3225,14062.950770278007,74546.31335553157,98815.54113274015,1048104.7307280151,1221466.585216287,31.71657852450282,30.387982613919572
nh_other,0.0,partial,0.0,0.25,964,815.151182196948,49763.959041805676,101266.7895122714,1037690.7642736814,1188721.5128277584,33.665852377919165,33.64922730555428
nh_white,0.0,partial,0.0,0.25,2914,5204.89464807243,21431.778900886104,102861.67035754888,1015203.3655499602,1139496.8148083952,39.87363154714403,38.462894384178334
hispanic,0.0,partial,0.231,0.25,2337,4287.47095218663,-56486.6415759156,103422.64467354503,1503435.821672142,1550371.8247697717,32.415738724220226,29.91257792370165
nh_black,0.0,partial,0.231,0.25,3225,14062.950770278007,74546.31335553157,98815.54113274015,1640152.6408906253,1813514.495378897,31.71657852450282,30.387982613919572
nh_other,0.0,partial,0.231,0.25,964,815.151182196948,49763.959041805676,101266.7895122714,1572788.8285765923,1723819.5771306693,33.665852377919165,33.64922730555428
nh_white,0.0,partial,0.231,0.25,2914,5204.89464807243,21431.778900886104,102861.67035754888,1485050.216451102,1609343.6657095368,39.87363154714403,38.462894384178334
hispanic,0.0,partial,1.0,0.25,2337,4287.47095218663,-56486.6415759156,103422.64467354503,3013291.0398352374,3060227.042932866,32.415738724220226,29.91257792370165
nh_black,0.0,partial,1.0,0.25,3225,14062.950770278007,74546.31335553157,98815.54113274015,3194189.1352095655,3367550.989697837,31.71657852450282,30.387982613919572
nh_other,0.0,partial,1.0,0.25,964,815.151182196948,49763.959041805676,101266.7895122714,2965234.904972928,3116265.6535270056,33.665852377919165,33.64922730555428
nh_white,0.0,partial,1.0,0.25,2914,5204.89464807243,21431.778900886104,102861.67035754888,2683294.0458761198,2807587.4951345553,39.87363154714403,38.462894384178334
hispanic,0.0,complete,0.0,0.25,2337,4287.47095218663,-436528.04395929363,103422.64467354503,845500.4332818221,512395.0339960733,32.415738724220226,29.91257792370165
nh_black,0.0,complete,0.0,0.25,3225,14062.950770278007,-300592.9478888977,98815.54113274015,938505.5329706512,736728.1262144936,31.71657852450282,30.387982613919572
nh_other,0.0,complete,0.0,0.25,964,815.151182196948,-310760.70642205194,101266.7895122714,928337.0568353495,718843.139925569,33.665852377919165,33.64922730555428
nh_white,0.0,complete,0.0,0.25,2914,5204.89464807243,-283753.0215428534,102861.67035754888,914149.8052957158,733258.4541104112,39.87363154714403,38.462894384178334
hispanic,0.0,complete,0.231,0.25,2337,4287.47095218663,-436528.04395929363,103422.64467354503,1323225.8374972478,990120.4382114991,32.415738724220226,29.91257792370165
nh_black,0.0,complete,0.231,0.25,3225,14062.950770278007,-300592.9478888977,98815.54113274015,1468973.7275363514,1267196.3207801941,31.71657852450282,30.387982613919572
nh_other,0.0,complete,0.231,0.25,964,815.151182196948,-310760.70642205194,101266.7895122714,1407421.2713900101,1197927.3544802296,33.665852377919165,33.64922730555428
nh_white,0.0,complete,0.231,0.25,2914,5204.89464807243,-283753.0215428534,102861.67035754888,1337980.5217817088,1157089.1705964045,39.87363154714403,38.462894384178334
hispanic,0.0,complete,1.0,0.25,2337,4287.47095218663,-436528.04395929363,103422.64467354503,2614053.450601709,2280948.0513159605,32.415738724220226,29.91257792370165
nh_black,0.0,complete,1.0,0.25,3225,14062.950770278007,-300592.9478888977,98815.54113274015,2816136.2690582643,2614358.862302107,31.71657852450282,30.387982613919572
nh_other,0.0,complete,1.0,0.25,964,815.151182196948,-310760.70642205194,101266.7895122714,2611070.3300633826,2401576.413153602,33.665852377919165,33.64922730555428
nh_white,0.0,complete,1.0,0.25,2914,5204.89464807243,-283753.0215428534,102861.67035754888,2381747.780330872,2200856.429145568,39.87363154714403,38.462894384178334
hispanic,0.03,partial,0.0,0.25,2337,4287.47095218663,50298.59115380585,95540.51032540582,787386.3037520294,933225.405231241,32.415738724220226,29.91257792370165
nh_black,0.03,partial,0.0,0.25,3225,14062.950770278007,137897.87894296367,91464.0776064452,859341.2534829255,1088703.2100323343,31.71657852450282,30.387982613919572
nh_other,0.03,partial,0.0,0.25,964,815.151182196948,115783.97019055925,93262.6015701807,851990.6802124152,1061037.2519731552,33.665852377919165,33.64922730555428
nh_white,0.03,partial,0.0,0.25,2914,5204.89464807243,85428.57662422731,94485.92066753925,834951.7447170153,1014866.242008782,39.87363154714403,38.462894384178334
hispanic,0.03,partial,0.231,0.25,2337,4287.47095218663,50298.59115380585,95540.51032540582,1096623.4160509591,1242462.517530171,32.415738724220226,29.91257792370165
nh_black,0.03,partial,0.231,0.25,3225,14062.950770278007,137897.87894296367,91464.0776064452,1196726.69100202,1426088.6475514288,31.71657852450282,30.387982613919572
nh_other,0.03,partial,0.231,0.25,964,815.151182196948,115783.97019055925,93262.6015701807,1158978.1696604034,1368024.7414211433,33.665852377919165,33.64922730555428
nh_white,0.03,partial,0.231,0.25,2914,5204.89464807243,85428.57662422731,94485.92066753925,1105947.30830078,1285861.8055925465,39.87363154714403,38.462894384178334
hispanic,0.03,partial,1.0,0.25,2337,4287.47095218663,50298.59115380585,95540.51032540582,1605094.1241236934,1750933.225602905,32.415738724220226,29.91257792370165
nh_black,0.03,partial,1.0,0.25,3225,14062.950770278007,137897.87894296367,91464.0776064452,1730746.3473383044,1960108.303887713,31.71657852450282,30.387982613919572
nh_other,0.03,partial,1.0,0.25,964,815.151182196948,115783.97019055925,93262.6015701807,1652898.188913453,1861944.7606741928,33.665852377919165,33.64922730555428
nh_white,0.03,partial,1.0,0.25,2914,5204.89464807243,85428.57662422731,94485.92066753925,1541650.0380585813,1721564.5353503474,39.87363154714403,38.462894384178334
hispanic,0.03,complete,0.0,0.25,2337,4287.47095218663,-144176.67762529766,95540.51032540582,693312.7218219643,644676.5545220724,32.415738724220226,29.91257792370165
nh_black,0.03,complete,0.0,0.25,3225,14062.950770278007,-53196.8404387221,91464.0776064452,769480.0476809893,807747.2848487124,31.71657852450282,30.387982613919572
nh_other,0.03,complete,0.0,0.25,964,815.151182196948,-70089.04744839222,93262.6015701807,762311.5261202557,785485.080242044,33.665852377919165,33.64922730555428
nh_white,0.03,complete,0.0,0.25,2914,5204.89464807243,-78832.66760059855,94485.92066753925,751971.259900198,767624.5129671387,39.87363154714403,38.462894384178334
