vic_eth,band,age_mid,weight,partial_r0,partial_r3,expanded_r0,expanded_r3
hispanic,1-4 years,3,51.0,-88095.0,-37299.0,-630357.0,-239858.0
hispanic,10-14 years,12,58.0,9448.0,64810.0,-465563.0,-120852.0
hispanic,15-19 years,17,599.0,63729.0,134591.0,-374213.0,-39673.0
hispanic,20-24 years,22,703.0,60638.0,153873.0,-350175.0,-17423.0
hispanic,25-29 years,27,645.0,29749.0,145757.0,-356038.0,-24336.0
hispanic,30-34 years,32,603.0,-21473.0,113760.0,-381663.0,-54090.0
hispanic,35-39 years,37,494.0,-73759.0,75960.0,-408365.0,-89077.0
hispanic,40-44 years,42,370.0,-127715.0,30802.0,-436515.0,-130468.0
hispanic,45-49 years,47,261.0,-181615.0,-20937.0,-465792.0,-178898.0
hispanic,5-9 years,7,25.0,-44763.0,4736.0,-557207.0,-190891.0
hispanic,50-54 years,52,186.0,-235629.0,-80147.0,-497018.0,-235988.0
hispanic,55-59 years,57,127.0,-286096.0,-144028.0,-525022.0,-297354.0
hispanic,60-64 years,62,0.0,-332059.0,-211228.0,-549102.0,-361574.0
hispanic,65-69 years,67,52.0,-341474.0,-250078.0,-532220.0,-392054.0
hispanic,70-74 years,72,30.0,-289361.0,-225325.0,-444982.0,-347490.0
hispanic,75-79 years,77,19.0,-233914.0,-193337.0,-355597.0,-293911.0
hispanic,80-84 years,82,11.0,-172009.0,-148571.0,-261488.0,-225859.0
hispanic,85-89 years,87,0.0,-121039.0,-108703.0,-184004.0,-165251.0
nh_black,1-4 years,3,148.0,254534.0,68604.0,-247087.0,-106855.0
nh_black,10-14 years,12,169.0,352087.0,202688.0,-93512.0,39316.0
nh_black,15-19 years,17,1743.0,406626.0,294409.0,-8130.0,139168.0
nh_black,20-24 years,22,2463.0,400900.0,335705.0,9518.0,182303.0
nh_black,25-29 years,27,2374.0,358450.0,343578.0,-11272.0,190557.0
nh_black,30-34 years,32,2014.0,283290.0,316132.0,-64543.0,164030.0
nh_black,35-39 years,37,1404.0,197221.0,273323.0,-128317.0,122964.0
nh_black,40-44 years,42,1055.0,94312.0,205349.0,-208081.0,58256.0
nh_black,45-49 years,47,697.0,-11846.0,123865.0,-293215.0,-21426.0
nh_black,5-9 years,7,92.0,297912.0,123816.0,-178876.0,-46688.0
nh_black,50-54 years,52,504.0,-123274.0,24584.0,-386897.0,-121870.0
nh_black,55-59 years,57,425.0,-227720.0,-81896.0,-476159.0,-231843.0
nh_black,60-64 years,62,0.0,-322865.0,-192679.0,-560310.0,-350432.0
nh_black,65-69 years,67,171.0,-364235.0,-263798.0,-584258.0,-423371.0
nh_black,70-74 years,72,88.0,-316415.0,-245123.0,-506973.0,-392838.0
nh_black,75-79 years,77,40.0,-261104.0,-215810.0,-417966.0,-345461.0
nh_black,80-84 years,82,18.0,-192003.0,-165841.0,-307351.0,-265473.0
nh_black,85-89 years,87,0.0,-135108.0,-121339.0,-216276.0,-194234.0
nh_other,1-4 years,3,26.0,254534.0,68604.0,-247087.0,-106855.0
nh_other,10-14 years,12,11.0,352087.0,202688.0,-93512.0,39316.0
nh_other,15-19 years,17,100.0,406626.0,294409.0,-8130.0,139168.0
nh_other,20-24 years,22,133.0,400900.0,335705.0,9518.0,182303.0
nh_other,25-29 years,27,127.0,358450.0,343578.0,-11272.0,190557.0
nh_other,30-34 years,32,142.0,283290.0,316132.0,-64543.0,164030.0
nh_other,35-39 years,37,116.0,197221.0,273323.0,-128317.0,122964.0
nh_other,40-44 years,42,94.0,94312.0,205349.0,-208081.0,58256.0
nh_other,45-49 years,47,67.0,-11846.0,123865.0,-293215.0,-21426.0
nh_other,5-9 years,7,14.0,297912.0,123816.0,-178876.0,-46688.0
nh_other,50-54 years,52,57.0,-123274.0,24584.0,-386897.0,-121870.0
nh_other,55-59 years,57,45.0,-227720.0,-81896.0,-476159.0,-231843.0
nh_other,60-64 years,62,0.0,-322865.0,-192679.0,-560310.0,-350432.0
nh_other,65-69 years,67,27.0,-364235.0,-263798.0,-584258.0,-423371.0
nh_other,70-74 years,72,10.0,-316415.0,-245123.0,-506973.0,-392838.0
nh_other,75-79 years,77,9.0,-261104.0,-215810.0,-417966.0,-345461.0
nh_other,80-84 years,82,0.0,-192003.0,-165841.0,-307351.0,-265473.0
nh_other,85-89 years,87,0.0,-135108.0,-121339.0,-216276.0,-194234.0
nh_white,1-4 years,3,103.0,346642.0,98723.0,-106738.0,-54595.0
nh_white,10-14 years,12,73.0,442631.0,240085.0,37830.0,96915.0
nh_white,15-19 years,17,320.0,496367.0,336806.0,118296.0,200458.0
nh_white,20-24 years,22,476.0,487810.0,381636.0,129641.0,246269.0
nh_white,25-29 years,27,552.0,439821.0,390685.0,99851.0,254723.0
nh_white,30-34 years,32,670.0,355802.0,360847.0,34030.0,224409.0
nh_white,35-39 years,37,671.0,260606.0,314975.0,-42325.0,178903.0
nh_white,40-44 years,42,613.0,148111.0,242930.0,-134792.0,108906.0
nh_white,45-49 years,47,503.0,32293.0,156665.0,-232577.0,23165.0
nh_white,5-9 years,7,56.0,389336.0,156935.0,-42513.0,7777.0
nh_white,50-54 years,52,483.0,-88919.0,51715.0,-338845.0,-84216.0
nh_white,55-59 years,57,468.0,-203481.0,-61655.0,-441227.0,-202753.0
nh_white,60-64 years,62,0.0,-309352.0,-181077.0,-539447.0,-332288.0
nh_white,65-69 years,67,286.0,-358235.0,-258825.0,-574167.0,-414413.0
