age,hispanic_origin,sex,deaths
< 1 year,Hispanic or Latino,Female,111.0
< 1 year,Hispanic or Latino,Male,125.0
< 1 year,Not Hispanic or Latino,Female,402.0
< 1 year,Not Hispanic or Latino,Male,633.0
< 1 year,Not Stated,Female,
< 1 year,Not Stated,Male,
1 year,Hispanic or Latino,Female,40.0
1 year,Hispanic or Latino,Male,52.0
1 year,Not Hispanic or Latino,Female,203.0
1 year,Not Hispanic or Latino,Male,264.0
1 year,Not Stated,Female,
1 year,Not Stated,Male,
2 years,Hispanic or Latino,Female,20.0
2 years,Hispanic or Latino,Male,47.0
2 years,Not Hispanic or Latino,Female,138.0
2 years,Not Hispanic or Latino,Male,186.0
2 years,Not Stated,Female,
2 years,Not Stated,Male,
3 years,Hispanic or Latino,Female,18.0
3 years,Hispanic or Latino,Male,37.0
3 years,Not Hispanic or Latino,Female,109.0
3 years,Not Hispanic or Latino,Male,147.0
3 years,Not Stated,Female,0.0
3 years,Not Stated,Male,
4 years,Hispanic or Latino,Female,11.0
4 years,Hispanic or Latino,Male,20.0
4 years,Not Hispanic or Latino,Female,97.0
4 years,Not Hispanic or Latino,Male,126.0
4 years,Not Stated,Female,
4 years,Not Stated,Male,0.0
5 years,Hispanic or Latino,Female,11.0
5 years,Hispanic or Latino,Male,28.0
5 years,Not Hispanic or Latino,Female,100.0
5 years,Not Hispanic or Latino,Male,102.0
5 years,Not Stated,Female,0.0
5 years,Not Stated,Male,
6 years,Hispanic or Latino,Female,13.0
6 years,Hispanic or Latino,Male,18.0
6 years,Not Hispanic or Latino,Female,58.0
6 years,Not Hispanic or Latino,Male,90.0
6 years,Not Stated,Female,0.0
6 years,Not Stated,Male,0.0
7 years,Hispanic or Latino,Female,
7 years,Hispanic or Latino,Male,11.0
7 years,Not Hispanic or Latino,Female,55.0
7 years,Not Hispanic or Latino,Male,80.0
7 years,Not Stated,Female,0.0
7 years,Not Stated,Male,0.0
8 years,Hispanic or Latino,Female,
8 years,Hispanic or Latino,Male,17.0
8 years,Not Hispanic or Latino,Female,55.0
8 years,Not Hispanic or Latino,Male,82.0
8 years,Not Stated,Female,0.0
8 years,Not Stated,Male,0.0
9 years,Hispanic or Latino,Female,
9 years,Hispanic or Latino,Male,12.0
9 years,Not Hispanic or Latino,Female,65.0
9 years,Not Hispanic or Latino,Male,59.0
9 years,Not Stated,Female,0.0
9 years,Not Stated,Male,0.0
10 years,Hispanic or Latino,Female,23.0
10 years,Hispanic or Latino,Male,17.0
10 years,Not Hispanic or Latino,Female,48.0
10 years,Not Hispanic or Latino,Male,86.0
10 years,Not Stated,Female,0.0
10 years,Not Stated,Male,0.0
11 years,Hispanic or Latino,Female,20.0
11 years,Hispanic or Latino,Male,17.0
11 years,Not Hispanic or Latino,Female,43.0
11 years,Not Hispanic or Latino,Male,90.0
11 years,Not Stated,Female,0.0
11 years,Not Stated,Male,
12 years,Hispanic or Latino,Female,13.0
12 years,Hispanic or Latino,Male,24.0
12 years,Not Hispanic or Latino,Female,56.0
12 years,Not Hispanic or Latino,Male,110.0
12 years,Not Stated,Female,0.0
12 years,Not Stated,Male,0.0
13 years,Hispanic or Latino,Female,17.0
13 years,Hispanic or Latino,Male,35.0
13 years,Not Hispanic or Latino,Female,72.0
13 years,Not Hispanic or Latino,Male,172.0
13 years,Not Stated,Female,0.0
13 years,Not Stated,Male,0.0
14 years,Hispanic or Latino,Female,32.0
14 years,Hispanic or Latino,Male,97.0
14 years,Not Hispanic or Latino,Female,91.0
14 years,Not Hispanic or Latino,Male,412.0
14 years,Not Stated,Female,0.0
14 years,Not Stated,Male,
15 years,Hispanic or Latino,Female,27.0
15 years,Hispanic or Latino,Male,239.0
15 years,Not Hispanic or Latino,Female,144.0
15 years,Not Hispanic or Latino,Male,741.0
15 years,Not Stated,Female,0.0
15 years,Not Stated,Male,0.0
16 years,Hispanic or Latino,Female,49.0
16 years,Hispanic or Latino,Male,364.0
16 years,Not Hispanic or Latino,Female,176.0
16 years,Not Hispanic or Latino,Male,1163.0
16 years,Not Stated,Female,
16 years,Not Stated,Male,
17 years,Hispanic or Latino,Female,61.0
17 years,Hispanic or Latino,Male,481.0
17 years,Not Hispanic or Latino,Female,246.0
17 years,Not Hispanic or Latino,Male,1717.0
17 years,Not Stated,Female,0.0
17 years,Not Stated,Male,
18 years,Hispanic or Latino,Female,96.0
18 years,Hispanic or Latino,Male,644.0
18 years,Not Hispanic or Latino,Female,377.0
18 years,Not Hispanic or Latino,Male,2364.0
18 years,Not Stated,Female,0.0
18 years,Not Stated,Male,
