cbsa,dX,Z,w,pop,counties_x,rent_2000,rent_2010,value_2000,value_2010,renters_2000,owners_2000,units_2000,dlog_rent,dlog_value,log_rent_2000,log_value_2000,pred_2000s_all,pred_2000s_mex,pred_1990s_all,ancestry_2010_all,counties_y,elasticity,WRLURI,Z2
10180,2.0788371205080165,1.0565953886691293,160245.0,160245.0,3,462.283365144619,707.1958015448041,55943.262709636714,83614.94888090633,20433.0,38042.0,65217.0,0.42512952704441,0.4018843072338836,6.136178047531769,10.932093290218434,2740.1778680080265,784.8438063970419,3407.7930197337505,88117.6,3,3.0948513,0.10083067,1.709992741120176
10420,0.8391983346022189,0.9060733278318169,694960.0,694960.0,2,545.599486521181,725.3538129760484,110144.26744504996,144634.54150127678,81016.0,193221.0,290976.0,0.28477438830872526,0.27241912869124185,6.301885165401941,11.609546307708243,11953.522439399016,4787.005515375307,11776.542451654805,460418.88,2,2.5854928,0.067560114,1.7200302807929975
10500,0.8379487375163892,0.364563528793429,157833.0,157833.0,5,457.66346153846155,615.4030265223166,70256.57519952621,105298.65151108327,21944.0,35459.0,63755.0,0.2961432669697803,0.40464671191518065,6.126134113881883,11.159909179962334,1164.170954303279,295.1029531195938,1810.8135639758295,38950.96,5,3.3922868,-0.49810675,0.7375966713572439
10540,1.0544601391572517,1.0332272658423505,103069.0,103069.0,1,580.0,737.0,122900.0,180300.0,12698.0,26843.0,42521.0,0.2395597886488714,0.38325111363728226,6.363028103540465,11.719126295554126,2187.4374133183337,637.0982060151922,2609.184915389142,76315.69,1,,,2.122303906429997
10580,1.8301719814223496,1.5248313503711102,825875.0,825875.0,5,595.057660710181,828.9287448285294,105400.54139663413,191766.22750937156,117463.0,212783.0,363740.0,0.3314758886720153,0.5985092924533522,6.388658309606886,11.565523051666663,21232.569128366093,9286.19797025852,19997.23467762297,644000.25,5,1.700388,-0.09178428,2.570918011607821
10740,2.385551272970922,2.232226326556817,729649.0,729649.0,4,565.5517298791249,729.2612344291467,117305.12937332097,180614.6256180987,90093.0,190959.0,305840.0,0.2542302463575332,0.4315871378166456,6.337801767728127,11.67253376235831,20294.195038725135,3470.8409442825437,20736.76736871058,620920.0,4,2.11238,0.373471,2.7813640584342796
10780,0.8937177080080665,0.3933303831298637,145035.0,145035.0,2,429.2438577191052,679.0138299726887,65643.38505458487,106346.83626875408,16362.0,37831.0,60569.0,0.4586163051566645,0.48246895801914746,6.062025190342894,11.091992113871063,1293.5740386007774,377.50472990768975,1477.8105245034133,53274.07,2,7.1480856,-1.6766891,0.8919047392703674
10900,2.4403578584734795,1.5945004398552558,740395.0,740395.0,4,587.8631683168317,828.5125920646234,117802.79696402092,218268.0143645441,80800.0,205008.0,307269.0,0.34313782150671823,0.6167117170937289,6.376494213874001,11.676767293245607,17600.05392309756,5841.284889827916,17307.578659648967,627144.75,4,1.8622904,0.022797078,2.3771167988840496
11020,0.29948096995297613,0.3641590833807678,129144.0,129144.0,1,411.0,557.0,71100.0,97400.0,13957.0,37561.0,55061.0,0.30397202543105006,0.31473887383929444,6.018593214496234,11.171842615791332,764.9649824580051,323.51981239134506,585.2715114091382,90167.43,1,2.1776206,0.37206283,0.592334899382089
11100,3.108552299848081,1.735661719453995,228707.0,228707.0,5,472.0698435422845,673.2135363357216,71285.20734074466,107595.2122252404,29337.0,56670.0,92409.0,0.35493562131998946,0.41168731547131543,6.157126948245076,11.174444114200575,8005.43279559756,2332.2500265471267,5416.174194347922,139748.12,5,3.4720654,-0.3986942,3.500300732202145
11260,0.7519494013509007,2.1611946213043547,319605.0,319605.0,2,732.2925258647222,996.8176526800452,145696.9728872421,254235.25652729598,42239.0,73139.0,127697.0,0.30838779759578117,0.5567311085088722,6.596180059630564,11.88928421562733,8632.181919938099,2948.033953394958,9266.314833643308,239908.3,2,,,2.700890762015018
11460,0.4517499437364183,2.177840273182304,322895.0,322895.0,1,687.0,866.0,170100.0,216200.0,50481.0,74846.0,131069.0,0.231550616340086,0.2398174058032918,6.532334292222349,12.044141778383953,22520.05404529867,9175.487690578855,25806.668660975636,239536.58,1,2.2907684,0.30975512,6.974420181575643
11500,1.0350449531705688,0.4989831280397281,112249.0,112249.0,1,413.0,569.0,65700.0,98200.0,12462.0,32845.0,51322.0,0.3204328411652977,0.4019072898698539,6.023447592961033,11.092854204472703,1276.4713133750845,295.21543835017115,796.9943917328437,39365.438,1,,,1.1371783386712437
11540,0.7780654536471738,0.7296920592586366,201602.0,201602.0,2,527.5858534346473,661.1103476707434,106393.73108129892,154711.63429827776,19609.0,55831.0,78372.0,0.22560915898568368,0.3744163035362984,6.268311607433356,11.574901935745078,2297.499052749754,808.865935646961,2534.717882123157,179036.72,2,2.2756798,-0.15223685,1.139621160876258
11700,1.8337152670581403,0.8882595545412509,369171.0,369171.0,4,522.6411925723163,714.3760034459804,102326.49399062767,180885.53341002105,40551.0,113739.0,175331.0,0.3125142668433307,0.569695796391823,6.258895172353549,11.535923901699928,8173.830273821124,2426.569457766632,7225.047437856577,234677.98,4,1.5458176,-0.61086994,2.214104107262251
12020,1.4067661316759654,0.997788400705163,166079.0,166079.0,4,534.4259964457984,725.5396082385137,103619.13041051544,168436.40299792372,27573.0,35833.0,67542.0,0.3057223981527928,0.4858362790176649,6.28119326708304,11.54847724823277,5616.150432668684,1863.1278573370912,5840.202989011384,87120.61,4,,,3.381613829965669
12060,3.58640844006133,1.9386820848497588,4263438.0,4263438.0,29,728.5777857582796,912.2273745894457,135075.01763803017,196157.06906625605,517929.0,1041783.0,1650700.0,0.2247948780738973,0.37308540078015895,6.591094395169616,11.813585589291788,226138.6907993173,74068.02321931062,230060.78716858983,2373091.5,29,2.5536988,0.034925,5.304139307275427
12100,3.857816678402804,2.787167045444457,252552.0,252552.0,1,677.0,955.0,118300.0,264400.0,31984.0,63040.0,114090.0,0.3440400675684554,0.8042393369931897,6.517671272912275,11.680979049966478,13185.62156095804,4835.52536365577,14529.15965415315,187279.3,1,,,5.220953134783348
12220,2.8452546831753915,0.6457320093117858,115092.0,115092.0,1,449.0,650.0,85500.0,139500.0,17326.0,28376.0,50329.0,0.36994947514742815,0.4895482253187051,6.1070228877422545,11.356271654924852,4204.567223065667,1302.347720865067,2568.415805387541,63807.125,1,5.2154036,-1.1937114,3.653222833094974
12260,1.2395570289283637,0.9826304826429608,508032.0,508032.0,7,492.6212616368422,673.5980229106113,80243.50174600397,121084.57670152833,56609.0,131443.0,209115.0,0.31289288098752177,0.41142349882387386,6.199740646827338,11.292821062585924,8331.009192784619,2832.74489249887,7355.500476075416,186706.02,7,3.568282,-1.091925,1.6398591413109054
12420,2.0435414193727173,2.6746735050899466,1249763.0,1249763.0,5,720.0951641233387,896.3299428675501,121841.16870218176,183615.1786929051,196986.0,274869.0,496004.0,0.2189252093291998,0.41012384674171365,6.579383375669626,11.71047357962893,77847.83362969874,17982.478904151125,70100.1944028427,1107349.5,5,3.002909,-0.2833971,6.22900771023776
12540,3.732174885721438,5.235221515302637,661645.0,661645.0,1,518.0,810.0,89400.0,217100.0,78991.0,129661.0,231564.0,0.4470590054070014,0.8872373947047762,6.249975242259483,11.400875961161606,23671.747251837536,3993.081447254543,22006.303068251316,551407.0,1,1.6380138,0.3953429,3.577711197369819
12580,3.5335082822775714,1.640173866084002,2552994.0,2552994.0,7,631.8146318009802,1027.7952774273551,133426.46116027382,304285.8324620033,322380.0,651691.0,1048046.0,0.48657523269895364,0.8244170246876958,6.448596047012421,11.801305752315304,92024.79145543848,36983.42736185349,77092.09858518008,1504501.5,7,1.2349458,1.6010959,3.604583146511056
