state,group,educ,resident_pop,resident_se,resident_nobs,inflow,inflow_se,inflow_nobs,outflow,outflow_se,outflow_nobs,net,net_se,net_rate_per_1000,net_rate_se
California,nhwhite,ba_plus,3005078.0,16293.316005344033,32579,62866.0,3224.6579353475618,627,89466.0,4391.535505947777,863,-26600.0,5467.939474793041,-8.85168371669554,1.8170401276898118
California,nhwhite,less_than_ba,2856413.0,17083.77981595408,29091,29990.0,2425.1686745461648,313,72121.0,3943.0605625579733,677,-42131.0,4811.393103873347,-14.749617789864422,1.6989209103163547
California,nhwhite,all,5861491.0,11223.844446088871,61670,92856.0,4238.681186406923,940,161587.0,6007.631538301929,1540,-68731.0,7916.230157088664,-11.725856100435879,1.3526823584339274
California,all_native,ba_plus,5577588.0,25631.85349228573,58163,96207.0,4335.677121281058,941,139687.0,5264.756057976476,1261,-43480.0,6472.134659445831,-7.795484356320331,1.1582076073176104
California,all_native,less_than_ba,7699651.0,31340.772688304925,73749,69343.0,3845.109725352451,650,138181.0,5364.093814429423,1222,-68838.0,6629.288532716011,-8.94040522096391,0.8644467275021358
California,all_native,all,13277239.0,29500.5783172127,131912,165550.0,5938.827375837759,1591,277868.0,7887.4037426773075,2483,-112318.0,10109.862644962097,-8.459439496419398,0.7626525265769092
Texas,nhwhite,ba_plus,2664809.0,16475.092546022315,28811,60494.0,3546.6520692055487,583,64262.0,3885.1032225669373,640,-3768.0,4997.79851034433,-1.4139850173126856,1.8736106860068042
Texas,nhwhite,less_than_ba,3218458.0,16125.369405071006,35412,56696.0,3768.322670632121,507,51771.0,3163.011547560331,514,4925.0,4475.237580285543,1.5302359080031493,1.3912757167529117
Texas,nhwhite,all,5883267.0,10244.490692562516,64223,117190.0,5552.136485173974,1090,116033.0,5433.636121419983,1154,1157.0,7272.411996717457,0.1966594410894491,1.2364237704207024
Texas,all_native,ba_plus,4422277.0,25388.28124351863,43081,104994.0,5393.673942685079,887,94533.0,4958.664058998149,892,10461.0,7470.861098293824,2.3655234622345,1.6886230092188204
Texas,all_native,less_than_ba,7608946.0,25338.142110265308,70568,121452.0,5765.440893808556,961,103651.0,5239.033422302248,938,17801.0,7063.0068172131905,2.3394830243242626,0.9270710237659278
Texas,all_native,all,12031223.0,25464.88226558293,113649,226446.0,8555.20955909322,1848,198184.0,8008.249999219555,1830,28262.0,11848.330112298527,2.3490546222940094,0.9835154866277334
