metric,state,group,educ,PWGTP,PWGTP1,PWGTP2,PWGTP3,PWGTP4,PWGTP5,PWGTP6,PWGTP7,PWGTP8,PWGTP9,PWGTP10,PWGTP11,PWGTP12,PWGTP13,PWGTP14,PWGTP15,PWGTP16,PWGTP17,PWGTP18,PWGTP19,PWGTP20,PWGTP21,PWGTP22,PWGTP23,PWGTP24,PWGTP25,PWGTP26,PWGTP27,PWGTP28,PWGTP29,PWGTP30,PWGTP31,PWGTP32,PWGTP33,PWGTP34,PWGTP35,PWGTP36,PWGTP37,PWGTP38,PWGTP39,PWGTP40,PWGTP41,PWGTP42,PWGTP43,PWGTP44,PWGTP45,PWGTP46,PWGTP47,PWGTP48,PWGTP49,PWGTP50,PWGTP51,PWGTP52,PWGTP53,PWGTP54,PWGTP55,PWGTP56,PWGTP57,PWGTP58,PWGTP59,PWGTP60,PWGTP61,PWGTP62,PWGTP63,PWGTP64,PWGTP65,PWGTP66,PWGTP67,PWGTP68,PWGTP69,PWGTP70,PWGTP71,PWGTP72,PWGTP73,PWGTP74,PWGTP75,PWGTP76,PWGTP77,PWGTP78,PWGTP79,PWGTP80,nobs
inflow,06,all_native,ba_plus,96207,99755,98921,96987,96390,92108,96838,99037,94361,96576,96642,98388,91640,97003,98911,94365,96702,95529,98802,97939,93250,94839,92212,94409,100622,95535,95063,97738,97066,95428,92744,96111,97519,96959,98302,92766,96826,98072,93812,96566,94121,91551,97836,97044,96466,96684,93916,94630,96514,94978,91894,96745,96537,98594,98495,95348,97152,97676,93728,93065,95497,95263,96611,95964,97745,97444,98448,97637,98723,94271,95878,98596,93745,94645,94394,97192,102066,96528,96475,100628,96183,941
inflow,06,all_native,less_than_ba,69343,66723,71648,68602,67443,70536,70025,66491,69767,69510,72686,68024,66687,68330,68463,66397,72421,71252,69609,70329,68470,69160,68664,69543,71946,68521,70134,68985,69466,67908,69663,66555,66758,71545,72819,73579,71703,67522,67539,70414,69614,72825,69114,70111,70102,71049,68636,66810,69075,72284,70832,68996,66960,69988,65792,66366,70658,67553,67519,69108,67750,67583,67280,68965,67294,71949,71160,65061,72038,68975,69446,71893,69853,68906,68869,69242,70200,73378,70172,71463,68578,650
inflow,06,nhwhite,ba_plus,62866,64278,65017,64422,63793,62122,63431,64839,62936,62212,63535,64279,60003,64758,64325,61894,62712,59834,64502,62739,60887,64292,59791,62424,64711,63851,61747,64153,63671,61253,60536,63082,61619,62109,63422,60406,62086,63447,61626,64001,62624,60547,65738,63693,62850,62885,60108,61422,63482,61306,60583,63360,64040,62861,62403,62369,61342,63643,60559,61070,63710,62668,62528,62298,65434,64503,64951,62637,64662,59569,62912,65311,62296,63099,60570,62579,67465,63328,64069,66105,63288,627
inflow,06,nhwhite,less_than_ba,29990,29973,32114,31094,30291,32575,30044,28659,31166,30363,31463,30606,29043,29437,29333,29798,32671,30536,31589,30517,29836,29386,29319,28891,29725,29197,30280,29240,29923,27302,29376,29091,27770,29620,31260,31412,31373,28649,28527,31343,31280,32938,31169,30202,30264,29768,29376,29266,31055,30439,32225,29465,28217,29439,27660,29948,30852,27031,29657,30304,29567,28317,29918,28773,29912,32012,30057,27822,30559,29915,29424,29711,29886,30680,29836,30438,31018,31738,30554,31308,29520,313
inflow,48,all_native,ba_plus,104994,111979,106784,102358,101496,105737,104330,104535,109567,108255,106479,110064,99635,105436,108140,106608,103012,99900,105085,104600,106536,105004,105490,101004,101057,105931,100649,106284,107226,105021,103006,105870,103371,99751,109136,107313,105217,107528,104695,107567,107391,105452,108519,105658,106656,107377,106349,104885,108464,104437,101958,104882,108253,105569,104155,105509,101536,103163,106210,102307,101795,107456,99503,105366,104425,106812,103670,105145,102762,105307,111067,109533,106737,106381,103546,107084,102248,101869,102098,102770,107066,887
inflow,48,all_native,less_than_ba,121452,122863,120263,121001,123866,118462,124196,125545,118591,123500,121968,120236,117145,121386,123014,117829,118890,117242,123383,124286,120653,119395,122849,124781,117688,115725,120615,126013,121923,121593,120446,119332,121427,116390,122794,121018,122461,130680,121272,118845,123200,126238,122788,117370,122020,124482,122415,117663,119408,117927,121933,120463,122260,124313,116632,116384,120363,120277,125767,124222,117304,119143,117513,124234,124715,120374,125168,122894,119609,118672,120987,121759,123067,119097,122129,118790,119951,122763,124572,126661,124619,961
inflow,48,nhwhite,ba_plus,60494,64411,60459,56262,60296,59751,59617,62679,62645,62737,60514,63172,57271,62143,63267,60391,58993,57072,61933,61226,59839,60902,58699,58816,60717,59382,56698,60331,60853,62334,59761,58726,60565,60002,63039,61741,61285,62007,57685,62827,61622,60349,64175,58183,60137,59809,60671,60686,61739,60100,59629,58563,61370,61138,59879,61984,59419,58093,61578,58751,59230,61229,57628,61638,60879,60558,59895,60294,61173,60483,63645,64465,62608,61052,59740,61618,58953,62147,58719,58141,62282,583
inflow,48,nhwhite,less_than_ba,56696,54531,53473,57551,56407,53769,56912,60458,54312,58843,56651,56697,56087,58646,57067,54973,53131,53317,59331,58373,54676,57687,57117,58683,54476,54910,57265,59354,55301,58611,54266,56602,55747,54286,58392,55249,57045,61973,56129,55981,56780,56445,59639,55273,59090,57046,58878,58245,55642,54620,54368,54453,55990,55796,55137,52520,54354,57267,58359,57110,54782,54771,55698,56115,56001,56884,56842,56926,55138,56963,54548,57720,57408,54713,58524,56487,58241,56626,59670,59726,58083,507
outflow,06,all_native,ba_plus,139687,143324,140499,140828,140518,138121,138128,139095,138914,141467,136800,139891,143844,142276,137053,138033,140640,140328,138460,141200,139786,142385,137057,139586,142948,139339,138570,135247,140047,137627,134419,146393,141258,142494,138109,138837,138440,138799,139497,137788,142017,136050,138640,143732,141186,145133,139235,142775,135837,135078,142998,142609,138367,140612,139855,137679,139312,138757,136991,142435,140864,140230,134414,143275,137825,137411,138426,143834,135941,141429,144218,137693,139439,138591,136471,142659,139834,139470,137498,144228,144850,1261
outflow,06,all_native,less_than_ba,138181,140716,139104,138757,135933,137717,134278,135339,142591,138765,141726,138753,140581,138238,139477,136943,134688,137868,140939,140190,141320,137774,139809,135723,140012,137606,141287,137873,138687,141182,136137,136592,140419,137432,134379,135064,139516,140872,137949,129435,139485,140554,134352,136844,137684,140180,136382,137532,138110,134834,141081,140627,133528,136584,141373,141090,139480,137563,138040,142364,134636,132994,139651,140255,137339,136960,140644,134764,137823,146414,138708,139527,135063,135830,140984,138075,140999,141346,136442,135195,139468,1222
