outcome,spec,model,group,coef_lpm,se_lpm,t,ame_logit,n,r2
contacted_official,BA_plus_only,adjusted,1 India-born,-0.139523,0.008359,-16.691127,-0.194469,45824,0.040363
contacted_official,BA_plus_only,adjusted,2 China-born,-0.139470,0.012321,-11.319415,-0.198417,45824,0.040363
contacted_official,BA_plus_only,adjusted,3 Mexico-born,-0.099494,0.015813,-6.291930,-0.126396,45824,0.040363
contacted_official,BA_plus_only,adjusted,4 Other foreign-born,-0.126532,0.004636,-27.290883,-0.166072,45824,0.040363
contacted_official,BA_plus_only,adjusted,5 Indian 2nd gen,-0.068951,0.023866,-2.889066,-0.081092,45824,0.040363
contacted_official,BA_plus_only,raw,1 India-born,-0.138900,0.008116,-17.114934,-0.197000,45824,0.020908
contacted_official,BA_plus_only,raw,2 China-born,-0.141465,0.011694,-12.096965,-0.202515,45824,0.020908
contacted_official,BA_plus_only,raw,3 Mexico-born,-0.115484,0.015182,-7.606531,-0.143163,45824,0.020908
contacted_official,BA_plus_only,raw,4 Other foreign-born,-0.127466,0.004501,-28.320418,-0.168344,45824,0.020908
contacted_official,BA_plus_only,raw,5 Indian 2nd gen,-0.093860,0.024064,-3.900408,-0.105655,45824,0.020908
contacted_official,adults_18plus,adjusted,1 India-born,-0.128760,0.007349,-17.520870,-0.132779,115399,0.054221
contacted_official,adults_18plus,adjusted,2 China-born,-0.108376,0.007689,-14.094226,-0.139412,115399,0.054221
contacted_official,adults_18plus,adjusted,3 Mexico-born,-0.056330,0.002844,-19.807309,-0.113427,115399,0.054221
contacted_official,adults_18plus,adjusted,4 Other foreign-born,-0.078716,0.002444,-32.206925,-0.106837,115399,0.054221
contacted_official,adults_18plus,adjusted,5 Indian 2nd gen,-0.027114,0.028213,-0.961060,-0.020275,115399,0.054221
contacted_official,adults_18plus,raw,1 India-born,-0.078431,0.007071,-11.091386,-0.099317,115399,0.015878
contacted_official,adults_18plus,raw,2 China-born,-0.092396,0.007293,-12.669849,-0.133406,115399,0.015878
contacted_official,adults_18plus,raw,3 Mexico-born,-0.107266,0.002442,-43.925381,-0.191883,115399,0.015878
contacted_official,adults_18plus,raw,4 Other foreign-born,-0.086207,0.002312,-37.293681,-0.117005,115399,0.015878
contacted_official,adults_18plus,raw,5 Indian 2nd gen,-0.019957,0.026486,-0.753482,-0.018109,115399,0.015878
contacted_official,self_respondent_only,adjusted,1 India-born,-0.143414,0.011827,-12.126456,-0.140504,72420,0.056574
contacted_official,self_respondent_only,adjusted,2 China-born,-0.128455,0.012604,-10.191843,-0.167616,72420,0.056574
contacted_official,self_respondent_only,adjusted,3 Mexico-born,-0.058944,0.004522,-13.035618,-0.115582,72420,0.056574
contacted_official,self_respondent_only,adjusted,4 Other foreign-born,-0.090470,0.003546,-25.511616,-0.124137,72420,0.056574
contacted_official,self_respondent_only,adjusted,5 Indian 2nd gen,-0.092250,0.027233,-3.387399,-0.082310,72420,0.056574
contacted_official,self_respondent_only,raw,1 India-born,-0.081915,0.011518,-7.112237,-0.097352,72420,0.016716
contacted_official,self_respondent_only,raw,2 China-born,-0.109447,0.011647,-9.396981,-0.157796,72420,0.016716
contacted_official,self_respondent_only,raw,3 Mexico-born,-0.124105,0.003996,-31.055919,-0.209930,72420,0.016716
contacted_official,self_respondent_only,raw,4 Other foreign-born,-0.101103,0.003354,-30.144606,-0.136319,72420,0.016716
contacted_official,self_respondent_only,raw,5 Indian 2nd gen,-0.053410,0.027921,-1.912871,-0.055131,72420,0.016716
donated_nonpolitical,BA_plus_only,adjusted,1 India-born,-0.193973,0.016453,-11.789613,-0.178478,45631,0.092970
donated_nonpolitical,BA_plus_only,adjusted,2 China-born,-0.222283,0.023719,-9.371511,-0.201955,45631,0.092970
donated_nonpolitical,BA_plus_only,adjusted,3 Mexico-born,-0.240487,0.029555,-8.137060,-0.209919,45631,0.092970
donated_nonpolitical,BA_plus_only,adjusted,4 Other foreign-born,-0.174948,0.008679,-20.158615,-0.159608,45631,0.092970
donated_nonpolitical,BA_plus_only,adjusted,5 Indian 2nd gen,-0.033454,0.042623,-0.784882,-0.032759,45631,0.092970
donated_nonpolitical,BA_plus_only,raw,1 India-born,-0.198689,0.017098,-11.620639,-0.180232,45631,0.031336
donated_nonpolitical,BA_plus_only,raw,2 China-born,-0.249904,0.024371,-10.254329,-0.222638,45631,0.031336
donated_nonpolitical,BA_plus_only,raw,3 Mexico-born,-0.292614,0.030389,-9.628830,-0.258064,45631,0.031336
donated_nonpolitical,BA_plus_only,raw,4 Other foreign-born,-0.186275,0.008846,-21.056645,-0.169896,45631,0.031336
donated_nonpolitical,BA_plus_only,raw,5 Indian 2nd gen,-0.092378,0.044195,-2.090228,-0.089172,45631,0.031336
