arm,year,measure,group,n,wpop,rate,se,neff
adults_18plus,2019,contacted_official,1 India-born,420,2655874.338100,0.041656,0.010664,351.017296
adults_18plus,2019,contacted_official,2 China-born,293,1922770.460000,0.036227,0.012194,234.810722
adults_18plus,2019,contacted_official,3 Mexico-born,1447,10283469.447700,0.021295,0.004282,1136.596803
adults_18plus,2019,contacted_official,4 Other foreign-born,4022,24942123.834600,0.039381,0.003550,3002.447613
adults_18plus,2019,contacted_official,5 Indian 2nd gen,81,474790.254900,0.093135,0.038232,57.784451
adults_18plus,2019,contacted_official,6 US-born NH white,36498,142725240.213300,0.130918,0.002138,24892.371436
adults_18plus,2019,contacted_official,7 All US-born,45845,197078674.686200,0.113984,0.001830,30162.307201
adults_18plus,2019,contacted_official,8 Indian 2nd gen (self-ID),80,528409.298000,0.071700,0.034037,57.450484
adults_18plus,2019,contacted_official,9 US-born Asian (any),698,3708543.232900,0.065989,0.011833,440.211406
adults_18plus,2019,donated_nonpolitical,1 India-born,418,2638951.990500,0.473209,0.026749,348.410648
adults_18plus,2019,donated_nonpolitical,2 China-born,290,1905988.445300,0.367576,0.031609,232.665430
adults_18plus,2019,donated_nonpolitical,3 Mexico-born,1442,10226363.893900,0.319219,0.013860,1131.266400
adults_18plus,2019,donated_nonpolitical,4 Other foreign-born,4007,24875323.964100,0.427033,0.009040,2993.876450
adults_18plus,2019,donated_nonpolitical,5 Indian 2nd gen,81,476501.355700,0.546387,0.065609,57.578531
adults_18plus,2019,donated_nonpolitical,6 US-born NH white,36380,142080565.912900,0.591952,0.003120,24810.316534
adults_18plus,2019,donated_nonpolitical,7 All US-born,45685,196227270.586900,0.539494,0.002875,30048.040060
adults_18plus,2019,donated_nonpolitical,8 Indian 2nd gen (self-ID),80,530120.398800,0.503042,0.066037,57.325151
adults_18plus,2019,donated_nonpolitical,9 US-born Asian (any),691,3700605.283000,0.503585,0.023908,437.354149
adults_18plus,2019,donated_political,1 India-born,419,2644243.158300,0.087962,0.015155,349.319917
adults_18plus,2019,donated_political,2 China-born,292,1927003.652700,0.063897,0.015944,235.280418
adults_18plus,2019,donated_political,3 Mexico-born,1446,10255518.513800,0.023657,0.004511,1134.836638
adults_18plus,2019,donated_political,4 Other foreign-born,4011,24916486.518600,0.056021,0.004200,2997.308025
adults_18plus,2019,donated_political,5 Indian 2nd gen,81,482070.945900,0.118268,0.042579,57.519270
