arm,year,measure,group,n,wpop,rate,se,neff
all_adults_18plus_incl_noncitizens,pooled,registered_census_convention,1 India-born,3836,13815195.806600,0.340423,0.008164,3368.688416
all_adults_18plus_incl_noncitizens,pooled,registered_census_convention,2 China-born,2755,9798893.338200,0.269576,0.009101,2377.490450
all_adults_18plus_incl_noncitizens,pooled,registered_census_convention,3 Mexico-born,15910,57434863.919600,0.176768,0.003246,13809.361166
all_adults_18plus_incl_noncitizens,pooled,registered_census_convention,4 Other foreign-born,40151,138744277.530600,0.375521,0.002668,32932.688880
all_adults_18plus_incl_noncitizens,pooled,registered_census_convention,5 Indian 2nd gen,833,2941429.343600,0.662784,0.018059,685.296490
all_adults_18plus_incl_noncitizens,pooled,registered_census_convention,6 US-born NH white,290492,748832416.300700,0.747350,0.000926,220347.326489
all_adults_18plus_incl_noncitizens,pooled,registered_census_convention,7 All US-born,378284,1043551083.869900,0.713570,0.000850,283036.885200
all_adults_18plus_incl_noncitizens,pooled,registered_census_convention,8 Indian 2nd gen (self-ID),960,3535773.250400,0.566314,0.017290,821.585693
all_adults_18plus_incl_noncitizens,pooled,registered_census_convention,9 US-born Asian (any),8238,24105690.326600,0.541123,0.006384,6091.781110
all_adults_18plus_incl_noncitizens,pooled,turnout_census_convention,1 India-born,3836,13815195.806600,0.294791,0.007856,3368.688416
all_adults_18plus_incl_noncitizens,pooled,turnout_census_convention,2 China-born,2755,9798893.338200,0.214899,0.008424,2377.490450
all_adults_18plus_incl_noncitizens,pooled,turnout_census_convention,3 Mexico-born,15910,57434863.919600,0.140570,0.002958,13809.361166
all_adults_18plus_incl_noncitizens,pooled,turnout_census_convention,4 Other foreign-born,40151,138744277.530600,0.311151,0.002551,32932.688880
all_adults_18plus_incl_noncitizens,pooled,turnout_census_convention,5 Indian 2nd gen,833,2941429.343600,0.569720,0.018913,685.296490
all_adults_18plus_incl_noncitizens,pooled,turnout_census_convention,6 US-born NH white,290492,748832416.300700,0.646703,0.001018,220347.326489
all_adults_18plus_incl_noncitizens,pooled,turnout_census_convention,7 All US-born,378284,1043551083.869900,0.606819,0.000918,283036.885200
all_adults_18plus_incl_noncitizens,pooled,turnout_census_convention,8 Indian 2nd gen (self-ID),960,3535773.250400,0.479910,0.017430,821.585693
all_adults_18plus_incl_noncitizens,pooled,turnout_census_convention,9 US-born Asian (any),8238,24105690.326600,0.453858,0.006379,6091.781110
all_adults_18plus_incl_noncitizens,pooled,turnout_reported_only,1 India-born,1497,5381348.179600,0.756798,0.011784,1325.407934
all_adults_18plus_incl_noncitizens,pooled,turnout_reported_only,2 China-born,1150,4157418.143200,0.506509,0.015830,997.482672
all_adults_18plus_incl_noncitizens,pooled,turnout_reported_only,3 Mexico-born,4368,15662316.962700,0.515480,0.008105,3801.884095
all_adults_18plus_incl_noncitizens,pooled,turnout_reported_only,4 Other foreign-born,19574,67089301.975600,0.643476,0.003762,16212.053334
all_adults_18plus_incl_noncitizens,pooled,turnout_reported_only,5 Indian 2nd gen,661,2312408.791600,0.724695,0.019220,540.064290
all_adults_18plus_incl_noncitizens,pooled,turnout_reported_only,6 US-born NH white,251220,644655464.843300,0.751211,0.000991,190185.404174
all_adults_18plus_incl_noncitizens,pooled,turnout_reported_only,7 All US-born,322177,880464100.240300,0.719219,0.000917,240271.645468
all_adults_18plus_incl_noncitizens,pooled,turnout_reported_only,8 Indian 2nd gen (self-ID),678,2433066.439500,0.697414,0.019300,566.511676
all_adults_18plus_incl_noncitizens,pooled,turnout_reported_only,9 US-born Asian (any),6026,17094484.935900,0.640005,0.007280,4347.230592
all_adults_18plus_incl_noncitizens,pooled,vote_item_nonresponse,1 India-born,3836,13815195.806600,0.610476,0.008402,3368.688416
all_adults_18plus_incl_noncitizens,pooled,vote_item_nonresponse,2 China-born,2755,9798893.338200,0.575726,0.010136,2377.490450
all_adults_18plus_incl_noncitizens,pooled,vote_item_nonresponse,3 Mexico-born,15910,57434863.919600,0.727303,0.003790,13809.361166
all_adults_18plus_incl_noncitizens,pooled,vote_item_nonresponse,4 Other foreign-born,40151,138744277.530600,0.516454,0.002754,32932.688880
