arm,year,measure,group,n,wpop,rate,se,neff
citizens_18plus,2016,registered_census_convention,1 India-born,378,1180956.578200,0.699795,0.024861,339.907529
citizens_18plus,2016,registered_census_convention,2 China-born,264,865679.439200,0.424666,0.032761,227.636569
citizens_18plus,2016,registered_census_convention,3 Mexico-born,1069,3323149.907300,0.557452,0.016177,942.686447
citizens_18plus,2016,registered_census_convention,4 Other foreign-born,4988,14477106.263600,0.635359,0.007457,4166.595349
citizens_18plus,2016,registered_census_convention,5 Indian 2nd gen,156,436280.449700,0.660315,0.042711,122.953232
citizens_18plus,2016,registered_census_convention,6 US-born NH white,67404,149764081.097100,0.741558,0.001915,52243.955249
citizens_18plus,2016,registered_census_convention,7 All US-born,87095,204212112.893000,0.711767,0.001753,66723.955167
citizens_18plus,2016,registered_census_convention,8 Indian 2nd gen (self-ID),150,452889.344500,0.620046,0.043000,127.413465
citizens_18plus,2016,registered_census_convention,9 US-born Asian (any),1623,3976386.555800,0.514611,0.014690,1157.455141
citizens_18plus,2016,turnout_census_convention,1 India-born,378,1180956.578200,0.660124,0.025692,339.907529
citizens_18plus,2016,turnout_census_convention,2 China-born,264,865679.439200,0.349838,0.031610,227.636569
citizens_18plus,2016,turnout_census_convention,3 Mexico-born,1069,3323149.907300,0.498777,0.016285,942.686447
citizens_18plus,2016,turnout_census_convention,4 Other foreign-born,4988,14477106.263600,0.554931,0.007699,4166.595349
citizens_18plus,2016,turnout_census_convention,5 Indian 2nd gen,156,436280.449700,0.577525,0.044547,122.953232
citizens_18plus,2016,turnout_census_convention,6 US-born NH white,67404,149764081.097100,0.655822,0.002079,52243.955249
citizens_18plus,2016,turnout_census_convention,7 All US-born,87095,204212112.893000,0.620741,0.001878,66723.955167
citizens_18plus,2016,turnout_census_convention,8 Indian 2nd gen (self-ID),150,452889.344500,0.497826,0.044295,127.413465
citizens_18plus,2016,turnout_census_convention,9 US-born Asian (any),1623,3976386.555800,0.447241,0.014615,1157.455141
citizens_18plus,2016,turnout_reported_only,1 India-born,321,1007170.878700,0.774027,0.024582,289.443942
citizens_18plus,2016,turnout_reported_only,2 China-born,219,719618.282400,0.420845,0.036232,185.668837
citizens_18plus,2016,turnout_reported_only,3 Mexico-born,904,2780636.171800,0.596090,0.017427,792.793974
citizens_18plus,2016,turnout_reported_only,4 Other foreign-born,4250,12344962.169700,0.650775,0.007996,3554.830483
citizens_18plus,2016,turnout_reported_only,5 Indian 2nd gen,124,355170.236900,0.709415,0.045523,99.473113
citizens_18plus,2016,turnout_reported_only,6 US-born NH white,58875,130157127.411200,0.754615,0.002016,45550.028768
citizens_18plus,2016,turnout_reported_only,7 All US-born,75077,174544357.265200,0.726250,0.001861,57380.818826
citizens_18plus,2016,turnout_reported_only,8 Indian 2nd gen (self-ID),114,332665.260600,0.677739,0.048029,94.682206
citizens_18plus,2016,turnout_reported_only,9 US-born Asian (any),1210,2937537.569000,0.605407,0.016665,860.196600
citizens_18plus,2016,vote_item_nonresponse,1 India-born,378,1180956.578200,0.147157,0.019215,339.907529
citizens_18plus,2016,vote_item_nonresponse,2 China-born,264,865679.439200,0.168724,0.024822,227.636569
citizens_18plus,2016,vote_item_nonresponse,3 Mexico-born,1069,3323149.907300,0.163253,0.012038,942.686447
citizens_18plus,2016,vote_item_nonresponse,4 Other foreign-born,4988,14477106.263600,0.147277,0.005490,4166.595349
citizens_18plus,2016,vote_item_nonresponse,5 Indian 2nd gen,156,436280.449700,0.185913,0.035085,122.953232
citizens_18plus,2016,vote_item_nonresponse,6 US-born NH white,67404,149764081.097100,0.130919,0.001476,52243.955249
citizens_18plus,2016,vote_item_nonresponse,7 All US-born,87095,204212112.893000,0.145279,0.001364,66723.955167
citizens_18plus,2016,vote_item_nonresponse,8 Indian 2nd gen (self-ID),150,452889.344500,0.265460,0.039120,127.413465
citizens_18plus,2016,vote_item_nonresponse,9 US-born Asian (any),1623,3976386.555800,0.261255,0.012913,1157.455141
citizens_18plus,2018,registered_census_convention,1 India-born,336,1084510.366200,0.641861,0.027823,296.954899
citizens_18plus,2018,registered_census_convention,2 China-born,312,1035410.924000,0.519842,0.030051,276.394760
citizens_18plus,2018,registered_census_convention,3 Mexico-born,1220,3988470.922400,0.497551,0.015305,1067.200922
citizens_18plus,2018,registered_census_convention,4 Other foreign-born,4956,15701457.172500,0.603144,0.007574,4172.650830
citizens_18plus,2018,registered_census_convention,5 Indian 2nd gen,132,433006.479600,0.582899,0.047176,109.241001
citizens_18plus,2018,registered_census_convention,6 US-born NH white,63192,149837759.850900,0.713484,0.002041,49085.713651
citizens_18plus,2018,registered_census_convention,7 All US-born,81925,207021861.427500,0.678077,0.001867,62635.168161
citizens_18plus,2018,registered_census_convention,8 Indian 2nd gen (self-ID),166,589868.719300,0.385875,0.040626,143.577905
citizens_18plus,2018,registered_census_convention,9 US-born Asian (any),1764,4794893.713700,0.475144,0.013863,1297.635947
citizens_18plus,2018,turnout_census_convention,1 India-born,336,1084510.366200,0.535638,0.028941,296.954899
citizens_18plus,2018,turnout_census_convention,2 China-born,312,1035410.924000,0.362749,0.028920,276.394760
citizens_18plus,2018,turnout_census_convention,3 Mexico-born,1220,3988470.922400,0.379507,0.014854,1067.200922
citizens_18plus,2018,turnout_census_convention,4 Other foreign-born,4956,15701457.172500,0.478150,0.007733,4172.650830
citizens_18plus,2018,turnout_census_convention,5 Indian 2nd gen,132,433006.479600,0.513678,0.047821,109.241001
citizens_18plus,2018,turnout_census_convention,6 US-born NH white,63192,149837759.850900,0.577681,0.002229,49085.713651
citizens_18plus,2018,turnout_census_convention,7 All US-born,81925,207021861.427500,0.542468,0.001991,62635.168161
citizens_18plus,2018,turnout_census_convention,8 Indian 2nd gen (self-ID),166,589868.719300,0.330356,0.039253,143.577905
citizens_18plus,2018,turnout_census_convention,9 US-born Asian (any),1764,4794893.713700,0.375013,0.013439,1297.635947
citizens_18plus,2018,turnout_reported_only,1 India-born,282,904197.728900,0.642454,0.030483,247.210121
citizens_18plus,2018,turnout_reported_only,2 China-born,259,854045.097200,0.439783,0.032794,229.094225
citizens_18plus,2018,turnout_reported_only,3 Mexico-born,990,3196549.598100,0.473527,0.016993,863.386972
citizens_18plus,2018,turnout_reported_only,4 Other foreign-born,4024,12810435.997900,0.586058,0.008458,3391.502671
citizens_18plus,2018,turnout_reported_only,5 Indian 2nd gen,98,315914.830000,0.704069,0.051361,78.983010
citizens_18plus,2018,turnout_reported_only,6 US-born NH white,53769,126670830.950200,0.683334,0.002278,41693.557421
citizens_18plus,2018,turnout_reported_only,7 All US-born,68388,170624055.722600,0.658189,0.002077,52150.752501
citizens_18plus,2018,turnout_reported_only,8 Indian 2nd gen (self-ID),90,306163.597100,0.636479,0.055509,75.092086
citizens_18plus,2018,turnout_reported_only,9 US-born Asian (any),1175,3020169.966400,0.595380,0.017041,829.573875
citizens_18plus,2018,vote_item_nonresponse,1 India-born,336,1084510.366200,0.166262,0.021606,296.954899
citizens_18plus,2018,vote_item_nonresponse,2 China-born,312,1035410.924000,0.175163,0.022863,276.394760
citizens_18plus,2018,vote_item_nonresponse,3 Mexico-born,1220,3988470.922400,0.198553,0.012211,1067.200922
citizens_18plus,2018,vote_item_nonresponse,4 Other foreign-born,4956,15701457.172500,0.184124,0.006000,4172.650830
citizens_18plus,2018,vote_item_nonresponse,5 Indian 2nd gen,132,433006.479600,0.270415,0.042497,109.241001
citizens_18plus,2018,vote_item_nonresponse,6 US-born NH white,63192,149837759.850900,0.154613,0.001632,49085.713651
citizens_18plus,2018,vote_item_nonresponse,7 All US-born,81925,207021861.427500,0.175816,0.001521,62635.168161
citizens_18plus,2018,vote_item_nonresponse,8 Indian 2nd gen (self-ID),166,589868.719300,0.480963,0.041698,143.577905
citizens_18plus,2018,vote_item_nonresponse,9 US-born Asian (any),1764,4794893.713700,0.370128,0.013404,1297.635947
citizens_18plus,2020,registered_census_convention,1 India-born,382,1359011.133200,0.815933,0.020974,341.415805
citizens_18plus,2020,registered_census_convention,2 China-born,257,970063.559300,0.598985,0.032434,228.337469
citizens_18plus,2020,registered_census_convention,3 Mexico-born,1007,3713649.024200,0.548982,0.016636,894.638440
citizens_18plus,2020,registered_census_convention,4 Other foreign-born,4506,15466728.453200,0.681760,0.007542,3814.299597
citizens_18plus,2020,registered_census_convention,5 Indian 2nd gen,195,712586.107500,0.690955,0.036334,161.754044
citizens_18plus,2020,registered_census_convention,6 US-born NH white,58055,150153561.534400,0.766506,0.001999,44807.303169
citizens_18plus,2020,registered_census_convention,7 All US-born,75746,210083240.689100,0.733208,0.001836,58007.762433
