group,age_lo,age_hi,n,weighted,ba_share,grad_share,mean_pinc,median_pinc
us_born_nh_white,18,24,152126,15085987.000000,0.160814,0.013027,19176.566253,11214.698000
us_born_nh_white,25,34,222758,22748812.000000,0.456843,0.134700,55251.259029,45878.310000
us_born_nh_white,35,44,237059,23025551.000000,0.462018,0.182956,75728.845445,56073.490000
us_born_nh_white,45,54,236028,21806685.000000,0.428096,0.174475,82529.983619,59132.044000
us_born_nh_white,55,64,316362,25974018.000000,0.350979,0.132862,71542.937161,46693.924400
us_born_nh_white,65,80,467166,33278609.000000,0.351352,0.157511,55264.145716,34459.708400
us_born_nh_white,25,64,1012207,93555066.000000,0.422025,0.155338,71172.648104,50975.900000
india_born,18,24,1443,144140.000000,0.488594,0.089073,17434.194918,4180.023800
india_born,25,34,4863,584500.000000,0.887059,0.575528,83635.874696,71366.260000
india_born,35,44,7173,810515.000000,0.886779,0.548491,118718.975154,101951.800000
india_born,45,54,5623,533131.000000,0.827116,0.502319,134639.088189,102971.318000
india_born,55,64,3317,302063.000000,0.678074,0.396199,103984.883695,57093.008000
india_born,65,80,3457,311152.000000,0.574783,0.316524,61056.802580,19370.842000
india_born,25,64,20976,2230209.000000,0.844323,0.523913,111334.380121,91756.620000
us_born_asian_indian_anc,18,24,1845,168313.000000,0.312394,0.034186,16237.800608,3058.554000
us_born_asian_indian_anc,25,34,1330,136925.000000,0.845813,0.407822,89093.264251,66472.573600
us_born_asian_indian_anc,35,44,959,100794.000000,0.846995,0.528305,162373.791390,112146.980000
us_born_asian_indian_anc,45,54,505,45743.000000,0.816715,0.574077,183550.762845,122342.160000
us_born_asian_indian_anc,55,64,143,11623.000000,0.688807,0.438785,127466.629557,73405.296000
us_born_asian_indian_anc,65,80,97,8517.000000,0.450511,0.262534,46879.788624,18351.324000
us_born_asian_indian_anc,25,64,2937,295085.000000,0.835522,0.475968,130278.076883,85639.512000
