year,group,n,weighted,mean_age,share_under18
2022,white_g3plus,81079,175296210.130000,42.489869,0.187821
2022,india_g1,1260,2935006.580000,41.654192,0.061533
2022,india_g2,671,1593089.220000,16.915926,0.614606
2022,india_g3plus_race,96,234522.160000,29.335237,0.398176
2022,india_g2_diaspora,175,413633.020000,27.479288,0.433110
2022,asian_indian_native_selfid,768,1812386.540000,19.924818,0.575430
2023,white_g3plus,76944,174381206.430000,42.798152,0.184100
2023,india_g1,1386,3493544.150000,42.498289,0.065896
2023,india_g2,667,1703780.600000,18.271575,0.574475
2023,india_g3plus_race,89,258787.840000,21.227339,0.615675
2023,india_g2_diaspora,151,388474.600000,25.274583,0.459238
2023,asian_indian_native_selfid,747,1953377.170000,19.011855,0.582745
2024,white_g3plus,75585,173662451.070000,42.987822,0.184016
2024,india_g1,1502,3803400.050000,42.143743,0.077011
2024,india_g2,633,1571452.600000,17.079168,0.618165
2024,india_g3plus_race,106,265523.240000,31.085738,0.353562
2024,india_g2_diaspora,171,429328.160000,26.195906,0.423835
2024,asian_indian_native_selfid,748,1844834.220000,20.293659,0.557083
2025,white_g3plus,73873,173053897.030000,43.300377,0.180073
2025,india_g1,1607,4281769.880000,41.198644,0.073761
2025,india_g2,704,1797874.470000,19.416353,0.562840
2025,india_g3plus_race,115,318721.310000,25.746973,0.426537
2025,india_g2_diaspora,119,300540.680000,23.920527,0.431143
2025,asian_indian_native_selfid,790,2040331.660000,20.737386,0.518705
2026,white_g3plus,70036,169558169.130000,44.034433,0.175745
2026,india_g1,1347,4177171.270000,42.169232,0.072320
2026,india_g2,669,2138522.000000,18.808865,0.550369
2026,india_g3plus_race,93,288321.680000,27.083591,0.393521
2026,india_g2_diaspora,146,458396.410000,26.645391,0.385219
2026,asian_indian_native_selfid,764,2385614.890000,21.008992,0.498974
