year,universe,group,n,weighted,mean_age,ba_share,grad_share,earnings,modeled_own_tax,cash_transfers,tax_minus_cash,medicaid,age_std_earnings,age_std_tax_minus_cash,age_std_ba,age_std_ok,n_25_34,n_35_44,n_45_54,n_55_64
2022,adults_25_64,white_g3plus,40478,91374669.530000,45.268884,0.432073,0.149645,59694.251436,13602.003575,1250.966018,12351.037557,0.118806,59694.251436,12351.037557,0.432073,True,9149,11203,9784,10342
2022,all_civ_or_child,white_g3plus,81079,175296210.130000,42.489869,0.310649,0.110435,35414.351327,8592.661670,3939.621495,4653.040175,0.128752,,,,False,9149,11203,9784,10342
2022,adults_25_64,india_g1,1003,2324455.330000,41.440096,0.892245,0.555514,95399.498623,24655.174515,186.066067,24469.108449,0.015869,94048.497145,24254.690015,0.857777,True,297,356,234,116
2022,all_civ_or_child,india_g1,1260,2935006.580000,41.654192,0.810386,0.478977,78669.307681,20595.043257,1295.784798,19299.258459,0.027865,,,,False,297,356,234,116
2022,adults_25_64,india_g2,176,407350.780000,36.133694,0.792098,0.508924,95659.980345,33590.848515,260.704323,33330.144192,0.100379,94089.060986,36073.444935,0.804332,True,93,53,20,10
2022,all_civ_or_child,india_g2,671,1593089.220000,16.915926,0.237366,0.136546,25919.098550,8800.244304,162.985673,8637.258631,0.058225,,,,False,93,53,20,10
2022,adults_25_64,india_g3plus_race,42,106985.380000,40.679563,0.680407,0.420729,80572.992624,21993.752687,683.304221,21310.448466,0.059732,106154.113091,31843.894210,0.696663,True,10,15,13,4
2022,all_civ_or_child,india_g3plus_race,96,234522.160000,29.335237,0.394557,0.223664,40911.220942,10772.428526,695.099835,10077.328691,0.063939,,,,False,10,15,13,4
2022,adults_25_64,india_g2_diaspora,71,152402.540000,42.350290,0.564985,0.379165,64722.454239,17696.047334,1115.410133,16580.637202,0.094886,64873.389261,16554.325376,0.563381,True,26,17,15,13
2022,all_civ_or_child,india_g2_diaspora,175,413633.020000,27.479288,0.282522,0.171483,26055.601062,6846.260857,1748.701352,5097.559505,0.170546,,,,False,26,17,15,13
2022,adults_25_64,asian_indian_native_selfid,223,497176.220000,38.473826,0.708105,0.458617,87801.126506,26676.340406,668.237918,26008.102488,0.093641,86987.064815,25824.321160,0.700863,True,99,64,39,21
2022,all_civ_or_child,asian_indian_native_selfid,768,1812386.540000,19.924818,0.245632,0.141099,26112.031651,7653.290482,589.120505,7064.169977,0.077160,,,,False,99,64,39,21
2023,adults_25_64,white_g3plus,37968,89636685.540000,45.215980,0.437358,0.154263,63823.750474,16105.221256,1279.284607,14825.936649,0.124869,63823.750474,14825.936649,0.437358,True,8542,10515,9399,9512
2023,all_civ_or_child,white_g3plus,76944,174381206.430000,42.798152,0.315306,0.114762,37429.720385,10106.951074,4335.228208,5771.722866,0.128391,,,,False,8542,10515,9399,9512
