source,group,n,weighted,mean_pinc,median_pinc,mean_wag,bin,collapse,n_bin,share,mean_pinc_bin,median_pinc_bin,mean_wag_bin
cps_pool_occup_25_64,white_g3plus,152498,358801463.190000,82419.142145,60000.000000,82419.142145,software,it_broad,1590,0.011290,145980.837722,123900.000000,145980.837722
cps_pool_occup_25_64,white_g3plus,152498,358801463.190000,82419.142145,60000.000000,82419.142145,other_computer,it_broad,3408,0.024342,106693.238972,89999.000000,106693.238972
cps_pool_occup_25_64,white_g3plus,152498,358801463.190000,82419.142145,60000.000000,82419.142145,cis_manager,it_broad,829,0.005749,143767.519719,120000.000000,143767.519719
cps_pool_occup_25_64,white_g3plus,152498,358801463.190000,82419.142145,60000.000000,82419.142145,computer_hardware,it_broad,64,0.000426,141012.058072,108000.000000,141012.058072
cps_pool_occup_25_64,white_g3plus,152498,358801463.190000,82419.142145,60000.000000,82419.142145,math,other_stem,593,0.003957,117744.639893,96000.000000,117744.639893
cps_pool_occup_25_64,white_g3plus,152498,358801463.190000,82419.142145,60000.000000,82419.142145,physician,physician,962,0.005626,256714.728672,220000.000000,256714.728672
cps_pool_occup_25_64,white_g3plus,152498,358801463.190000,82419.142145,60000.000000,82419.142145,other_healthcare,other_healthcare,10799,0.068340,83401.126090,70000.000000,83401.126090
cps_pool_occup_25_64,white_g3plus,152498,358801463.190000,82419.142145,60000.000000,82419.142145,other_engineer,other_engineer,3662,0.025505,109621.646821,100000.000000,109621.646821
cps_pool_occup_25_64,white_g3plus,152498,358801463.190000,82419.142145,60000.000000,82419.142145,other_manager,other_manager,24134,0.154469,120420.988274,90000.000000,120420.988274
cps_pool_occup_25_64,white_g3plus,152498,358801463.190000,82419.142145,60000.000000,82419.142145,rest,rest,106457,0.700296,68942.470915,52000.000000,68942.470915
cps_pool_occup_25_64,white_g3plus,152498,358801463.190000,82419.142145,60000.000000,82419.142145,unknown,unknown,0,0.000000,,,
cps_pool_occup_25_64,white_g3plus,152498,358801463.190000,82419.142145,60000.000000,82419.142145,not_it,not_it,146607,0.958192,80659.366086,60000.000000,80659.366086
cps_pool_occup_25_64,white_g3plus,152498,358801463.190000,82419.142145,60000.000000,82419.142145,not_it_not_md,not_it_not_md,145645,0.952566,79619.464899,60000.000000,79619.464899
cps_pool_occup_25_64,white_g3plus,152498,358801463.190000,82419.142145,60000.000000,82419.142145,not_it_not_md_not_eng,not_it_not_md_not_eng,141983,0.927061,78794.061570,60000.000000,78794.061570
cps_pool_occup_25_64,india_g1,4484,11575758.290000,130538.230775,105000.000000,130538.230775,software,it_broad,893,0.201245,153945.915564,138000.000000,153945.915564
cps_pool_occup_25_64,india_g1,4484,11575758.290000,130538.230775,105000.000000,130538.230775,other_computer,it_broad,531,0.121709,130761.788718,106000.000000,130761.788718
