cell,n,weighted,mean_age,ba,earn,net
white_25_64,185993,442174595.120000,45.088195,0.442536,66878.805619,15562.373657
g1_25_64,5442,14202063.450000,41.656268,0.892628,106398.553448,28817.200260
g2_25_64,941,2381936.460000,37.301659,0.852945,113696.699389,34926.128351
g2_prdasian,653,1633695.170000,36.241277,0.873516,117329.731902,36719.904279
g2_white_only,86,255025.570000,39.116029,0.845171,85624.137263,24353.525891
g2_two_india_parents,759,1934256.460000,37.223837,0.860393,115193.501211,35001.953481
g2_one_india_parent,182,447680.000000,37.637901,0.820763,107229.583164,34598.516557
g3_25_64,203,546284.300000,40.181811,0.704527,81323.802990,20943.271048
g3_asian_only,203,546284.300000,40.181811,0.704527,81323.802990,20943.271048
g3_white_asian,0,0.000000,,,,
g3_other_race,0,0.000000,,,,
g3_25_39,96,267288.110000,32.066136,0.627931,81421.961915,21255.962540
g3_40_64,107,278996.190000,47.956911,0.777910,81229.763306,20643.701661
g2_25_39,589,1520614.840000,31.050455,0.853131,100617.303808,28635.861315
g2_40_64,352,861321.620000,48.337809,0.852616,136787.636105,46031.240750
g3_ba,145,384872.250000,40.680338,1.000000,97598.616740,25871.012476
g2_ba,793,2031659.910000,37.062582,1.000000,125689.255335,39467.172638
white_ba,81899,195678363.510000,44.132185,1.000000,94467.415553,25425.149305
g3_noba,58,161412.050000,38.993117,0.000000,42518.000162,9193.522932
g2_noba,148,350276.550000,38.688345,0.000000,44137.960353,8587.346529
white_noba,104094,246496231.610000,45.847113,0.000000,44977.886452,7732.916039
